,140S,138S,136S,132S,127S,125S,122S,119S,115S,112S,109S,104S,101S,139S,113S,137S,133S,120S,116S,110S,126S,123S,106S,128S,111S,134S,114S,103S,124S,117S,107S,135S,129S,121S,130S,118S,108S,131S
090350_1..S02R::1404446400.0,45,-25,9,-3,24,24,9,24,25,12,-5,-5,101,58,-2,-32,-26,22,5,-58,7,22,-4,15,16,14,-2,-4,24,12,-15,-10,1,5,6,27,-3,14
091150_1..S02R::1404446400.0,58,-23,-10,14,15,-6,0,16,-7,-4,-4,8,-19,51,-13,64,7,-1,-16,-3,-12,20,-64,-13,-8,-11,-10,7,-37,-5,5,-1,10,-9,17,12,-8,-4
091950_1..S02R::1404446400.0,44,-17,-12,11,25,7,21,9,4,-15,-19,7,-19,95,8,-71,15,10,-4,-11,16,29,14,34,18,-10,6,12,6,0,-7,-10,-2,19,3,16,-12,9
092750_1..S02R::1404446400.0,66,-9,3,2,5,6,-5,4,-7,-8,-2,11,11,-4,-12,109,-17,54,-11,-1,5,21,-10,6,-1,-2,-9,9,-4,3,10,2,-10,-35,-1,-7,-6,9
093550_1..S02R::1404446400.0,62,-27,19,5,33,12,2,0,-1,11,23,14,-19,48,-1,-66,7,29,12,19,21,20,-11,16,12,9,-5,13,10,12,15,20,-10,5,23,-4,-11,25
094350_1..S02R::1404446400.0,57,-70,10,1,0,0,4,11,-3,-4,-46,8,11,72,-10,-70,5,20,-6,-1,15,-3,17,24,-47,14,-8,7,-5,2,2,-17,2,0,8,15,-1,15
095150_1..S02R::1404446400.0,60,-13,8,-11,36,26,-4,3,13,-7,0,5,-19,56,10,-66,-1,11,7,0,14,41,-69,19,-7,8,12,2,28,14,11,-15,-5,-7,3,-4,-2,6
095950_1..S02R::1404446400.0,60,-12,-54,9,58,3,-9,5,-7,-4,49,-20,-19,48,-4,111,-4,80,-15,-17,-27,19,-6,13,-11,4,-17,1,-6,1,-3,-20,-5,5,7,-5,-15,-14
096750_1..S02R::1404446400.0,53,-21,22,-6,29,13,0,-9,-4,-7,24,-4,-19,33,-16,-24,0,22,-9,-13,17,14,6,16,-13,-5,-10,-12,11,-2,8,1,-3,-2,6,16,-4,15
097550_1..S02R::1404446400.0,66,-15,12,-1,16,10,-2,-4,-12,-12,68,9,-49,35,11,54,5,36,19,12,-8,0,-12,13,13,-13,16,0,-27,-1,-14,-2,-5,-12,1,-13,3,11
098350_1..S02R::1404446400.0,66,-18,1,13,82,4,-8,4,-9,8,-55,-8,11,14,4,-74,21,13,-12,-2,1,-10,3,5,1,-7,11,-11,-2,3,1,7,12,9,20,-5,-14,-2
099150_1..S02R::1404446400.0,62,-25,-7,17,38,26,8,6,17,-59,18,4,-19,55,19,-89,13,24,11,-8,1,26,13,20,-9,-6,14,3,21,-10,-11,-35,0,4,2,8,217,4
099950_1..S02R::1404446400.0,48,-32,-12,20,13,16,4,-5,3,13,18,12,161,59,3,-90,-6,31,-6,-10,-3,24,-13,-4,15,-36,8,7,23,3,-26,0,6,-1,8,21,-14,3
100750_1..S02R::1404446400.0,69,-23,7,11,24,0,9,5,-8,9,-2,2,-19,37,7,55,-66,84,-8,6,-3,11,-17,27,6,4,-15,-1,-11,7,7,-21,9,-1,17,-6,-5,-6
101550_1..S02R::1404446400.0,50,-38,0,11,30,20,8,-1,3,2,-4,6,11,61,-7,-76,-11,17,-2,3,12,6,-15,21,3,-1,2,8,13,9,6,9,4,-2,15,-6,-9,-2
102350_1..S02R::1404446400.0,52,-14,-15,11,10,20,-6,20,-9,9,-12,-6,-19,65,30,-62,-14,22,8,-11,-3,7,0,16,13,-4,-3,-10,28,13,11,3,-6,-14,30,25,-11,-5
103150_1..S02R::1404446400.0,53,-7,5,-5,19,-1,20,-2,10,10,10,5,41,20,0,-45,3,18,4,-20,-8,70,10,11,9,8,6,2,-7,6,-12,9,-2,9,5,-9,5,10
103950_1..S02R::1404446400.0,50,-66,-17,0,15,-12,8,6,12,63,-16,8,-19,-10,-2,126,-16,50,11,-7,-15,3,-62,16,-4,1,5,2,11,-3,-9,-21,1,6,11,-8,6,21
104750_1..S02R::1404446400.0,48,-69,-14,17,24,10,0,2,15,5,-12,23,11,11,23,-27,21,10,-7,-11,1,17,-15,-23,14,-8,13,-10,16,-3,6,-4,-8,-8,-2,5,-13,4
105550_1..S02R::1404446400.0,49,-11,6,14,63,48,-2,-1,2,0,11,3,-19,54,-10,-67,14,11,-3,16,10,18,9,35,9,-10,-4,1,15,5,-3,-9,-8,-5,23,-10,9,-4
106350_1..S02R::1404446400.0,47,-21,-6,6,28,18,28,11,22,12,0,9,11,73,9,69,13,1,14,3,0,12,-8,11,5,-5,18,-4,12,28,12,3,-7,-12,4,4,-4,17
107150_1..S02R::1404446400.0,51,-21,10,10,39,35,22,18,11,5,22,11,11,90,22,-12,-16,46,3,20,31,31,14,11,11,-14,14,19,9,9,-4,-11,10,38,30,19,-3,-4
107950_1..S02R::1404446400.0,53,-24,-10,16,21,2,-10,14,14,14,-1,3,-19,54,8,-95,-4,23,12,3,-11,41,-17,-9,7,-21,15,-1,-9,-7,2,-6,12,12,19,10,-11,-1
108750_1..S02R::1404446400.0,47,-22,26,16,7,2,0,18,-3,5,0,10,-19,70,-6,-74,-9,18,21,5,-10,-1,-15,15,4,-28,-6,0,-4,-2,8,9,-13,0,26,14,-3,
109550_1..S02R::1404446400.0,59,-28,14,11,29,33,1,19,0,15,18,-14,11,28,6,23,8,-4,-8,15,-21,15,-5,15,14,-14,-5,21,8,0,8,-7,18,2,22,13,-12,-5
110350_1..S02R::1404446400.0,61,-23,5,9,45,22,15,-8,10,0,18,8,-19,62,15,-79,8,32,3,12,2,4,7,19,3,10,11,10,29,11,22,7,-5,-17,23,24,-7,-4
111150_1..S02R::1404446400.0,52,-23,13,3,25,33,12,-8,4,15,18,11,11,55,8,40,7,25,-2,-9,7,3,16,1,15,-12,2,12,-1,1,10,28,10,4,13,14,-8,20
111950_1..S02R::1404446400.0,42,-16,-13,40,18,-1,7,10,-4,16,12,-55,11,88,-24,-64,13,14,17,16,45,26,-23,22,13,-13,-12,-10,-5,-4,-3,-12,18,0,18,6,10,-9
112750_1..S02R::1404446400.0,65,-8,-14,65,25,25,-7,7,24,-11,4,26,11,86,16,-61,-37,37,18,-18,13,20,-8,35,14,5,-14,-7,19,-6,-55,-3,5,14,13,10,1,20
113550_1..S02R::1404446400.0,52,-12,1,34,15,21,-3,4,9,0,-2,-26,-19,32,-6,-73,-4,30,7,0,4,20,15,27,-2,-1,-6,0,21,21,14,3,-27,-11,8,4,0,18
114350_1..S02R::1404446400.0,63,-19,-17,36,56,-5,7,-10,-2,62,-18,4,-19,131,1,-61,-5,65,4,-7,-7,-25,15,13,-3,-2,-8,-5,12,-18,-18,-15,0,-6,3,5,4,13
115150_1..S02R::1404446400.0,62,-11,-8,30,31,15,20,28,27,-16,-1,-10,-19,81,5,-57,-7,1,7,-6,20,31,-4,8,18,-3,3,-11,16,15,14,5,46,25,14,-1,-4,18
115950_1..S02R::1404446400.0,24,-35,-5,16,10,-4,-12,-6,16,14,10,-9,-19,90,-21,70,-9,20,9,14,17,17,0,-1,15,-4,10,-7,-14,14,-44,-5,10,30,18,24,10,0
116750_1..S02R::1404446400.0,48,-82,-13,18,11,3,4,0,8,4,-4,12,11,151,-4,-85,12,13,0,1,21,-4,-9,29,-34,-9,2,12,-4,8,10,-1,-1,4,2,-8,-38,3
117550_1..S02R::1404446400.0,47,-20,-6,7,7,5,-6,-2,-6,-1,5,-1,11,61,22,28,-19,4,-11,5,22,22,9,-4,-2,-64,-9,1,-5,-1,-4,-9,9,22,13,-10,5,-6
118350_1..S02R::1404446400.0,39,-25,5,-2,30,-5,4,2,2,-14,6,-13,11,123,10,-62,6,4,-8,-15,10,6,25,15,14,15,2,-19,12,4,-18,8,5,-6,-2,-2,1,11
119150_1..S02R::1404446400.0,42,-33,4,38,27,-3,9,-5,26,20,4,-1,11,115,6,-45,36,21,14,0,13,85,-2,13,-8,7,22,0,-8,14,12,14,0,-23,32,-4,17,0
119950_1..S02R::1404446400.0,52,-15,-17,24,77,21,23,-6,38,-8,-8,2,131,124,13,-64,17,25,9,-4,17,33,10,12,-5,-11,8,2,16,14,-6,-15,5,22,27,-7,-4,18
120750_1..S02R::1404446400.0,58,-25,-15,6,6,6,1,2,0,-58,13,6,71,86,-15,-83,5,12,-5,-15,5,-3,-12,19,14,11,-7,7,0,4,10,-10,5,-8,-1,-7,12,2
121550_1..S02R::1404446400.0,33,-25,-14,1,67,16,13,17,23,2,-8,3,-19,38,-4,35,4,5,16,-2,10,5,-15,11,-3,-15,5,-1,5,-6,8,-6,-3,0,2,12,-12,13
122350_1..S02R::1404446400.0,44,-25,-39,17,32,-3,-6,12,7,5,11,-2,-19,36,-3,-52,0,27,4,13,-9,21,5,-3,9,5,3,-3,-7,13,-4,9,13,-17,19,3,10,-4
123150_1..S02R::1404446400.0,61,-14,15,17,9,-13,4,-1,1,0,-1,-11,-19,46,-8,146,-9,51,-2,3,14,-3,-3,-1,-2,6,-1,-17,5,11,10,-12,18,-9,18,3,-3,-4
123950_1..S02R::1404446400.0,76,-8,8,2,15,5,-6,15,8,18,-6,-4,41,149,6,-64,5,-1,23,-3,-13,-7,3,11,-5,15,10,-4,-3,-12,12,-15,1,-13,8,6,-5,17
124750_1..S02R::1404446400.0,39,-16,16,5,15,0,14,-10,9,17,2,15,-19,67,8,-35,8,32,16,-1,-9,2,14,5,27,-12,7,18,-3,-5,21,-12,13,6,14,11,20,20
125550_1..S02R::1404446400.0,29,-16,-5,14,68,8,-12,-11,-12,5,-11,0,-19,-1,5,108,-3,67,-8,-56,9,18,3,1,-2,-16,12,-3,-11,11,-1,-13,-7,3,8,1,-10,-7
126350_1..S02R::1404446400.0,42,-12,16,-7,54,-1,-1,3,47,11,-5,9,-19,23,2,57,-26,23,0,-1,-2,20,-12,14,0,-11,10,2,23,12,9,-7,-15,-16,-2,-2,-7,6
127150_1..S02R::1404446400.0,50,-31,-6,-1,47,-5,-11,-2,-4,-16,9,-1,-19,-2,12,96,9,12,-7,11,-8,15,8,6,9,-8,-11,-2,12,3,-4,0,-81,9,-1,-7,9,-18
127950_1..S02R::1404446400.0,64,-17,10,15,20,-7,30,-7,8,-2,9,12,-19,13,13,-72,9,6,-2,4,13,24,17,7,0,14,8,26,-32,2,-3,-8,18,-8,21,-10,16,1
128750_1..S02R::1404446400.0,44,-18,0,16,23,15,-5,-23,-10,-1,-1,-6,41,122,-9,-79,-9,44,15,-2,1,17,-4,5,-5,0,24,-7,14,-10,0,9,-6,17,-1,8,10,2
129550_1..S02R::1404446400.0,2,-11,20,8,34,2,9,12,6,-7,-24,-6,11,62,-20,-55,13,55,30,2,15,5,22,-12,-5,-8,6,-9,1,-5,5,-3,10,4,15,6,8,24
130350_1..S02R::1404446400.0,39,-19,19,-6,53,-3,4,13,6,1,-7,28,-19,14,-6,54,2,-7,0,-38,-4,5,-8,5,-47,-16,-1,0,-16,11,17,-10,-38,-9,4,3,-7,9
131150_1..S02R::1404446400.0,50,-6,-17,1,131,8,-12,1,7,54,-4,9,41,-3,33,-80,-18,80,5,4,7,-11,-61,17,-19,-4,-1,-4,-3,-8,-5,-17,4,7,-7,-14,-11,8
131950_1..S02R::1404446400.0,40,-56,-11,7,18,16,0,14,2,14,-11,-13,-19,31,6,-88,12,16,-8,-10,3,17,23,13,16,-8,4,-12,12,-1,8,-2,14,6,17,16,-10,-5
132750_1..S02R::1404446400.0,44,-22,-2,12,28,27,6,14,4,-7,14,3,-19,34,-21,-82,12,-9,25,12,9,-3,6,17,3,16,8,3,-2,-4,16,12,-10,3,23,-21,25,-1
133550_1..S02R::1404446400.0,53,-9,-17,-9,1,8,7,10,6,2,-9,8,11,13,-4,58,1,-2,-38,-55,0,6,-12,7,-6,12,3,16,-3,8,10,-9,-9,-4,0,-1,-37,8
134350_1..S02R::1404446400.0,59,-32,-6,7,38,0,16,13,6,-11,17,0,-19,-9,47,-86,14,53,5,14,-15,18,7,-22,-17,-63,-3,-1,-10,-15,14,1,-7,5,26,4,-10,-3
135150_1..S02R::1404446400.0,42,-19,-6,-14,86,-14,13,-14,67,-16,2,-9,-19,4,15,106,-1,0,-3,9,-8,6,-26,13,10,-17,0,-12,7,9,7,-3,4,0,13,3,-4,-4
135950_1..S02R::1404446400.0,38,-32,2,17,33,10,-1,-3,0,9,8,7,-19,-7,0,83,-5,2,-6,11,5,-3,16,-7,8,7,-3,3,-27,1,4,11,10,-7,19,-12,9,-2
136750_1..S02R::1404446400.0,48,-20,9,18,58,-2,-15,-17,-4,12,0,-8,11,-20,8,54,-5,-17,-4,5,-1,14,-2,36,8,5,-66,-10,-15,8,-9,-15,8,6,15,0,7,-4
137550_1..S02R::1404446400.0,45,-10,-11,-3,16,-9,7,8,0,-56,59,-7,-19,83,-50,100,4,60,0,-19,-13,1,8,0,-14,-11,-59,-19,12,-18,7,-3,-14,-6,-4,6,-5,7
138350_1..S02R::1404446400.0,-126,-20,-16,9,104,7,14,3,9,-8,-27,-15,-19,9,-9,62,-7,87,12,9,-21,14,-2,17,14,4,2,6,-11,-3,-11,-13,-3,0,8,-11,0,-8
139150_1..S02R::1404446400.0,,,,-46,17,-2,-4,14,14,20,24,20,11,,11,,1,32,13,-8,-10,14,16,12,19,9,13,17,-10,-7,-37,-10,-7,-12,-1,7,-4,5
139950_1..S02R::1404446400.0,,,,,-12,1,-13,4,17,-16,17,-4,71,,14,,,12,-13,4,-10,15,3,,7,,24,-5,-9,2,-6,,,6,,-11,83,
140750_1..S02R::1404446400.0,,,,,,,-16,1,4,51,11,-17,-19,,-10,,,49,7,14,,39,-3,,14,,-3,3,-67,-9,-12,,,-26,,-13,6,
141550_1..S02R::1404446400.0,,,,,,,,-36,-6,-14,12,2,-19,,15,,,,21,9,,,-18,,11,,-14,1,,-1,10,,,,,19,14,
142350_1..S02R::1404446400.0,,,,,,,,,,27,18,8,-49,,-25,,,,,11,,,33,,0,,,17,,,0,,,,,,-4,
000650_1..S02R::1404532800.0,36,-55,-2,11,12,-11,1,-7,9,-11,97,-13,-409,53,-13,17,22,98,11,11,14,-4,-3,-2,11,-11,-1,-15,3,-5,-41,-87,10,-11,13,-15,4,-6
002550_1..S02R::1404532800.0,37,-7,9,9,-4,7,-16,2,-12,49,10,-16,-1549,-4,26,-67,-11,26,13,-17,5,18,-2,14,-13,-33,9,9,-10,-4,-11,-97,4,0,13,-12,8,-8
138350_1..S02R::1404532800.0,45,,-3,1,19,7,3,-1,44,-5,11,4,101,,13,-55,-3,40,2,4,-4,3,12,4,1,3,16,5,1,5,0,8,13,-9,13,-5,34,17
139150_1..S02R::1404532800.0,12,-4,6,-34,105,11,11,7,6,11,-10,-13,41,41,8,-73,-16,-2,12,-1,-15,14,-3,-14,1,-1,-5,8,-4,-2,-1,6,-18,-5,-2,-7,-15,11
139950_1..S02R::1404532800.0,65,-24,-44,20,25,18,13,12,-1,9,24,-6,-19,-7,0,-84,-5,9,-5,15,-5,18,-2,15,10,7,-3,-8,15,2,-6,-6,6,18,-12,17,4,3
140750_1..S02R::1404532800.0,57,-7,-4,-39,7,-33,-31,-12,-14,-1,9,9,11,-2,-6,105,6,7,-10,-14,-24,-15,-12,9,-8,-9,4,11,-15,4,9,-1,-4,8,6,0,13,11
141550_1..S02R::1404532800.0,62,-10,2,20,81,1,-12,-2,5,-11,9,6,-19,-22,-12,-36,-4,-103,7,11,-25,-14,-13,23,11,9,-3,-1,-10,-8,7,79,7,6,-12,-13,10,2
142350_1..S02R::1404532800.0,62,-21,18,29,3,-1,-2,-1,0,-5,-7,13,101,8,-82,-68,17,9,-8,-5,-10,48,8,21,-7,-5,4,14,-7,-2,-8,-3,4,-8,8,8,-6,15
143250_1..S02R::1404532800.0,42,-34,4,7,10,22,-1,11,10,-7,6,-12,101,14,10,-86,6,7,-37,-2,0,15,-56,24,-7,11,10,-14,18,1,-24,17,0,-3,25,16,11,28
004550_1..S02R::1404532800.0,45,-7,-7,3,20,-12,14,23,-11,-54,14,3,71,-1,-6,-74,14,-24,19,-13,-11,-10,-14,18,-10,-7,12,-1,-8,-11,-11,-1,8,0,-8,12,-23,63
006550_1..S02R::1404532800.0,15,-9,-12,11,25,-9,-13,6,7,18,-49,-60,-49,20,1,-65,-19,20,4,-7,14,41,-38,2,-10,-5,7,12,12,-15,-16,-12,9,8,13,4,-7,-4
008550_1..S02R::1404532800.0,61,-20,-3,15,-16,-11,4,13,10,-3,-10,-4,11,13,-7,-84,8,1,5,-7,-14,0,5,18,-6,-67,2,-15,7,8,3,-6,6,-6,16,-1,-14,-2
010550_1..S02R::1404532800.0,59,-16,38,9,21,-2,15,-19,-15,1,17,-5,101,63,21,-80,14,16,6,12,37,19,0,6,4,9,17,-4,-7,9,10,7,21,10,22,18,18,28
012550_1..S02R::1404532800.0,40,-15,4,-6,10,2,-11,-7,13,2,-9,8,71,-20,-3,-77,8,10,14,-56,1,22,14,10,-6,14,7,-24,-10,-4,11,14,-1,7,11,14,-39,23
014550_1..S02R::1404532800.0,59,-25,-40,5,82,-13,-9,1,14,60,12,8,-19,8,-9,-83,-19,14,14,-13,-24,-11,-7,6,-8,-12,5,-2,1,-3,-11,1,-3,5,8,-13,7,15
016550_1..S02R::1404532800.0,40,-17,6,8,62,-20,-17,10,-12,7,89,6,-49,-14,32,-67,-12,-6,-13,-25,10,10,-7,10,4,1,9,-2,-7,1,9,8,-5,-24,5,-6,-3,20
018550_1..S02R::1404532800.0,46,-27,10,10,47,-11,-16,-12,3,-5,48,2,-19,6,-7,-93,-6,2,-5,-67,-9,-12,2,4,-13,2,33,-8,0,10,-5,-13,-3,1,14,5,-47,-9
020550_1..S02R::1404532800.0,34,-24,-12,-6,58,8,-13,4,-8,-14,74,-7,-49,-16,10,-36,4,44,-6,9,-23,11,5,19,10,-16,-13,-14,-7,5,4,-5,-28,2,8,-4,14,-21
022550_1..S02R::1404532800.0,52,-18,-43,7,3,-1,-11,11,3,-1,-1,-3,-19,41,-45,22,4,19,2,-2,7,14,7,-6,-2,0,-1,-5,-10,11,-8,5,9,12,14,-36,-1,-6
024550_1..S02R::1404532800.0,41,-8,-7,-13,96,-4,-41,6,-4,48,0,-2,-19,26,2,74,2,54,-49,9,1,-4,-18,-15,10,-16,-8,-9,10,11,14,-2,12,-3,25,-35,-2,-3
026550_1..S02R::1404532800.0,39,-25,-38,-6,9,1,15,25,16,4,-15,12,11,5,22,-78,0,21,9,14,19,19,16,7,7,4,17,15,-5,15,8,11,21,8,20,22,15,23
028550_1..S02R::1404532800.0,40,-16,-10,224,12,0,-9,-5,10,3,-6,-4,-19,-39,-2,-86,-11,61,8,-3,-2,-15,6,12,0,2,5,-11,-6,-11,8,-9,-2,7,10,11,-7,
030350_1..S02R::1404532800.0,42,-9,3,2,76,-8,-37,-2,25,65,12,-17,-19,20,5,49,-13,16,10,8,-11,-6,-5,12,2,4,-10,2,6,-6,-8,13,-5,-14,1,-13,9,13
032050_1..S02R::1404532800.0,38,-23,12,12,50,12,-10,3,-3,15,-25,-14,-49,-26,9,-91,14,47,-13,-21,-10,-8,-7,15,10,-7,-65,16,5,-2,-9,1,6,7,18,-9,4,-6
033150_1..S02R::1404532800.0,36,-12,-11,-12,82,-8,0,11,83,11,-46,14,-19,-43,7,-20,0,26,-1,4,-9,1,-13,-5,5,-15,-13,-25,7,13,-23,-2,-18,-15,24,-4,-8,0
034350_1..S02R::1404532800.0,64,-87,-17,-3,71,14,-2,-13,5,1,-9,2,11,1,-8,-91,6,31,-1,-4,11,-9,-15,2,-4,11,-3,0,0,-18,-1,-8,-9,-15,1,6,-14,9
035350_1..S02R::1404532800.0,68,-12,-16,7,88,6,-6,1,12,51,-1,-2,11,-9,-6,-55,-11,15,-15,9,-1,14,12,22,12,6,2,-9,-10,0,4,-10,3,11,16,-8,-8,20
036350_1..S02R::1404532800.0,58,-24,-12,3,4,19,-4,-5,13,11,-10,4,-19,38,-3,-87,9,4,-6,-10,10,6,12,-5,14,-9,25,1,9,0,6,-2,10,-8,15,16,-10,20
037350_1..S02R::1404532800.0,34,-13,-16,3,98,13,-9,-8,59,13,-2,-2,-19,-11,11,60,-11,-17,5,3,11,-8,8,7,7,2,-7,-7,4,-13,3,-20,-8,7,5,9,-9,17
038350_1..S02R::1404532800.0,34,-29,-8,27,7,19,-20,-12,-10,3,15,-8,101,-6,-2,104,-12,1,-10,-10,12,-13,-20,8,-3,6,10,-18,0,-19,-14,-12,0,-2,-12,7,7,3
039150_1..S02R::1404532800.0,37,-9,-15,17,92,2,-16,2,49,-10,72,-8,-19,23,-9,96,-3,49,6,7,2,0,8,8,10,11,11,-15,-16,-7,-19,-10,6,4,20,-12,2,1
039950_1..S02R::1404532800.0,43,-17,8,19,48,2,12,1,28,-10,19,9,-19,67,15,-79,-1,12,12,12,-5,11,-10,2,14,10,-8,6,-8,-3,9,-22,-13,-1,-4,-12,-14,0
040750_1..S02R::1404532800.0,50,-24,-1,-13,65,18,-11,1,9,-16,51,-10,-19,40,-14,111,3,80,9,7,7,-5,-4,9,9,-11,0,11,5,-3,-8,3,-3,6,16,-12,-18,-3
041550_1..S02R::1404532800.0,54,-16,8,34,12,22,10,8,23,11,15,11,11,-12,25,-33,9,-15,12,16,14,10,19,29,15,14,-7,8,10,19,4,-16,6,2,12,4,15,22
042350_1..S02R::1404532800.0,62,-22,12,16,25,15,8,25,4,16,-7,10,41,12,1,-93,13,20,-5,-7,0,3,-13,16,17,20,5,14,6,0,14,-11,4,8,4,19,-7,13
043150_1..S02R::1404532800.0,31,-13,18,7,77,-6,1,-5,16,52,13,6,11,-25,1,57,-18,0,15,-13,-10,1,-11,9,20,-4,10,-2,12,-2,-10,-2,-3,-9,6,-10,9,19
043950_1..S02R::1404532800.0,39,-8,8,30,27,13,24,8,27,0,1,6,71,49,13,-73,-4,12,3,24,19,13,11,16,10,-1,3,9,11,4,-2,-3,-4,23,23,11,6,-5
044750_1..S02R::1404532800.0,33,-25,-8,3,55,1,-17,-6,6,-4,2,15,11,63,-11,33,10,6,6,29,-1,11,-10,4,-8,-63,0,11,-17,-9,11,-37,-9,-3,6,-15,-1,20
045550_1..S02R::1404532800.0,49,-23,-6,-24,33,-5,13,2,-6,-1,-3,-4,-19,6,12,-18,10,41,-10,2,-17,7,8,22,-4,-7,-8,-8,14,4,5,2,10,1,-17,-10,-10,22
046350_1..S02R::1404532800.0,49,-22,14,5,80,-4,8,-13,17,-8,-3,8,-19,62,12,55,15,1,-23,-3,-33,12,-15,11,-4,-9,15,5,25,-14,13,-2,6,-4,13,7,-3,20
047150_1..S02R::1404532800.0,63,-37,-1,-8,72,-10,-4,13,49,6,3,-6,-19,-16,0,113,2,-2,-5,9,-17,-1,8,6,10,-11,11,-14,5,-21,10,4,12,-17,-9,2,-2,3
047950_1..S02R::1404532800.0,,-8,0,6,85,0,9,-4,22,14,1,6,-19,-6,6,109,13,9,-9,7,-5,9,-11,-8,7,-8,-9,-1,-14,6,11,5,12,-2,22,13,-2,30
048750_1..S02R::1404532800.0,,,-46,1,28,16,0,-11,10,14,12,6,11,,3,,7,4,7,-19,9,-5,-14,18,10,-11,3,0,6,-14,-27,-3,-9,-9,0,9,-13,13
049550_1..S02R::1404532800.0,,,,,83,-13,-9,-19,9,-14,53,-16,-49,,-15,,,102,-17,8,-7,-2,-3,15,13,,2,2,2,2,-2,,7,4,,-1,-12,
050350_1..S02R::1404532800.0,,,,,,,19,7,13,14,-11,5,-19,,4,,,20,3,-12,,7,-16,,15,,10,2,-68,10,7,,,10,,1,-12,
051150_1..S02R::1404532800.0,,,,,,,,,32,9,9,-5,11,,2,,,,16,12,,,3,,7,,1,-6,,0,-3,,,,,-19,10,
051950_1..S02R::1404532800.0,,,,,,,,,,12,0,3,-19,,0,,,,,5,,,-18,,7,,-20,-8,,,-21,,,,,,-3,
052750_1..S02R::1404532800.0,65,,,,,,,,,,-49,-3,11,,,,,,,,,,2,,,,,-6,,,-10,,,,,,5,
053550_1..S02R::1404532800.0,51,-37,,,,,,,,,,,-19,62,,-67,,,,,,,,,,,,-87,,,,,,,,,,
054350_1..S02R::1404532800.0,58,-32,-10,,,,,,,,,,-469,52,,95,-10,,,,,,,,,7,,,,,,-9,,,,,,
055150_1..S02R::1404532800.0,42,-20,12,14,12,,,,,,,,-949,31,,83,-5,,,,,,,25,,6,,,,,,-14,7,,18,,,-5
055950_1..S02R::1404532800.0,63,-26,8,-12,11,-3,-3,,,,,,-1429,83,,-94,-3,,,,-12,16,,2,,7,,,21,,,-14,-12,-10,-6,,,2
056750_1..S02R::1404532800.0,40,-27,-4,21,40,13,11,2,,,,,-1909,90,,-108,-6,16,-2,,-4,-1,,23,,1,,,2,9,,1,2,3,-4,-5,,4
057550_1..S02R::1404532800.0,9,-33,6,182,84,9,-10,0,-15,60,,,,67,-1,-67,-12,15,14,,3,-6,,12,,-6,8,,-3,-4,,10,-3,7,3,-14,,14
058350_1..S02R::1404532800.0,52,3,17,-15,9,9,-27,461,13,3,21,-5,,154,17,-93,15,15,18,-11,22,21,7,21,16,-11,17,-9,13,19,-3,0,-6,-28,26,19,27,0
059150_1..S02R::1404532800.0,45,-25,0,37,4,29,-9,12,17,16,10,0,11,106,10,-101,-11,9,23,13,8,-6,5,-2,13,-1,11,-8,-1,4,4,10,15,25,-17,9,15,24
059950_1..S02R::1404532800.0,55,-14,-8,0,17,14,-11,13,5,15,-12,-15,11,109,4,-52,8,14,10,-9,-3,34,-4,36,19,-9,4,12,10,10,9,0,3,22,8,23,4,17
060750_1..S02R::1404532800.0,57,-8,5,348,52,5,-12,-20,-2,14,1,6,-19,86,5,-65,2,58,-10,8,0,19,-12,-4,-21,10,-11,5,-4,6,-8,16,6,6,15,0,14,-6
061550_1..S02R::1404532800.0,69,-20,-6,34,49,36,19,22,23,-5,-6,-24,11,123,-54,-64,-6,27,-18,-1,10,23,-14,28,-7,-4,-11,7,16,13,1,-2,8,20,38,-4,32,1
062350_1..S02R::1404532800.0,63,-5,14,1,68,20,2,12,0,-7,-22,6,11,139,-9,-76,-1,17,-4,-12,12,20,-14,45,-51,-73,5,5,9,9,-20,-10,38,-7,17,0,-13,24
063150_1..S02R::1404532800.0,8,-20,8,23,6,4,2,14,14,3,-4,-1,-19,103,0,-68,-28,20,11,0,18,-6,9,-49,3,8,6,-8,0,-6,-3,-14,0,-3,7,11,16,17
063950_1..S02R::1404532800.0,63,-10,-10,-7,-26,-1,17,-1,14,-9,14,8,-19,76,9,10,-34,29,2,16,13,-60,14,24,11,7,13,5,2,8,4,1,2,15,2,-6,31,6
064750_1..S02R::1404532800.0,52,-26,-12,24,38,17,10,-17,3,10,-1,8,11,101,5,190,-2,54,5,4,10,-22,-15,-4,7,12,-7,3,7,15,16,-5,7,-1,19,-2,-3,1
065550_1..S02R::1404532800.0,63,-12,8,28,35,-20,21,30,9,21,12,-3,11,82,9,48,19,50,-3,2,21,33,1,37,27,22,11,-6,-15,0,14,23,25,21,43,8,25,23
066350_1..S02R::1404532800.0,65,-5,-3,10,23,11,0,13,8,21,-7,14,41,60,7,-36,11,-6,-3,-58,0,-2,-14,10,-9,-7,9,8,1,3,13,3,-1,-31,10,16,-29,-11
067150_1..S02R::1404532800.0,42,-37,-7,-11,62,0,-9,-1,8,13,17,7,-19,64,-22,-75,1,86,10,10,-2,22,-62,7,13,166,-1,-1,-3,-91,-17,-8,-3,5,13,-11,5,-3
067950_1..S02R::1404532800.0,38,-13,3,12,49,30,18,20,6,28,7,3,-19,142,10,-73,4,24,17,6,5,15,14,36,3,8,8,-1,1,23,7,14,-33,24,29,30,23,0
