,639S,634S,632S,628S,627S,623S,621S,615S,612S,604S,601S,635S,624S,606S,640S,629S,625S,616S,607S,602S,633S,622S,613S,617S,636S,626S,608S,630S,603S,618S,614S,637S,631S,609S,619S,610S,638S,611S
073350_6..S01R::1404446400.0,7,5,3,2,12,18,15,19,19,7,-19,55,22,14,30,22,19,-9,-4,14,20,10,18,13,15,24,6,14,2,0,-5,19,36,2,20,3,29,19
074150_6..S01R::1404446400.0,1,13,10,10,26,13,-20,-1,-4,-7,-19,55,-8,7,15,9,-10,18,-3,14,-4,4,18,3,-5,3,12,-2,-18,-7,15,1,42,10,35,10,14,-2
074950_6..S01R::1404446400.0,0,-5,9,1,4,19,12,12,5,-4,11,18,-3,8,2,6,22,15,-7,3,3,16,8,8,19,6,7,-5,2,-2,16,1,56,5,24,10,14,2
075750_6..S01R::1404446400.0,25,10,-6,21,-9,-4,26,15,-4,-8,-19,27,5,5,5,51,6,-36,-5,19,-10,24,61,20,8,-4,12,2,-8,4,-37,15,38,-16,9,-5,3,14
076550_6..S01R::1404446400.0,8,5,-9,9,17,10,12,5,16,4,-19,56,20,14,14,36,14,0,-28,13,-14,5,44,-5,-6,26,11,13,-24,14,13,4,8,15,12,-8,-13,15
077350_6..S01R::1404446400.0,3,-14,-7,6,15,-12,26,-8,-16,-9,71,42,0,-19,20,38,6,-3,5,-6,-8,-1,66,-2,3,17,-1,5,4,-6,-10,17,16,5,27,-6,7,-10
078150_6..S01R::1404446400.0,-2,15,-7,2,5,-2,9,11,11,2,-19,40,13,-12,11,34,-12,-8,9,29,-11,16,71,6,3,13,22,34,-7,-3,-7,18,22,-4,2,3,3,-3
078950_6..S01R::1404446400.0,,,,15,49,12,37,24,-4,6,-19,,20,1,,29,10,16,9,-3,,22,17,8,,12,30,32,15,-7,6,,-99,20,18,18,,1
079750_6..S01R::1404446400.0,20,-4,21,29,21,14,24,12,14,52,11,26,-3,10,3,29,90,-5,-4,5,6,0,-3,-36,2,22,8,66,6,-8,13,17,11,10,23,18,-2,8
080550_6..S01R::1404446400.0,-20,6,-13,-3,-4,-11,12,13,-25,-2,-19,33,3,15,-70,63,7,14,4,4,13,8,4,9,9,-1,19,10,6,2,14,-5,17,-37,27,6,-16,0
081350_6..S01R::1404446400.0,10,-14,-21,-5,10,-7,11,12,8,6,11,47,6,-12,13,55,13,16,6,-1,-46,12,7,11,2,21,-3,4,1,3,15,3,37,-30,0,10,-11,-1
082150_6..S01R::1404446400.0,3,-2,-8,26,10,1,34,-3,12,15,-49,24,11,-2,13,32,12,-2,16,18,11,23,6,-7,-4,23,29,17,-36,12,6,6,44,-10,31,-1,16,17
082950_6..S01R::1404446400.0,26,24,5,23,19,-2,8,17,3,3,11,62,4,14,-63,27,23,15,-2,8,20,-4,0,5,22,34,2,8,3,19,1,-2,71,7,12,14,8,3
083750_6..S01R::1404446400.0,11,10,-13,15,16,-4,19,1,13,-1,41,94,8,15,9,74,17,-17,3,14,-14,-5,62,14,1,34,9,-2,-7,-25,4,-9,7,-13,9,-3,15,-8
