,639S,634S,632S,628S,627S,623S,621S,615S,612S,604S,601S,635S,624S,606S,640S,629S,625S,616S,607S,602S,633S,622S,613S,617S,636S,626S,608S,630S,603S,618S,614S,637S,631S,609S,619S,610S,638S,611S
108750_6..S01R::1404532800.0,,,,,,,,,,,-739,,,,,,,,,,,,,,,,,,,,,,,,,,,
109450_6..S01R::1404532800.0,,,,,,,,,,,-1159,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150_6..S01R::1404532800.0,,,,,,,,,,,-1579,,,,,,,,,,,,,,,,,,,,,,,,,,,
128350_6..S01R::1404532800.0,13,,,,,,,,,,,,,,-7,,,,,,,,,,,,,,,,,24,,,,,1,
129250_6..S01R::1404532800.0,-4,2,11,,,,,,,,,31,,,14,,,,,,7,,,,1,,,,,,,15,,,,,1,
130150_6..S01R::1404532800.0,17,-3,18,9,19,,,,,,,46,,,23,6,,,,,10,,,,1,24,,-5,,,,13,32,,,,-3,
131050_6..S01R::1404532800.0,24,6,-4,-5,-3,14,14,,,,,27,-5,,-1,28,-5,,,,19,12,,,20,10,,22,,,,-5,26,,,,9,
131950_6..S01R::1404532800.0,10,-42,15,-3,36,6,25,-4,,,,18,17,,-101,-2,81,-6,,,-25,-1,,16,12,11,,-6,,3,,-10,32,,20,,-70,
132850_6..S01R::1404532800.0,-15,10,-27,1,7,5,33,8,21,,,35,15,,-8,-2,13,11,,,-44,-7,11,2,2,32,,21,,15,14,36,46,,11,8,-3,0
133750_6..S01R::1404532800.0,3,-21,1,18,20,-10,96,-2,20,2,,41,2,-17,20,-12,-29,2,-2,-17,-48,21,26,-3,-16,22,11,4,7,14,3,-6,33,11,6,-10,12,10
134650_6..S01R::1404532800.0,1,-13,2,9,20,12,14,-2,14,-2,-19,43,-8,-24,18,44,-2,6,16,-31,-4,-6,15,4,8,17,-4,-23,-4,-4,2,-8,38,-4,28,5,10,-2
135650_6..S01R::1404532800.0,-3,-13,2,8,6,-6,7,-6,-1,7,-49,23,9,-15,13,9,14,-28,1,-33,-3,12,66,0,0,-23,22,12,1,-44,4,16,60,-64,23,-1,-1,-8
136650_6..S01R::1404532800.0,1,-10,-7,14,31,13,50,15,5,-22,-19,44,-7,-12,18,10,-4,-10,1,-13,10,-2,11,11,0,9,16,0,-9,0,-9,2,33,-19,-33,16,11,7
137650_6..S01R::1404532800.0,11,-6,4,7,2,-7,11,1,12,-33,-19,49,6,-9,-65,65,12,-15,5,-24,1,11,-68,13,12,1,21,8,7,4,2,-5,17,1,-3,12,-15,-25
000700_6..S01R::1404619200.0,12,13,-10,11,6,-12,32,9,19,3,11,13,4,-11,25,74,12,-11,4,-95,-12,4,56,-12,17,2,-31,11,3,12,12,-1,26,2,17,12,-13,6
002200_6..S01R::1404619200.0,-5,-21,-58,12,-25,-8,13,17,0,-3,101,32,6,-20,-79,13,11,-6,-4,-37,-11,12,6,-8,5,2,15,13,-1,13,-11,-11,-3,-9,14,2,2,-7
138650_6..S01R::1404619200.0,1,,,,,,,,,,,,,,12,,,,,,,,,,17,,,,,,,-3,,,,,11,
139650_6..S01R::1404619200.0,10,-40,12,,,,,,,,,54,,,8,,,,,,4,,,,25,,,,,,,-6,-5,,,,17,
140650_6..S01R::1404619200.0,13,-17,-2,-14,-14,,,,,,,40,,,16,49,-4,,,,-11,,,,-15,16,,-69,,,,-1,14,,,,-13,
141750_6..S01R::1404619200.0,4,11,9,7,12,-23,35,17,1,2,-109,37,4,-15,8,2,3,-5,-3,-29,-3,16,12,-79,-8,16,160,-2,5,21,-8,2,12,-15,36,-5,17,-11
143250_6..S01R::1404619200.0,5,-8,6,3,4,0,27,16,19,,71,18,10,,19,10,14,4,,,1,19,-62,-27,14,4,6,9,,-8,-8,-4,55,3,27,-17,13,4
003950_6..S01R::1404619200.0,17,7,-11,-1,-2,-36,24,-1,-9,-1,11,-37,6,-26,-2,0,9,-24,14,-23,-16,18,-4,1,2,-5,4,-1,4,-11,11,13,7,9,15,-13,-4,8
005950_6..S01R::1404619200.0,-2,4,-8,10,16,-4,31,22,-17,17,71,26,2,-33,4,12,2,-4,7,-11,15,-11,22,16,24,15,20,-9,-5,1,-35,-5,31,-61,28,-2,8,15
007950_6..S01R::1404619200.0,-3,17,-2,14,8,15,33,-4,13,-10,11,24,0,-26,8,49,6,4,18,-31,-5,5,18,2,13,2,-8,70,-2,-6,2,-2,3,-88,27,7,13,-28
009950_6..S01R::1404619200.0,-76,9,-5,-8,-12,3,17,5,25,3,11,7,15,-16,0,-5,-11,5,28,-32,-9,20,5,0,9,12,1,0,-2,-9,9,18,10,-1,17,11,1,-6
011950_6..S01R::1404619200.0,9,24,-1,2,-2,2,152,-7,6,3,11,39,-40,-11,10,3,67,-1,-2,-27,39,22,5,-3,-8,-22,7,7,3,-12,8,5,2,5,19,-15,-7,8
013950_6..S01R::1404619200.0,1,27,10,2,-35,-19,110,6,-12,3,-19,35,-33,-42,9,8,1,-15,-1,-24,5,-7,18,13,2,-5,19,4,6,-25,8,16,17,-6,4,6,7,1
015950_6..S01R::1404619200.0,15,60,11,7,4,11,24,-9,22,-12,-19,15,-5,-27,19,69,4,-3,-13,-16,8,3,87,-8,-7,-1,5,7,-34,14,-8,8,16,12,20,-9,-9,15
017950_6..S01R::1404619200.0,7,14,-38,13,11,-4,3,0,16,8,11,12,8,-34,22,15,13,7,9,-17,-8,12,77,3,13,6,-6,16,-14,-9,3,-62,-35,1,24,12,15,6
019950_6..S01R::1404619200.0,11,9,-5,-12,-15,14,473,-8,-7,33,11,12,-4,-31,-6,-11,1,2,12,-21,-46,2,62,-6,14,21,1,-57,9,14,-2,-1,-28,5,12,-15,-11,10
021950_6..S01R::1404619200.0,17,-9,10,9,15,18,17,-19,5,-37,-19,43,-3,-17,25,9,-2,12,-34,-86,2,11,-19,4,4,-16,6,7,26,-10,23,11,18,10,18,15,-2,3
023950_6..S01R::1404619200.0,5,15,-5,8,7,13,9,10,-14,-23,11,12,0,-36,7,69,5,-12,10,-3,-9,17,-4,15,15,1,-23,1,21,7,13,-1,0,11,4,-8,15,16
025950_6..S01R::1404619200.0,-8,10,-33,-7,-8,-8,23,22,30,-5,41,26,1,-23,25,25,3,-12,20,-30,-10,8,0,5,-12,-10,3,-9,-2,-8,2,-8,21,4,14,8,5,0
027950_6..S01R::1404619200.0,-10,-1,-23,10,6,14,26,-3,18,-2,11,55,-38,-22,26,18,32,4,-10,-100,3,2,22,3,-3,-2,35,12,-13,-4,0,12,-17,-17,-3,-7,-1,16
029950_6..S01R::1404619200.0,9,0,15,8,3,-8,29,-80,-22,-1,11,22,3,-45,17,66,10,2,0,-29,8,7,46,-32,24,0,17,6,3,-11,-5,-2,30,-6,21,-1,18,-9
031950_6..S01R::1404619200.0,12,-3,9,12,9,-7,30,16,9,16,-19,16,2,-29,23,-10,9,-10,14,-13,4,18,15,17,14,3,-1,-5,-9,4,-12,0,6,3,33,10,-10,1
033950_6..S01R::1404619200.0,-69,0,10,18,-8,-2,19,-10,8,2,-19,25,8,-19,-1,17,12,-6,24,-9,6,18,15,8,-13,-8,1,19,-7,-6,-1,-4,23,7,17,13,8,4
035450_6..S01R::1404619200.0,9,-9,9,2,1,-14,30,-6,7,-2,-19,17,0,-15,25,4,6,4,0,-34,5,1,11,3,14,-5,18,3,122,-6,-3,-4,-15,-9,18,3,16,-2
036900_6..S01R::1404619200.0,0,6,5,10,18,23,-11,8,-12,29,11,49,-4,-9,2,29,22,9,-28,-25,23,14,17,2,4,35,12,9,-3,15,18,9,12,-24,37,9,18,-12
038400_6..S01R::1404619200.0,7,3,-12,6,5,-6,11,15,15,5,-19,29,7,-23,17,5,11,-16,-9,-118,14,11,56,14,-13,4,-22,2,10,4,-13,-3,33,-11,3,30,14,4
039900_6..S01R::1404619200.0,-4,14,6,-12,-53,-2,35,9,-2,10,-19,35,9,-17,0,-10,5,13,-2,-22,-2,24,31,5,13,12,37,4,9,21,-11,-66,32,4,12,8,6,-2
041350_6..S01R::1404619200.0,-3,6,-8,11,9,13,6,22,-4,7,11,304,-7,-11,10,15,-4,-5,0,-30,17,4,61,-80,10,17,11,-22,23,8,-5,-6,-21,14,-25,-7,9,13
042750_6..S01R::1404619200.0,-7,5,-3,-11,-10,29,31,17,-33,18,-19,34,-8,-11,6,18,19,10,4,-22,17,17,4,3,4,26,8,10,11,-10,-6,15,12,6,21,7,1,-5
043950_6..S01R::1404619200.0,1,-6,5,8,4,9,13,12,-19,-2,11,25,-11,-26,9,15,21,-35,17,-111,0,-3,17,14,7,4,2,14,4,5,-8,-9,49,-26,6,11,10,4
045000_6..S01R::1404619200.0,7,10,7,17,19,-9,24,-8,25,10,-19,24,-3,-23,21,12,-6,-7,14,-13,-2,13,6,1,13,6,-28,-1,-17,16,2,18,45,-5,34,3,22,20
046000_6..S01R::1404619200.0,-10,-2,12,-9,-9,2,21,-10,17,16,11,59,-14,-3,-2,29,-7,0,8,-98,-24,22,115,-1,-8,15,18,5,13,-10,-9,-24,72,-7,24,5,-3,1
046900_6..S01R::1404619200.0,17,14,1,-6,-7,8,22,19,-7,15,41,33,-34,-31,-1,1,-34,-3,10,-28,-6,-7,95,-8,0,-12,0,-2,13,10,-7,10,127,2,12,11,-4,6
047700_6..S01R::1404619200.0,12,-11,7,11,13,-19,-9,8,12,5,-19,19,-9,-11,-2,11,-55,-13,4,-20,-1,-2,172,-14,-6,11,-5,5,-12,8,12,6,105,-2,7,8,-7,1
048400_6..S01R::1404619200.0,9,9,-14,5,2,-11,7,-11,-6,-11,11,35,5,-27,-3,8,7,-3,13,-32,-17,9,97,-6,12,3,-3,8,-9,13,-7,-2,103,4,8,-15,17,9
049100_6..S01R::1404619200.0,3,4,14,5,4,-11,3,33,8,-6,-49,23,3,-20,4,8,7,-11,-6,-79,11,16,122,17,17,3,-1,4,-7,7,4,1,15,4,33,12,20,-32
049700_6..S01R::1404619200.0,-7,10,-3,-9,-7,-5,22,-12,13,8,11,34,1,-78,6,23,5,-36,-3,-20,-10,19,88,-8,-24,-7,13,19,16,9,-41,16,90,12,10,19,-26,-33
050500_6..S01R::1404619200.0,-22,6,-4,16,15,7,16,8,-11,16,11,-2,-9,-8,8,20,-5,-12,7,-38,19,-10,150,15,-2,16,-1,15,-3,7,11,4,82,-2,7,7,18,0
051200_6..S01R::1404619200.0,4,14,-4,-14,-95,15,27,17,11,-27,161,14,-8,-22,13,21,-4,-3,-7,-83,-7,3,9,-10,15,13,-3,-11,-9,12,-8,-4,-28,4,14,-16,13,8
051900_6..S01R::1404619200.0,0,-14,-7,13,-22,-7,53,19,16,8,11,43,8,-10,9,-6,14,-6,4,-18,-8,8,83,-10,-2,7,16,0,-23,14,-8,14,76,-6,17,6,7,5
052600_6..S01R::1404619200.0,8,-8,15,-5,-3,13,32,-11,-2,8,11,44,-5,-19,5,-5,-9,-10,18,-18,5,-1,4,10,-1,4,21,21,5,-37,-1,8,32,16,25,22,21,6
053300_6..S01R::1404619200.0,-4,8,-11,-2,-5,13,30,-11,-3,6,-79,34,-3,-34,9,0,1,1,8,-31,-14,7,249,-2,3,-74,-5,1,4,-11,-10,16,128,2,18,11,4,7
054000_6..S01R::1404619200.0,10,0,0,-5,-9,3,14,-10,-22,11,11,28,-18,-10,19,-1,12,2,1,-28,24,19,110,-33,-2,-6,-12,19,1,16,-7,7,78,-7,0,0,-8,-6
054700_6..S01R::1404619200.0,20,-3,13,18,-13,18,32,6,-5,-6,-19,23,-6,-80,25,14,0,12,-10,-36,6,8,-5,-90,2,19,124,16,-3,0,9,15,144,-22,28,-10,1,14
055400_6..S01R::1404619200.0,-4,-15,-8,13,11,2,32,0,18,17,11,15,15,-10,-78,17,-14,8,1,-26,-10,20,-8,3,-6,8,45,-10,1,21,3,10,88,10,9,-12,2,12
056100_6..S01R::1404619200.0,14,7,-6,-1,-3,2,12,5,-8,-20,11,36,13,-8,19,-4,14,12,3,-21,-10,17,2,6,-37,0,24,20,-26,-6,12,8,56,-20,17,-8,-7,17
056800_6..S01R::1404619200.0,9,13,19,19,-2,1,31,14,-1,27,11,33,8,-30,12,7,-31,18,6,-23,3,23,28,11,29,11,44,-3,-76,-4,-5,18,21,12,16,13,-3,2
057500_6..S01R::1404619200.0,20,-9,1,-3,-89,-27,7,7,-5,-4,11,-13,-12,-16,24,6,-6,10,0,-16,-1,46,2,9,15,17,140,9,-15,-3,10,2,139,-15,29,-4,-6,-8
058200_6..S01R::1404619200.0,8,1,14,-18,14,-4,37,16,9,-1,11,33,-34,-24,19,9,-3,-17,-11,-12,6,10,13,9,-17,-17,72,3,-15,-4,-15,-1,36,5,-10,-9,17,10
058900_6..S01R::1404619200.0,12,8,-5,-6,-1,4,79,-2,3,17,-19,6,-15,-34,-4,24,14,2,9,-106,-10,18,16,0,17,4,145,17,-4,10,-1,0,22,-3,-24,1,-10,-8
059600_6..S01R::1404619200.0,,,-32,16,4,24,48,23,-36,26,101,,24,-5,,36,12,-29,4,-24,,18,-1,9,,27,5,42,12,-38,5,,36,-5,18,24,,-1
060300_6..S01R::1404619200.0,-1,-19,15,23,-5,1,25,6,17,-20,11,35,9,-22,4,23,7,11,22,-31,-3,24,17,-27,3,-4,60,12,-1,21,-16,-27,49,-6,16,-30,18,13
061000_6..S01R::1404619200.0,1,-47,5,5,3,-5,7,-2,6,16,71,18,9,-8,5,-21,11,5,8,-10,-42,13,-13,-1,-4,1,-5,8,-11,-9,0,-23,100,-8,19,6,16,-1
061700_6..S01R::1404619200.0,1,8,-15,6,6,11,21,-9,14,7,-19,33,-3,-32,2,5,6,2,-20,-25,10,-2,58,2,0,15,115,1,7,14,-8,-14,9,-70,16,-1,7,-4
062400_6..S01R::1404619200.0,1,-8,7,-5,-3,15,28,15,21,13,11,45,-7,-31,22,2,-33,-7,11,-79,1,-3,0,19,10,-9,95,-1,1,4,16,-8,64,8,9,13,11,6
063100_6..S01R::1404619200.0,18,-5,9,12,20,27,23,-4,6,15,-19,22,0,-16,19,18,5,8,-3,-32,6,-15,16,7,-5,24,95,32,0,-3,-3,7,23,12,89,-6,-5,-13
063800_6..S01R::1404619200.0,15,15,7,10,14,-10,22,19,-4,-10,-19,39,-1,-23,-3,9,-2,-29,-8,-34,-2,8,10,-6,8,14,132,1,4,14,-6,21,31,7,11,-7,-3,-11
064500_6..S01R::1404619200.0,28,13,16,11,24,9,33,31,-33,28,11,35,18,-11,11,35,17,9,-28,-34,1,-3,2,0,3,28,42,22,1,14,10,8,40,12,26,18,18,5
065200_6..S01R::1404619200.0,-11,-8,6,-3,-4,10,28,13,8,-6,-19,18,22,-26,4,1,13,-11,14,-6,2,-5,76,11,1,-3,-28,2,-28,0,-10,12,37,6,24,7,-1,-4
065900_6..S01R::1404619200.0,8,-47,2,-3,-6,11,35,6,25,-6,-19,-10,-5,-22,18,-36,-2,8,-6,-111,-3,4,21,6,-16,-11,126,0,-35,-4,8,-3,129,10,26,-9,16,15
066600_6..S01R::1404619200.0,14,8,7,6,12,-2,39,6,-5,-16,-19,32,3,-27,13,26,21,13,11,-33,-6,12,2,1,7,31,44,-21,-6,-9,12,15,39,-17,16,-7,-3,15
067300_6..S01R::1404619200.0,-1,15,0,3,-28,12,23,11,-6,25,41,13,-7,-27,4,6,25,-14,13,-31,-5,0,2,13,18,4,93,1,-3,5,16,-5,99,8,27,-13,8,10
068000_6..S01R::1404619200.0,-3,-9,13,10,34,7,-6,5,13,-8,-19,41,12,-27,7,27,11,-12,12,-14,0,-28,-2,9,23,19,88,7,17,-4,11,-5,65,5,21,12,8,4
059600_6..S::1404619200.0,0,,341,,,,,,,,,20,,,3,,,,,,,,,,16,,,,,,,-5,,,,,10,
068700_6..S01R::1404619200.0,-11,-8,3,-7,8,9,34,-11,-1,11,-19,36,-13,-26,3,23,22,-4,14,-16,-3,-1,7,23,4,13,89,14,12,-36,-9,16,20,-17,-7,-4,-1,-42
069400_6..S01R::1404619200.0,20,-12,-3,15,22,5,47,-13,7,0,11,44,-10,-17,19,11,20,-7,-3,-31,13,-1,62,-10,0,-1,19,3,-1,14,-11,10,35,-8,13,7,-5,-7
070100_6..S01R::1404619200.0,3,-9,-34,14,16,7,32,-10,8,1,-49,-15,-7,-35,17,8,25,4,5,-15,-4,-4,51,1,9,32,144,-5,-9,-6,-7,-66,61,12,17,-7,10,-9
070800_6..S01R::1404619200.0,-1,9,10,-15,29,19,11,13,7,-9,41,19,-2,-31,25,13,-1,-14,7,-9,-5,9,51,14,-9,6,-3,4,-14,4,-12,1,30,-3,31,5,15,-4
071500_6..S01R::1404619200.0,32,0,2,-2,11,-7,19,21,-4,15,11,48,-5,-16,18,22,27,18,-8,-17,19,16,24,11,7,33,65,39,8,29,-1,10,22,11,27,14,20,-3
072200_6..S01R::1404619200.0,4,-7,0,-15,15,-15,25,-5,14,-1,-19,47,2,-18,10,12,3,-1,-5,-12,-1,-2,11,-34,4,16,107,9,-8,-6,-7,-14,106,-22,21,-5,10,-15
072900_6..S01R::1404619200.0,16,-3,-2,17,29,12,49,-1,6,13,-19,46,15,-12,9,18,19,-8,23,-18,13,-29,10,-20,10,5,81,31,12,-2,11,21,59,13,-9,-11,3,3
073600_6..S01R::1404619200.0,-2,-2,-8,5,20,-3,9,2,7,5,-19,44,1,-20,12,32,-6,-28,-10,-26,10,19,-17,-38,-4,1,30,10,7,4,16,-82,37,6,27,12,14,-37
074300_6..S01R::1404619200.0,16,-16,2,-4,5,8,23,15,15,11,11,40,16,-19,0,27,18,8,-37,-9,-44,11,-36,-4,4,8,53,21,-27,8,-4,13,18,-3,24,4,1,22
075000_6..S01R::1404619200.0,5,9,2,16,28,11,38,2,7,0,-19,23,11,-22,-80,18,9,4,18,-16,-7,0,17,-5,-7,12,26,11,-9,10,12,0,29,-16,7,15,15,1
075700_6..S01R::1404619200.0,7,-10,-24,16,30,-8,27,7,-6,-18,-19,20,-1,-31,19,21,-2,16,9,-25,-1,29,7,10,-7,-83,114,10,1,0,14,4,12,8,30,-13,15,9
076400_6..S01R::1404619200.0,-2,4,0,-6,-5,18,41,5,-5,22,-19,34,-1,-34,4,24,3,11,6,-30,12,5,0,6,8,-5,109,22,4,-4,10,21,123,9,25,-12,8,11
077100_6..S01R::1404619200.0,2,18,-1,-2,-25,12,25,8,1,-13,41,44,-35,-25,9,22,-8,0,-13,-23,-5,1,3,-100,16,9,62,16,3,-44,13,-5,39,-19,20,-6,11,-10
077800_6..S01R::1404619200.0,2,-11,6,3,6,2,19,31,10,-7,11,18,12,-20,13,3,13,-5,-7,-25,-2,21,-7,-11,18,5,97,0,11,12,4,-4,100,11,16,14,12,4
078500_6..S01R::1404619200.0,-6,-12,2,1,10,-5,37,14,-2,14,11,22,6,-32,-3,23,9,-6,8,-17,-5,21,8,-9,0,18,-9,11,5,10,15,13,35,13,-22,-7,1,15
079200_6..S01R::1404619200.0,11,15,9,21,2,6,15,9,15,9,41,36,8,-13,13,44,7,8,-1,-24,0,0,14,0,5,18,37,15,4,19,18,7,72,7,12,-14,-7,7
079900_6..S01R::1404619200.0,-5,-5,-10,10,13,5,57,8,17,14,11,47,14,-13,4,14,-12,14,-28,-28,12,21,0,12,15,11,113,6,14,-2,13,25,131,-21,5,15,5,7
080600_6..S01R::1404619200.0,3,14,22,-17,46,-7,13,13,20,-37,-49,30,-2,-25,20,22,18,15,11,-20,4,27,17,4,15,78,16,-3,7,20,-5,15,56,6,30,9,22,16
081300_6..S01R::1404619200.0,16,7,-11,18,20,-8,50,0,17,7,-19,45,0,-36,16,16,1,6,8,-18,-14,27,28,2,5,20,151,5,-10,12,4,20,39,3,12,10,2,3
082000_6..S01R::1404619200.0,12,11,7,0,19,-35,37,6,17,8,41,39,-25,-16,20,26,1,-12,21,-26,-4,24,18,8,2,11,31,9,10,-7,21,6,50,19,18,1,4,19
082700_6..S01R::1404619200.0,-9,0,-6,-5,0,6,30,17,13,15,11,52,-12,-12,3,26,21,-12,4,-18,18,-26,-1,13,14,6,50,8,42,1,-3,24,49,10,27,19,4,0
083400_6..S01R::1404619200.0,-11,-7,9,14,13,20,14,-83,-8,-10,11,26,-7,-28,-84,17,-5,-37,-14,-28,3,13,26,-4,-5,14,92,33,4,-48,-9,10,50,8,17,-11,-5,-15
084100_6..S01R::1404619200.0,10,-9,6,14,24,11,46,2,-37,-31,-19,45,-11,-21,17,12,17,-42,-10,-24,1,-4,11,8,4,1,101,35,13,-2,19,12,28,11,27,-9,-9,-16
084800_6..S01R::1404619200.0,1,-43,12,19,-5,-11,12,13,20,18,11,18,-1,-13,0,17,1,-12,-1,-37,5,8,13,11,13,15,77,-23,-27,0,-10,-4,27,-6,22,1,12,16
085500_6..S01R::1404619200.0,15,12,-8,-16,21,7,100,-1,5,-27,-19,36,-9,-9,-6,19,25,5,5,-10,-11,3,14,4,-7,-3,145,12,-5,-5,1,5,48,14,23,-7,-7,15
086200_6..S01R::1404619200.0,-6,44,0,2,3,-3,31,-13,-8,-7,11,36,13,-26,26,7,-13,-1,-15,-24,-7,18,0,-2,3,8,96,2,12,-16,-14,12,71,8,46,-9,1,-11
086900_6..S01R::1404619200.0,12,6,-5,16,31,5,31,10,-3,8,11,34,9,-7,17,23,12,-15,7,-37,16,29,3,9,-3,4,73,13,27,-3,16,10,84,12,26,-9,-4,14
087600_6..S01R::1404619200.0,13,-20,4,25,13,19,37,7,9,1,11,37,18,-25,20,14,23,4,37,-31,-10,9,8,-73,22,27,26,22,-6,6,16,24,20,18,26,-10,-2,7
088300_6..S01R::1404619200.0,7,7,-12,-3,0,-9,9,10,-8,7,-19,36,4,-18,-68,24,11,11,-5,-14,14,7,-26,8,13,5,130,21,-8,4,11,-5,90,-16,5,-5,-16,13
089000_6..S01R::1404619200.0,23,17,8,10,-5,11,23,14,22,-2,-19,45,-9,-17,17,6,23,-13,-34,-19,-38,-2,17,12,-3,12,95,27,12,0,-4,7,-7,12,22,-12,6,9
089700_6..S01R::1404619200.0,-8,13,-51,-11,2,-70,26,15,10,10,-49,16,10,-28,1,16,15,-4,-16,-14,-9,12,57,-5,-13,2,157,7,-13,-11,-13,3,36,-19,20,-6,-5,-14
090400_6..S01R::1404619200.0,16,-2,7,9,10,-23,22,14,18,2,11,22,-8,-16,23,-19,1,-10,-7,-28,2,-4,19,-14,-2,19,73,8,-2,10,15,9,108,6,11,-12,-6,13
091100_6..S01R::1404619200.0,4,5,15,6,13,8,15,13,12,16,-19,30,-10,-9,11,9,-4,-9,5,-37,11,17,51,-12,4,17,141,5,-3,10,-8,-10,134,-15,11,-3,13,-6
091800_6..S01R::1404619200.0,1,13,2,-2,8,1,19,15,6,-1,-19,39,9,-14,6,0,11,-11,0,-15,-6,17,48,-15,9,26,112,-7,-12,9,-12,-8,55,11,10,-9,8,-13
092500_6..S01R::1404619200.0,-1,12,1,-8,-3,-10,32,14,-7,-4,11,37,5,-19,7,18,4,-15,-8,-18,-8,6,20,10,8,-2,97,11,-18,-1,-8,-11,14,12,18,-11,8,12
093200_6..S01R::1404619200.0,21,6,-11,15,31,-10,23,12,1,-8,-19,25,-4,-12,-4,9,-4,11,1,-11,37,12,14,3,17,11,67,23,18,20,-5,-6,23,2,14,6,8,-41
093900_6..S01R::1404619200.0,10,-11,13,2,-27,2,27,8,22,12,11,14,5,-20,23,33,3,15,-6,-32,7,22,3,11,2,30,15,-6,-2,1,13,-19,67,4,31,-14,9,13
094600_6..S01R::1404619200.0,,10,2,7,18,1,15,34,8,40,-19,47,10,-9,,19,7,-9,3,-20,-11,27,10,-15,-7,33,6,29,-71,9,18,29,52,2,37,13,,2
095300_6..S01R::1404619200.0,23,-7,18,-27,9,-19,31,-1,-5,-9,-19,30,-7,-28,4,10,-36,5,18,-17,8,2,126,3,13,-14,5,4,-7,-43,5,7,35,6,24,16,9,-2
096000_6..S01R::1404619200.0,11,9,1,6,23,23,-16,1,4,2,11,32,14,-16,13,24,4,8,-5,-14,-8,10,-32,18,0,72,129,6,-9,-5,13,8,29,6,24,9,-8,0
096700_6..S01R::1404619200.0,4,-12,-3,13,33,18,4,-5,18,8,-19,42,-4,-33,13,13,-2,-28,9,-15,-6,5,17,0,10,33,119,11,19,-9,0,-8,19,-18,20,-9,11,15
097400_6..S01R::1404619200.0,11,1,15,3,10,14,39,-79,24,18,11,23,21,-4,17,5,20,-4,5,-32,9,5,-6,-9,21,22,115,21,5,11,1,-8,11,-9,15,-32,-3,-9
098100_6..S01R::1404619200.0,9,18,15,-2,24,10,24,9,-5,12,11,37,17,-37,10,18,15,10,22,-94,3,8,56,2,24,26,35,19,-3,-6,14,25,20,-62,17,-2,-7,-10
098800_6..S01R::1404619200.0,4,5,-7,2,7,-4,34,-7,-4,-21,-19,-9,5,-26,5,-24,5,1,9,-75,-15,23,-3,-5,15,43,88,-1,-11,16,3,-3,29,4,46,7,12,-2
099500_6..S01R::1404619200.0,-9,13,-25,12,22,-7,24,19,-9,-2,-19,40,6,-15,-2,14,11,-1,-1,-19,-4,7,-4,17,10,29,139,-3,17,7,2,21,68,5,39,11,2,6
100200_6..S01R::1404619200.0,-5,-12,-1,-35,10,7,-4,-14,8,8,11,23,-8,-26,16,23,26,-1,-18,-13,-8,-6,170,0,-2,31,2,11,-5,-4,-14,14,20,-18,59,-3,-1,-7
100900_6..S01R::1404619200.0,5,-7,12,15,28,0,18,20,20,18,-19,50,14,-12,22,13,15,-38,4,-31,2,21,116,-5,1,16,23,3,0,16,-42,8,40,-9,18,-3,21,17
101600_6..S01R::1404619200.0,-2,0,-7,15,-4,13,22,-6,5,6,101,20,-6,-20,22,9,-3,-25,-10,-23,10,11,5,-8,11,6,1,-4,13,-15,1,-64,28,-23,44,-14,8,8
102300_6..S01R::1404619200.0,-76,-41,41,-3,-3,-3,37,-15,9,-21,41,24,12,-14,4,4,17,-7,0,-20,2,17,8,-7,-9,10,51,5,12,16,-13,-21,105,15,16,-5,-1,-8
103000_6..S01R::1404619200.0,21,-9,12,13,18,-8,19,-2,19,14,11,40,3,-11,16,14,4,6,1,-101,-36,12,25,2,-35,24,13,2,-4,-9,2,11,43,11,21,-10,0,-18
103700_6..S01R::1404619200.0,12,7,3,9,19,11,17,16,17,-5,-19,43,16,-23,16,1,13,-8,-11,-30,-47,15,19,17,8,27,87,21,2,-3,-7,13,40,13,20,-11,-6,10
094600_6..S::1404619200.0,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,491,,,,,,
104400_6..S01R::1404619200.0,9,-17,-2,12,15,7,14,10,-2,12,-19,77,-8,-23,-6,10,-2,11,20,-21,-8,28,3,6,-9,23,59,-35,13,-3,16,2,33,13,19,-8,-10,15
105100_6..S01R::1404619200.0,-14,-7,0,24,18,0,35,4,-10,1,-19,22,11,-15,0,9,19,-14,1,-24,-3,21,10,-11,-8,39,145,6,-19,-50,0,9,42,7,114,-6,0,-7
105800_6..S01R::1404619200.0,2,-8,14,-5,15,6,16,-23,2,-1,-19,18,10,-23,5,23,8,8,19,-11,4,-8,7,-2,-7,23,83,17,24,14,17,0,16,9,8,12,16,-2
106500_6..S01R::1404619200.0,-6,-12,-1,6,4,-1,5,2,10,-12,-19,40,14,-25,23,10,-10,9,-10,-30,-8,12,-11,7,2,12,165,12,0,-5,4,16,141,-16,26,-3,-25,-6
107200_6..S01R::1404619200.0,16,,315,,226,,45,-19,1361,-7,-19,,,34,29,,,0,12,-20,,360,39,-4,22,,117,165,13,6,-31,-5,,47,21,-14,6,-26
107900_6..S01R::1404619200.0,15,11,3,9,9,6,8,1,15,14,11,11,17,-8,19,14,22,2,1028,-35,-7,28,-5,-1,-5,8,18,13,1,10,3,10,32,-2,-3,12,88,6
108600_6..S01R::1404619200.0,,,311,,238,,118,,,,101,,,,,,,,,546,,402,,,368,,,197,,,473,,,380,,,,
