,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
134900_1..N02R::1404619200.0,-38,6,21,22,6,28,3,9,7,23,-8,-17,-19,59,11,14,23,23,15,-3,17,-9,-3,2,1,-16,-1,18,-4,18,-36,59,8,6,0,-20,17,27
135900_1..N02R::1404619200.0,-2,-19,-2,23,1,18,5,17,10,9,-10,-6,-169,51,10,-58,10,23,24,-4,15,15,5,-4,7,5,-15,-11,-5,16,-8,152,19,-6,2,-2,-2,3
136900_1..N02R::1404619200.0,3,3,24,3,11,37,23,27,12,9,-4,7,11,91,6,9,-72,-3,-1,-2,-37,-13,-6,18,-8,1,-18,15,-1,27,-4,-13,10,19,1,4,19,7
138100_1..N02R::1404619200.0,-54,18,-2,-28,-7,29,15,-2,5,21,-9,7,11,,12,-3,11,19,12,4,-54,9,-6,6,-6,-6,-7,-1,13,21,4,-12,18,0,-4,10,-1,20
139300_1..N02R::1404619200.0,,,,3,20,49,29,11,10,15,12,-15,11,,,,0,17,-35,-36,-5,7,,6,13,5,-26,,19,30,13,64,12,-4,,20,24,-1
140500_1..N02R::1404619200.0,,,,,,43,35,10,-11,-6,-7,8,11,,,,,9,-21,8,,-45,,-2,6,13,-31,,15,19,4,61,,22,,15,,-6
141700_1..N02R::1404619200.0,,,,,,,,-1,5,-4,-5,-2,-19,,,,,,-3,-14,,-6,,,-78,-7,-12,,,115,3,-49,,,,13,,9
142900_1..N02R::1404619200.0,,,,,,,,,,,-3,-4,71,,,,,,,,,-7,,,,,-18,,,,11,-19,,,,-12,,
144200_1..N02R::1404619200.0,,,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,
145600_1..N02R::1404619200.0,,,,,,,,,,,,,-979,,,,,,,,,,,,,,,,,,,,,,,,,
147100_1..N02R::1404619200.0,,,,,,,,,,,,,-1879,,,,,,,,,,,,,,,,,,,,,,,,,
144200_1..N02R::1404705600.0,-9,-13,-3,79,-7,1,17,1,-12,-5,-7,10,-19,66,-34,3,-77,-46,15,-12,-3,-9,-24,-12,10,1,-15,-12,9,40,4,12,-16,-4,11,7,-18,1
145600_1..N02R::1404705600.0,21,-2,-3,5,6,14,0,-8,-9,41,-8,-6,-79,69,-6,-3,-8,23,10,7,-3,-13,17,-4,-6,10,-25,3,-3,32,-8,99,9,29,-6,0,-5,4
147100_1..N02R::1404705600.0,11,-1,10,8,14,12,27,4,-4,-3,8,-19,11,41,1,8,2,-5,16,12,-26,-5,13,-18,-57,-13,-31,9,2,39,9,-34,12,14,15,16,3,20
138100_1..N02R::1404705600.0,-8,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,
139300_1..N02R::1404705600.0,4,-2,17,,,,,,,,,,,56,-3,7,,,,,,,14,,,,,10,,,,,,,12,,,
140500_1..N02R::1404705600.0,-1,12,-4,-9,-1,,,,,,,,,68,-14,-5,15,,,,-8,,2,,,,,-2,,,,,3,,3,,-13,
141700_1..N02R::1404705600.0,2,19,-1,4,9,10,10,,,,,,,67,-14,-1,22,22,,,1,,2,0,4,,,0,-5,,,,8,9,1,,-9,
142900_1..N02R::1404705600.0,8,-2,-1,-4,-9,7,-6,10,5,-21,,9,11,42,6,3,10,-9,-1,-16,-4,-12,-2,-7,-15,-7,-11,-1,3,25,-1,-35,0,4,4,4,-7,-1
148600_1..N02R::1404705600.0,-6,9,-4,6,-5,11,-22,9,-7,3,-8,-9,-19,50,-12,2,-12,-10,17,-5,11,-52,12,-6,-9,7,-14,12,4,105,3,3,1,5,-11,-14,18,19
150100_1..N02R::1404705600.0,12,6,9,10,11,0,13,16,11,-6,-2,-1,-19,76,12,9,0,-14,6,-12,10,-4,6,0,-15,-2,-9,14,-2,6,4,14,-9,-5,10,-15,3,-5
007450_1..N02R::1404705600.0,-177,7,3,19,10,17,-2,18,10,-1,-12,2,11,51,-12,5,3,11,3,8,-8,-15,-9,-2,-4,-6,-19,12,-6,35,0,3,3,12,0,13,-8,-11
009450_1..N02R::1404705600.0,-177,4,5,35,-13,13,-23,-27,12,25,-11,20,11,54,-8,3,6,-47,59,19,18,-12,3,2,6,0,-31,9,2,14,-7,4,6,9,3,4,-2,14
011450_1..N02R::1404705600.0,-160,-12,10,25,14,-1,13,-4,2,-10,-68,15,11,38,-14,-16,5,17,24,33,10,-15,14,-15,5,-19,-17,-7,-1,26,-4,20,9,-4,13,32,-1,1
013450_1..N02R::1404705600.0,-212,0,-16,5,5,5,4,16,-2,12,-6,-25,-19,59,-18,-9,1,-6,40,16,-6,-2,-55,-21,-5,-20,-35,1,-19,29,-17,4,6,-4,-7,-1,1,-15
015450_1..N02R::1404705600.0,-173,6,-16,-6,-12,70,17,-10,-10,15,-3,16,-19,45,-12,21,-17,11,23,-7,-2,0,-15,-9,6,2,-33,1,-3,24,-17,5,-26,-20,-4,-1,4,-1
017450_1..N02R::1404705600.0,-182,-12,6,9,18,69,12,-15,7,-14,4,5,-19,55,-4,-21,9,-14,59,10,4,2,16,-13,-57,-10,-33,-7,1,-22,-14,-13,7,1,-7,1,-6,-16
019450_1..N02R::1404705600.0,-169,17,8,15,-4,34,22,10,-12,7,6,7,11,56,-16,-16,-16,-2,28,0,6,4,2,-11,-11,-27,,-5,12,4,12,-5,11,0,5,-6,-1,16
021450_1..N02R::1404705600.0,-124,10,17,72,-1,3,12,-11,-8,3,-3,-16,11,52,-12,8,-9,-3,15,-4,-22,-6,15,-16,3,6,-27,14,9,74,4,10,-16,-3,-9,-14,9,-4
023450_1..N02R::1404705600.0,-174,15,1,12,-36,-5,-1,2,0,10,-19,-4,11,68,-5,8,-12,-56,-2,-28,17,11,-4,5,-13,-15,-12,-12,6,10,-7,-8,-1,-11,2,397,-9,-28
025450_1..N02R::1404705600.0,-110,10,-12,60,-10,-6,10,-5,-3,-17,2,-14,-19,48,-17,-4,-16,-14,-7,4,-20,3,6,-20,2,-17,-21,7,1,78,-66,-15,-13,-6,12,-3,9,1
027450_1..N02R::1404705600.0,-102,-5,-8,-4,-12,10,6,-5,-5,16,4,-6,-19,42,-9,-7,8,-8,15,4,-3,2,15,6,3,-19,-16,-35,5,74,-14,-11,-2,11,17,0,16,-2
