,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
123800_1..N02R::1404705600.0,2,-25,1,0,-10,95,-26,-27,-10,11,-15,0,11,69,-1,-28,11,0,10,4,5,4,-10,0,0,12,-9,8,8,11,-8,-36,7,-24,19,-2,-3,-13
124300_1..N02R::1404705600.0,9,-33,4,13,15,18,65,37,-5,-11,-13,-2,11,51,5,7,3,3,8,10,-21,-13,6,-13,-7,-27,-10,9,11,4,-1,82,18,-6,8,5,-6,16
125300_1..N09R::1404705600.0,,-9,3,7,10,51,10,10,10,10,17,-15,-79,,26,4,-34,9,25,-3,-23,11,,-5,11,2,-25,4,3,19,-11,94,9,-5,,-1,-6,-10
125800_1..N02R::1404705600.0,114,-7,12,0,15,0,-3,18,13,-3,4,-7,11,68,1,-11,-24,-10,-3,-6,3,-47,22,-3,-10,7,-11,-7,0,116,7,-15,10,0,-9,12,4,-3
117900_1..N::1404705600.0,-53,-4,-3,,,,,,,,,,,63,-1,-2,,,,,,,16,,,,,3,,,,,16,,260,,-11,
126300_1..N02R::1404705600.0,195,-36,-4,21,-6,20,22,12,-1,-9,-2,11,11,69,-13,-3,16,2,18,10,-10,-6,5,-17,-65,18,-31,3,10,71,-4,-11,0,-6,-18,6,-14,-52
126800_1..N02R::1404705600.0,-35,26,-20,4,11,16,24,-21,-21,12,-1,13,41,75,9,8,-3,-4,-4,2,-2,-10,-3,14,24,15,-6,7,-1,202,-5,-14,-6,21,-4,3,-24,7
127300_1..N02R::1404705600.0,224,20,-4,16,0,27,13,16,-17,30,11,-5,11,63,13,-4,18,8,-7,-3,11,4,-1,-1,14,6,-15,3,16,62,13,-14,12,0,27,-10,-8,2
127800_1..N02R::1404705600.0,57,6,3,16,12,0,19,23,-3,-16,-13,-1,11,13,-16,5,1,-8,-15,11,-63,-13,10,-1,21,-16,-10,12,1,48,-4,20,18,2,197,4,-3,0
128300_1..N02R::1404705600.0,-4,-3,-9,9,6,6,-11,8,27,-12,-3,1,-19,69,6,-4,-35,0,4,8,13,-7,5,-7,16,-12,-12,4,-69,67,-19,48,-12,2,230,-2,9,16
128800_1..N02R::1404705600.0,258,-10,-7,-12,16,19,1,-7,12,9,-2,-65,11,49,-13,-6,4,2,-2,-2,-9,-11,7,-31,-56,4,-21,-8,5,55,1,-7,3,-8,172,9,-13,6
129300_1..N02R::1404705600.0,33,-6,12,42,13,6,8,-7,-11,18,-12,-10,-19,46,-37,-12,3,16,8,6,-3,-12,-5,1,-2,10,-20,-54,-4,6,-1,64,-7,10,148,8,267,2
129800_1..N02R::1404705600.0,,,,,,,,,,,,,-439,,,,,,,,,,,,,,,,,,,,,,,,,
130300_1..N02R::1404705600.0,24,-19,7,11,4,37,25,37,16,16,-9,9,-19,50,-8,5,4,-5,1,-35,11,-12,15,8,-10,8,-14,13,1,85,0,-16,11,9,-11,3,3,23
130800_1..N02R::1404705600.0,-233,-5,4,53,9,13,1,18,4,-1,-12,-7,-19,71,6,-20,2,5,-2,-7,5,-14,2,3,-10,-6,-16,-10,-11,62,-26,78,4,9,11,-69,-34,4
131300_1..N02R::1404705600.0,15,13,15,-23,-4,39,8,-5,20,-6,-6,-2,11,45,-17,8,16,-1,4,8,13,-12,5,0,3,16,-11,-15,9,22,-1,-47,-8,9,13,39,10,6
131800_1..N02R::1404705600.0,-51,14,-10,9,10,-71,18,4,1,-12,-9,17,41,50,-20,-6,-34,14,-7,10,7,-16,3,13,37,-13,-2,2,-5,62,-7,-3,-8,-7,5,1,10,22
132300_1..N02R::1404705600.0,4,-7,-9,-3,8,40,8,7,-13,13,-10,-14,-19,38,1,-7,18,12,10,-1,0,-13,-7,-3,3,9,-24,-2,-7,88,-1,-23,-1,6,2,8,14,14
123500_1..N02R::1404705600.0,341,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,
132800_1..N02R::1404705600.0,448,2,-13,15,14,-10,-20,10,,5,-5,6,-19,56,-16,-5,3,13,2,-8,-9,-6,9,7,11,4,-21,3,-5,82,10,5,-8,-13,-12,-5,14,-11
133400_1..N02R::1404705600.0,-82,8,8,47,2,12,2,-10,7,-18,-22,-8,11,46,-13,7,-4,1,29,1,9,8,3,-2,-3,-1,-21,-13,-17,20,-9,9,7,9,-21,-2,-3,4
134000_1..N02R::1404705600.0,-153,5,21,21,2,30,15,17,47,-1,8,-2,-79,70,9,14,13,-9,19,11,10,0,-27,5,14,-14,-14,9,26,34,11,105,8,7,27,-11,23,2
134600_1..N02R::1404705600.0,-114,-7,-8,10,-2,10,9,-3,-14,3,-2,6,-19,44,-50,-4,-10,2,10,-4,-13,-8,1,1,2,6,-4,0,13,6,6,27,-9,8,114,-13,25,12
135200_1..N02R::1404705600.0,29,-13,-56,65,-13,22,16,-5,-2,-15,-28,35,11,58,-16,4,11,-16,-14,-22,12,2,4,19,4,-6,-10,-14,-1,16,-14,-10,-62,-7,14,2,-16,3
135800_1..N02R::1404705600.0,29,-17,5,39,0,-20,3,20,9,-2,-3,-2,-19,36,-9,-3,-7,1,3,-10,8,-13,9,4,-10,-2,-19,-3,14,87,5,14,10,11,13,-16,1,-5
136400_1..N02R::1404705600.0,-180,-36,-4,12,11,-5,17,28,11,8,2,-12,11,26,-25,-5,-1,13,6,-2,-10,-4,-2,15,9,-24,-19,2,,86,7,10,0,-9,-34,-9,-13,5
137100_1..N02R::1404705600.0,-130,8,2,62,-9,2,-15,-1,6,-12,-17,-17,-19,65,-10,-23,-17,-10,0,11,12,14,-35,-11,6,-8,-29,-13,2,88,-7,-6,-5,-3,7,5,-10,11
137900_1..N02R::1404705600.0,,,5,9,-9,15,32,7,13,7,-15,-6,-19,50,-27,2,7,-1,2,-2,10,11,3,11,-1,2,-16,,7,87,-80,8,-16,15,6,-3,1,15
138900_1..N02R::1404705600.0,,10,5,-6,-10,-2,13,1,11,10,,15,11,,10,-69,14,-12,1,3,,-1,6,10,5,14,-11,,4,-37,10,16,9,-7,,-5,-7,17
139900_1..N02R::1404705600.0,,,,16,8,,-8,-22,-6,-10,-14,21,11,,,,,19,-15,10,11,-53,,-11,-14,-16,-26,,-2,-18,-6,-1,6,,,6,,16
140900_1..N02R::1404705600.0,,,,,,11,-58,15,19,14,-16,5,11,,,,,-44,-24,1,,-19,,18,-6,8,-3,,,-26,-12,-5,,21,,-2,,5
141900_1..N02R::1404705600.0,,,,,,,,,,-7,-23,12,-19,,,,,,,11,,,,,,-8,-8,,,52,,-33,,,,7,,6
143900_1..N02R::1404705600.0,,,,,,,,,,,,-124,11,,,,,,,,,,,,,,,,,,,,,,,,,
144900_1..N02R::1404705600.0,,,,,,,,,,,,,-559,,,,,,,,,,,,,,,,,,,,,,,,,
145900_1..N02R::1404705600.0,,,,,,,,,,,,,-1159,,,,,,,,,,,,,,,,,,,,,,,,,
147200_1..N02R::1404705600.0,,,,,,,,,,,,,-1939,,,,,,,,,,,,,,,,,,,,,,,,,
144900_1..N02R::1404792000.0,170,4,-8,-19,-1,,8,5,-11,-4,0,6,-19,56,-19,-2,-11,1,11,10,-15,-11,5,-2,-4,-28,-9,5,11,4,6,18,-8,8,-16,-13,-13,11
145900_1..N02R::1404792000.0,98,16,6,15,17,19,11,28,8,2,-13,-4,41,35,-11,7,3,20,1,-7,12,8,8,39,-22,-2,-19,2,11,-75,11,7,10,-8,10,-13,1,-16
147200_1..N02R::1404792000.0,-187,-16,-5,8,-1,25,9,20,-14,4,,3,-19,52,-8,-54,-8,17,5,-4,-6,-3,13,13,7,-14,-9,-26,9,37,-21,-41,-5,4,-11,-11,-10,29
138900_1..N02R::1404792000.0,-193,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,10,,,
139900_1..N02R::1404792000.0,-165,8,2,,,,,,,,,,,72,-14,3,,,,,,,7,,,,,10,,,,,,,11,,-5,
140900_1..N02R::1404792000.0,-185,-8,-4,7,10,,,,,,,,,63,-4,-4,-4,,,,4,,20,,,,,1,2,,,,11,,-8,,-9,
141900_1..N02R::1404792000.0,-165,2,-8,2,7,22,14,-3,,,,,,59,10,-2,-5,11,,,6,,5,7,0,,,6,-7,,,,-14,-11,12,,11,
142900_1..N02R::1404792000.0,-178,1,-80,28,13,38,7,72,-10,,,,,51,-1,-7,24,3,29,14,17,,-15,25,9,11,,-9,5,49,,,23,14,9,,6,23
143900_1..N02R::1404792000.0,-57,15,15,-7,-6,32,2,4,-23,6,8,-17,,62,9,-11,15,-2,22,-10,,6,-7,0,4,-3,-25,-5,11,45,17,-5,-12,3,0,-6,6,13
148550_1..N02R::1404792000.0,-198,0,16,13,-41,-8,8,20,10,-8,-3,7,-19,59,-3,-16,-24,-2,1,-13,11,-7,16,15,7,-3,-34,26,4,89,2,12,-7,-5,15,12,-18,61
149900_1..N02R::1404792000.0,-14,9,-18,11,-12,5,-6,2,2,-14,-2,-4,-19,48,-60,-6,-80,5,-3,-22,-11,-4,-31,3,-22,-6,-16,21,-5,128,-14,10,2,-5,6,-1,-1,-22
007450_1..N02R::1404792000.0,-185,9,-5,12,-4,-24,-2,29,-5,-10,-13,1,11,54,-14,-6,-8,-3,29,7,-16,-17,13,12,-10,-18,0,34,9,41,-4,17,-9,-28,-12,6,17,40
009450_1..N02R::1404792000.0,-182,-1,10,-3,2,23,-2,4,-6,14,-6,10,-19,54,5,-6,-8,2,13,8,1,20,-8,-9,35,-33,-34,22,-71,45,-2,12,-15,3,-4,9,1,15
011450_1..N02R::1404792000.0,-275,5,6,10,1,27,25,36,3,61,2,11,-19,44,-16,-12,-9,5,-8,33,11,0,5,-10,-12,-11,-3,22,14,24,8,29,-8,-5,10,2,14,37
013450_1..N02R::1404792000.0,-163,6,14,7,-12,-5,-2,31,-10,20,9,-1,-19,55,-20,12,-9,-13,11,18,13,7,0,0,-11,6,-24,-19,1,58,19,9,-8,-4,8,18,14,35
015450_1..N02R::1404792000.0,-196,-14,9,-13,7,157,8,-6,1,7,0,6,-19,54,-3,14,-6,7,-9,21,-8,5,-6,-64,-3,-11,-28,-4,-33,23,23,6,152,-5,5,-12,7,32
017450_1..N02R::1404792000.0,-166,4,13,16,24,20,19,4,-4,-20,11,16,11,66,8,11,12,29,17,40,15,0,16,27,9,-16,-18,38,-5,32,-27,-4,4,-11,15,-36,9,-10
019450_1..N02R::1404792000.0,-174,-38,28,6,1,34,,,3,-9,10,-9,11,55,5,10,-8,12,-4,12,10,7,4,-2,,-13,-25,13,17,19,-5,3,16,3,-24,38,-12,292
021450_1..N02R::1404792000.0,-202,-55,0,8,-8,-16,,,-6,1,-15,13,-19,67,-2,9,-13,-14,-10,-3,-16,17,-9,-11,,-21,-1,-13,3,50,-1,-3,-6,4,-1,-17,-12,308
023450_1..N02R::1404792000.0,-170,-3,-4,-74,3,6,-10,20,0,9,-3,-17,41,42,5,0,-4,0,-5,6,7,-4,-27,-7,-10,-30,-25,-1,-15,17,7,10,3,2,4,-10,-6,27
025450_1..N02R::1404792000.0,-162,-48,-16,-23,-24,10,-13,,-20,-8,-13,8,-19,53,-7,-14,-6,2,5,-15,8,-13,14,-8,-4,-10,-33,-6,-15,296,-36,-6,-10,5,-9,11,2,-12
027450_1..N02R::1404792000.0,-93,-1,-4,-6,-8,8,0,14,,13,,8,-19,54,6,-6,8,-3,-18,2,-7,,-7,0,-10,2,-33,1,-24,72,-7,0,3,7,-5,0,-9,-7
029450_1..N02R::1404792000.0,-5,4,-6,61,12,11,-13,-12,-16,-9,-3,2,-19,51,-16,-1,7,2,9,-16,10,-35,-26,-3,4,-3,-4,-18,-9,110,-68,26,-11,2,-14,-35,10,-14
031450_1..N02R::1404792000.0,-2,-4,-16,52,6,54,0,5,-24,-19,-6,7,-139,44,6,-10,1,-1,7,6,-1,-5,9,3,-9,-7,-30,-36,-15,102,9,138,12,-14,-9,-5,6,4
033450_1..N02R::1404792000.0,0,-4,-6,-7,-7,12,-1,1,12,14,-4,0,11,65,-1,-5,12,0,-27,0,-5,-10,-7,-9,-3,-26,-18,-1,10,25,-5,13,2,15,-6,3,-11,-17
034850_1..N02R::1404792000.0,8,13,11,11,9,-3,18,11,-9,4,-34,-7,-49,64,13,12,-5,13,15,-6,13,0,6,-14,17,4,-50,-14,-5,64,-21,13,-9,-5,12,-8,9,-8
036150_1..N02R::1404792000.0,33,2,-11,-5,-19,16,-1,-6,-1,17,3,-9,-19,67,-17,-8,0,2,-5,5,2,3,15,2,-2,-12,-23,0,-10,119,-14,14,10,11,-4,-1,7,34
037150_1..N02R::1404792000.0,104,-2,15,11,24,11,33,77,14,8,18,-2,11,48,2,5,4,20,24,16,5,-3,16,19,9,11,-24,5,19,27,1,10,7,17,-15,2,19,11
038150_1..N02R::1404792000.0,75,0,6,9,-4,26,8,11,-5,14,21,2,-19,49,-24,1,8,13,-34,1,12,11,-5,-2,4,-11,-41,8,15,27,-11,10,29,1,27,0,2,26
039050_1..N02R::1404792000.0,-2,-7,-7,36,12,0,-12,6,-3,-2,7,2,11,64,-2,14,-4,-9,22,11,-9,1,-5,-8,9,-12,-21,11,1,78,6,-57,15,0,0,-17,0,16
039850_1..N02R::1404792000.0,148,-6,-10,-11,17,0,-8,14,-21,12,-16,11,11,59,-1,-9,4,-7,16,3,-10,-18,-10,-8,-15,-20,-1,-3,-26,74,-10,-3,-6,-1,-5,-1,14,-3
040650_1..N02R::1404792000.0,10,17,0,-6,-1,0,-8,17,7,1,-1,-2,11,48,-9,0,11,8,1,-12,-6,-8,5,-8,-63,-9,-4,-2,16,7,5,-11,-7,-2,7,-15,-5,0
041450_1..N02R::1404792000.0,22,-57,1,-3,7,66,19,4,3,46,-12,-3,-19,51,-4,-2,2,2,-75,-2,-7,-9,-2,-16,-18,-13,-38,-70,-12,28,10,49,0,-3,-18,-6,-10,8
042250_1..N02R::1404792000.0,6,-6,14,6,1,2,8,16,0,15,-17,13,-19,61,0,-12,21,-9,18,6,12,9,-5,-1,5,-17,-32,-4,-1,32,-12,1,18,4,0,-1,9,-1
043050_1..N02R::1404792000.0,-16,2,-7,7,12,-2,14,2,11,90,12,9,-49,69,-19,-7,7,-11,8,-9,10,,-11,13,7,4,-3,3,-1,32,-2,-38,-11,-4,4,-17,13,10
043850_1..N02R::1404792000.0,14,-38,-28,21,10,27,12,-21,12,12,-7,9,-19,55,2,2,16,0,36,0,15,-18,-28,5,-26,2,-36,4,3,41,-9,7,26,5,12,1,-34,-4
044650_1..N02R::1404792000.0,7,16,8,4,16,45,13,33,-21,56,4,6,11,64,-12,5,-96,2,33,-5,0,-7,4,24,20,-49,-5,4,8,42,9,25,3,23,6,12,12,28
045250_1..N02R::1404792000.0,-3,-3,-5,8,0,-17,24,20,8,7,-12,-2,11,57,5,-3,-10,2,32,-5,12,-15,23,20,18,2,-21,0,13,19,-118,13,-5,16,-5,3,16,7
045850_1..N02R::1404792000.0,-4,11,12,-5,23,22,-30,25,26,64,-5,-94,-19,57,8,12,5,4,19,-12,0,-3,-5,12,18,-7,-50,-15,14,38,5,11,-3,-7,-2,-12,12,9
046450_1..N02R::1404792000.0,14,-4,18,-2,3,16,5,1,2,22,11,6,11,58,-2,0,12,22,20,2,-5,-1,14,-2,0,-15,-40,3,-4,7,10,11,1,-6,13,12,18,21
046950_1..N08R::1404792000.0,,,,106,-3,6,16,30,34,14,15,6,-19,,,,8,21,18,25,,0,,11,21,-29,-15,,24,31,5,13,,10,,6,,14
047450_1..N02R::1404792000.0,13,7,22,67,13,34,-2,10,5,11,-11,-18,-19,46,4,17,-1,-12,26,-2,-3,-16,2,1,-16,-18,-27,-12,-2,21,-8,67,11,6,9,-86,17,-9
047950_1..N02R::1404792000.0,-20,-7,16,11,3,21,14,14,12,43,-4,-1,-19,27,-4,-13,-6,-21,6,-3,16,-2,-13,12,14,2,-52,-3,-10,4,-19,3,-12,-11,1,-5,6,-3
048450_1..N08R::1404792000.0,,,,47,14,36,22,13,22,64,18,8,-79,,,,15,3,65,19,,-19,,12,-5,19,-16,,6,44,-12,11,,9,,-3,,7
048950_1..N02R::1404792000.0,-1,-6,-4,19,5,8,5,-4,0,-7,-6,-4,-49,53,-80,-55,18,-5,22,10,10,-17,-6,1,-2,-15,-21,-54,3,33,0,103,-2,8,1,10,9,14
049400_1..N02R::1404792000.0,51,-20,-23,16,35,21,5,43,23,-1,8,1,11,59,-9,6,6,12,40,16,11,-2,9,-1,19,-12,-23,10,3,38,8,2,17,-3,-11,-15,2,-26
049800_1..N08R::1404792000.0,,,,26,-9,30,25,24,10,-19,-11,10,-19,,,,8,11,2,2,,-15,,-13,-10,2,-11,,10,47,-8,53,,-2,,2,,12
050150_1..N02R::1404792000.0,-15,-2,-14,6,14,2,-5,27,8,54,-3,6,11,49,-2,-10,-3,14,26,-51,-24,-7,-7,-4,-8,-7,-17,-1,-30,35,7,-5,-13,-2,5,-12,9,15
050500_1..N02R::1404792000.0,-3,-12,-9,-7,-8,19,17,24,26,73,-2,8,11,58,11,-7,10,3,10,25,-1,-43,23,10,15,-7,-9,-5,15,48,-2,-38,4,-13,-10,-26,18,12
050850_1..N02R::1404792000.0,51,-11,10,47,9,-14,8,21,-4,-4,-78,-69,-19,63,-2,15,0,10,42,9,10,2,-9,6,7,-8,-20,-10,-35,17,16,70,-7,-14,0,22,6,8
051200_1..N08R::1404792000.0,,,,44,4,11,-7,24,-8,54,-13,14,-19,,,,-6,2,41,0,,-19,,-2,-8,10,-33,,-14,38,-4,62,,7,,8,,7
051550_1..N02R::1404792000.0,23,2,17,16,0,33,-30,-11,-9,-4,13,13,11,39,-1,14,14,16,41,12,11,4,22,-3,17,19,-30,16,21,10,9,59,5,2,-8,17,18,1
051900_1..N02R::1404792000.0,50,14,-8,-5,-14,-5,13,-102,-27,54,-12,-14,-19,-1,12,-4,10,-10,22,-12,-5,-12,2,13,7,-6,-23,0,2,40,-3,67,2,-10,4,8,11,14
052250_1..N02R::1404792000.0,-18,-13,-3,2,-6,8,-2,-4,-10,79,-4,-3,-19,163,-2,7,15,-8,13,-6,6,-7,17,-5,-3,-26,-19,-12,6,-13,1,-16,11,8,25,8,-3,12
052600_1..N09R::1404792000.0,,28,0,8,2,19,0,-4,,4,4,8,11,,4,3,-14,3,15,11,6,-6,,-7,-6,-3,-14,7,13,31,-55,1,9,-6,,-5,-3,20
052900_1..N02R::1404792000.0,21,103,-15,-15,-17,26,4,14,-6,33,-8,-1,-19,6484,70,-7,5,4,-11,-1,-3,-10,69,6,4,1,-27,5,-10,9,3,52,13,-12,79,-68,-9,-4
053250_1..N02R::1404792000.0,,69,8,2,-1,11,15,16,17,25,-17,-11,-19,54,54,-66,-14,14,4,-17,2,3,72,10,14,17,-54,12,17,26,-18,31,0,15,16,19,11,8
053550_1..N09R::1404792000.0,,97,-8,-9,-5,14,21,8,-5,-1,,-8,71,,77,47,6,1,44,12,17,8,,18,10,-14,-23,76,10,11,15,-19,16,-11,,-65,-8,-9
053850_1..N02R::1404792000.0,2,27,57,-16,2,32,-8,4,-11,74,12,12,11,62,,81,3,-4,8,-5,21,8,18,-5,12,5,,71,13,30,-13,7,-12,3,-4,-3,-2,4
054150_1..N02R::1404792000.0,-48,7,95,-73,3,2,19,14,3,50,-9,12,-19,24,0,60,25,-4,-5,-16,-52,18,-6,-8,13,-8,-29,47,-19,16,-3,7,6,3,4,4,61,-3
054450_1..N02R::1404792000.0,-51,-14,30,0,20,12,13,-8,9,67,-8,0,11,,14,-20,-119,-19,24,-4,70,-14,-8,-10,3,4,-8,,-1,48,7,58,82,2,2,-8,77,4
054750_1..N09R::1404792000.0,,26,,86,51,0,0,30,-7,-10,-8,4,11,,19,0,66,-5,12,5,59,-11,,-4,-6,11,-6,4,5,45,-2,84,-13,35,,4,-71,10
055050_1..N02R::1404792000.0,-105,-7,-3,21,81,17,10,10,-15,74,-18,-9,-19,59,-74,6,67,65,13,-37,,4,,-15,8,7,-18,-9,72,69,20,9,,-12,,-2,-20,26
055350_1..N02R::1404792000.0,-39,,4,,47,49,-18,32,-12,59,-8,11,-19,39,,9,-27,74,3,-3,-1,-14,10,11,-34,7,-28,-34,58,59,1,65,4,44,-7,-17,-5,11
055650_1..N09R::1404792000.0,,,-68,56,-23,71,6,13,-19,99,6,12,-19,,40,,,68,3,-11,8,0,,66,-58,-4,-33,,23,28,11,-7,9,69,,-8,7,19
055950_1..N02R::1404792000.0,-148,7,,7,12,-98,63,63,-6,1,6,7,-19,62,19,9,-4,,11,12,8,-7,-70,60,57,17,-39,14,-2,31,11,69,-97,33,-4,-13,,19
056350_1..N02R::1404792000.0,-218,-20,-1,-11,4,13,24,48,-12,87,-9,-9,-49,79,8,-33,-37,3,6,-6,,-9,-12,,45,2,-19,8,-11,68,2,90,,,28,13,-6,72
056700_1..N02R::1404792000.0,-2,8,18,7,,30,8,,55,-73,14,17,-19,53,6,17,-2,-66,100,26,3,3,5,4,8,49,-29,-76,,97,3,66,-24,5,-1,7,-10,-27
057100_1..N02R::1404792000.0,-241,-9,5,-17,14,-108,22,10,81,55,8,9,-19,52,28,1,-1,,53,72,16,1,-1,-12,-14,74,-20,-28,,-32,-104,39,-62,-4,-5,16,9,
057500_1..N02R::1404792000.0,-103,17,-6,-26,-3,15,-37,20,,93,25,11,-19,75,-9,-8,17,-27,,40,1,68,8,,8,-16,-31,-34,14,58,72,26,5,,15,80,22,9
057850_1..N09R::1404792000.0,,9,6,8,3,-2,,-24,-14,,60,-2,41,,25,14,,-23,9,,12,88,,,,6,13,-138,-68,21,68,92,15,-3,,16,2,-2
058300_1..N02R::1404792000.0,-207,36,7,97,-12,7,11,11,15,185,33,56,41,70,-30,-23,-16,,6,-14,-18,10,11,-15,-26,0,54,12,-6,,,48,-9,-7,-8,,-6,
058750_1..N02R::1404792000.0,-268,-35,-10,12,-3,21,17,12,,-73,-8,,101,85,0,-7,13,3,19,,13,-15,-9,14,-14,,-33,9,12,20,-9,21,-8,-10,-3,-1,16,-2
059200_1..N02R::1404792000.0,-234,7,3,19,-3,28,9,9,-6,,14,9,41,66,11,3,10,10,9,3,-9,0,3,-1,9,30,-11,3,18,31,,15,-8,0,7,,4,-63
059600_1..N02R::1404792000.0,-149,7,-8,74,-4,-2,11,-1,-4,3,,-6,11,45,-14,-6,-10,-8,-11,-4,1,,14,-17,4,-20,-11,3,4,43,18,-69,-18,-8,14,-68,-59,18
060100_1..N02R::1404792000.0,-42,-3,5,12,0,-2,10,18,-5,,-18,,-49,47,1,1,-11,11,14,-3,-21,2,17,-7,12,2,,3,-9,11,-15,14,15,0,13,9,5,6
060550_1..N02R::1404792000.0,-166,-9,-4,4,9,-1,-3,11,8,70,-7,-87,-319,45,0,-5,-11,14,-6,-5,3,-13,-7,-9,-14,-3,-44,-3,-6,32,-88,11,5,-2,52,0,-8,19
061050_1..N02R::1404792000.0,-174,-15,7,76,3,-17,-1,-10,3,14,9,-12,-49,51,-13,12,-10,3,19,6,5,5,11,1,-5,4,,-9,-69,19,-14,-4,-5,10,69,-2,8,-1
061600_1..N02R::1404792000.0,-30,5,13,46,18,7,2,22,-3,3,-14,20,11,52,-1,10,3,-6,14,-14,8,4,-2,1,-61,-9,-30,16,3,11,17,63,-7,8,5,-5,10,7
062150_1..N02R::1404792000.0,-98,-1,-9,-6,-13,7,0,21,8,52,-14,-5,-19,63,8,-8,8,-4,-2,-4,-6,15,-24,0,-5,5,-16,0,2,31,-5,29,-3,4,8,6,14,-31
062700_1..N02R::1404792000.0,-87,-8,-6,81,5,63,-7,11,-8,7,-2,2,41,53,-27,-37,-2,-1,16,-34,-2,-6,4,-4,14,14,-17,-2,-16,23,10,9,-27,3,8,-6,-13,15
063250_1..N02R::1404792000.0,26,5,9,88,11,15,0,11,-15,66,-12,-16,-19,65,,3,4,8,11,-14,12,-47,12,2,-11,-16,-27,8,-13,9,3,38,10,10,-13,-66,3,-10
063850_1..N02R::1404792000.0,117,18,14,16,6,16,23,22,7,56,-9,-11,11,-64,-61,14,-37,3,22,-12,-11,-18,16,18,-11,-5,-51,-8,-72,12,-3,8,-11,23,24,11,-23,-5
064350_1..N02R::1404792000.0,-141,-12,-7,61,18,18,-26,4,-4,54,3,-18,11,,-3,2,3,-21,-7,-1,-79,4,-5,-4,-15,-1,-28,-15,-3,25,-12,-9,-11,-18,69,4,14,30
064850_1..N02R::1404792000.0,,-4,-4,1,2,29,-23,26,8,12,-7,10,11,,-87,-7,-12,11,19,-6,-2,-15,,-9,-7,-11,-35,0,-11,38,-4,13,15,-2,,2,-2,13
065350_1..N02R::1404792000.0,,,,,,,,,,,,,2711,,,,,,,,,,,,,,,,,,,,,,,,,
065850_1..N02R::1404792000.0,,,,-5,-4,21,24,-105,13,31,6,-4,131,,,,15,10,-2,2,-49,-29,,9,-7,7,-18,,13,27,-17,5,,-13,,-6,,-26
066350_1..N02R::1404792000.0,,,,-85,9,2,-5,-3,-4,6,7,13,11,,,,-13,-12,17,1,,-25,,-5,-1,-20,-32,,-1,-13,8,0,,6,,-10,,2
066850_1..N02R::1404792000.0,,,,,,9,2,-8,7,4,4,-22,-19,,,,,-2,-1,-42,,1,,0,-4,-49,-31,,,31,-20,11,,9,,-13,,-25
067350_1..N02R::1404792000.0,,,,,,,-3,7,8,4,-3,1,-19,,,,,,-3,12,,-17,,-37,-15,6,-24,,,-1,-91,-8,,,,-9,,17
067850_1..N02R::1404792000.0,,,,,,,,-118,12,67,9,-16,-19,,,,,,0,-6,,3,,,,3,-29,,,25,14,-2,,,,-6,,-10
068350_1..N02R::1404792000.0,,,,,,,,,16,66,-9,-11,11,,,,,,,-8,,-9,,,,3,-14,,,,5,23,,,,-15,,
065650_1..N02R::1404792000.0,,,,-1,-6,7,-34,3,18,15,-6,-1,,,,,12,-1,2,3,1,13,,-1,-1,10,-18,,8,32,-8,12,12,7,,1,-1,-10
068850_1..N02R::1404792000.0,,,,,,,,,,-20,0,-8,-49,,,,,,,,,0,,,,,-17,,,,11,16,,,,-6,,
069300_1..N02R::1404792000.0,,,,,,,,,,,-37,5,11,,,,,,,,,,,,,,-9,,,,,-11,,,,,,
069800_1..N02R::1404792000.0,,,,,,,,,,,,-113,-19,,,,,,,,,,,,,,,,,,,,,,,,,
070400_1..N02R::1404792000.0,,,,,,,,,,,,,-319,,,,,,,,,,,,,,,,,,,,,,,,,
071000_1..N02R::1404792000.0,,,,,,,,,,,,,-679,,,,,,,,,,,,,,,,,,,,,,,,,
071600_1..N02R::1404792000.0,,,,,,,,,,,,,-1039,,,,,,,,,,,,,,,,,,,,,,,,,
072200_1..N02R::1404792000.0,,,,,,,,,,,,,-1399,,,,,,,,,,,,,,,,,,,,,,,,,
072800_1..N02R::1404792000.0,,,,,,,,,,,,,-1759,,,,,,,,,,,,,,,,,,,,,,,,,
