,604N,608N,614N,613N,621N,625N,631N,632N,636N,640N,630N,638N,603N,624N,635N,639N,619N,637N,607N,623N,602N,634N,629N,601N,606N,618N,622N,633N,617N,612N,616N,626N,611N,615N,610N,609N,628N,627N
088550_6..N01R::1404446400.0,-9,-2,-10,35,16,10,19,17,16,-19,28,2,-9,2,11,-8,23,18,-9,13,10,17,20,53,12,-10,27,-40,8,12,7,14,6,-8,-7,-5,14,-8
089350_6..N01R::1404446400.0,10,-6,7,21,17,-5,39,9,13,-19,10,-1,-18,14,34,-5,13,14,13,24,3,-35,-7,46,0,12,29,21,-2,6,-2,2,-3,13,14,19,13,14
090150_6..N01R::1404446400.0,14,8,14,14,7,2,31,3,24,-19,37,17,7,-2,56,19,5,1,22,4,18,8,19,61,7,-2,12,23,6,17,19,14,-2,-6,8,9,3,-1
090950_6..N01R::1404446400.0,-6,-11,8,93,126,-12,5,14,10,-19,6,11,2,-7,77,-1,6,4,11,9,653,-9,8,55,9,7,0,-12,-35,7,-17,21,3,5,-37,8,12,-6
091750_6..N01R::1404446400.0,4,19,-5,22,25,4,28,-4,4,11,8,13,153,-26,100,10,11,2,8,13,21,13,1,59,-6,-19,-3,5,-6,6,-53,17,-2,5,11,16,-4,-1
092550_6..N01R::1404446400.0,-12,-5,8,17,20,-5,22,22,8,-19,4,4,21,-5,44,0,61,17,16,8,59,7,4,44,7,5,-69,-4,21,-2,-1,-6,-7,12,12,18,-32,4
093350_6..N01R::1404446400.0,-2,6,20,24,78,-3,31,-2,1,-19,-1,7,2,-6,67,0,24,-4,-4,3,-10,-14,29,69,17,-8,22,-23,10,1,8,-5,-1,-8,-9,-1,-7,1
094150_6..N01R::1404446400.0,0,15,7,15,21,-2,-11,24,5,-19,8,-20,-3,21,70,1,-3,1,3,19,11,15,9,61,-9,-6,1,2,12,-4,-2,2,20,12,8,10,3,8
094950_6..N01R::1404446400.0,-4,1,6,14,23,0,49,26,-18,-19,28,-13,-5,8,38,17,11,33,-5,18,12,19,8,70,15,10,3,3,-11,1,-8,18,-33,8,-14,-6,0,-2
095750_6..N01R::1404446400.0,-11,-8,8,20,10,8,27,-11,-4,-19,16,10,-9,10,29,20,12,-4,14,15,11,18,11,71,5,-20,-3,2,-3,-9,-1,20,13,-17,1,10,3,6
096550_6..N01R::1404446400.0,-11,13,-24,12,43,22,17,21,15,-19,4,-1,-10,5,14,24,15,18,28,16,7,11,2,35,10,3,23,1,17,-3,-4,0,18,-20,4,10,1,7
097350_6..N01R::1404446400.0,-11,-4,-10,28,4,10,47,10,19,-19,11,12,-9,-4,64,15,8,22,16,7,9,2,-28,50,6,-5,16,-14,10,-5,15,15,-9,-5,12,-11,27,-5
098150_6..N01R::1404446400.0,4,16,-2,12,32,20,20,19,20,-49,20,18,4,-26,19,13,-4,2,4,-18,-7,16,14,57,-5,-11,21,4,2,19,-2,-2,14,7,6,10,8,8
098950_6..N01R::1404446400.0,12,3,-12,2,13,12,15,6,-37,-19,-1,-15,-16,-4,65,6,7,-3,-2,4,-26,-9,-54,60,-6,3,17,14,15,-14,6,19,-15,-10,12,-10,-38,-5
099750_6..N01R::1404446400.0,-22,10,0,50,82,-6,28,16,0,-19,18,4,-14,-4,71,-1,13,-6,1,9,3,-81,22,50,-5,16,23,-13,1,0,-17,-11,2,2,-11,-33,19,-5
100550_6..N01R::1404446400.0,-2,8,-10,25,11,4,14,2,3,-19,8,22,1,5,39,11,21,5,-2,13,16,-4,24,70,21,13,27,13,-12,1,-14,10,-1,2,-8,-1,19,21
101350_6..N01R::1404446400.0,,,,,,,,,,3611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102150_6..N01R::1404446400.0,,,,,,,,,,6701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102950_6..N01R::1404446400.0,,,,,,,,,,6221,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103750_6..N01R::1404446400.0,,,,,,,,,,-1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101550_6..N01R::1404446400.0,10,12,-10,9,119,5,10,2,5,11,5,16,13,2,14,11,-4,1,4,16,3,16,2,55,-2,-3,2,7,7,0,8,4,0,-2,-6,3,0,9
104550_6..N01R::1404446400.0,-4,12,8,15,6,22,21,7,-4,-49,25,19,-6,21,147,17,25,5,-1,0,7,6,18,57,17,15,14,19,-5,-4,16,1,-9,-7,6,10,8,12
102550_6..N01R::1404446400.0,11,-4,-10,9,40,-3,40,9,3,-19,13,-6,9,-51,29,19,30,11,13,7,-1,0,-15,65,0,-14,12,17,3,-5,6,0,-14,-10,10,18,9,11
103550_6..N01R::1404446400.0,-7,-3,-10,27,6,-2,15,19,20,-19,22,10,-3,12,13,1,26,21,14,19,15,7,13,62,9,-8,30,-2,9,1,10,0,-9,-5,10,-11,10,11
105750_6..N01R::1404446400.0,7,7,10,21,19,8,29,-5,25,-19,22,2,10,-5,56,-9,15,19,1,4,-2,-14,17,59,-4,15,21,3,-1,8,-1,18,5,14,-9,-2,17,-6
105350_6..N01R::1404446400.0,-2,0,-38,7,14,-1,14,10,4,-79,6,13,0,-2,136,6,55,4,-7,9,-13,-4,7,64,16,3,19,-14,-13,-4,-14,6,-8,2,15,-8,5,11
106150_6..N01R::1404446400.0,-6,6,-7,3,4,9,36,-3,20,11,11,7,-8,-4,11,1,12,-5,-4,4,7,17,4,50,16,5,13,6,-7,16,-9,17,9,3,-1,4,-1,1
106950_6..N01R::1404446400.0,19,-4,-1,5,27,-5,14,24,13,-19,-4,-4,-13,23,12,19,38,15,14,-3,3,15,25,50,5,-14,13,4,0,-6,-4,16,-10,6,10,-11,-9,-1
107750_6..N01R::1404446400.0,-2,-37,-8,10,130,6,29,-16,2,-19,-4,7,3,9,74,-4,3,-6,14,-4,-6,-10,1,63,10,6,12,-12,-5,-5,4,5,-34,-9,-5,7,1,7
108550_6..N01R::1404446400.0,-28,-12,-12,70,24,-1,30,20,11,-19,11,-4,7,2,56,32,6,15,-16,-10,-1,12,2,60,12,-7,3,-3,-15,-4,-35,-1,-37,-12,-6,5,1,8
109350_6..N01R::1404446400.0,10,17,-36,20,16,-3,66,19,18,-19,10,-2,10,-7,33,30,68,22,7,6,90,4,9,53,-2,2,22,-6,15,2,-70,0,0,4,19,15,1,4
110150_6..N01R::1404446400.0,,,,,34,-10,14,4,9,40,13,30,,-16,25,10,20,33,,17,,7,26,,,-10,21,19,521,,,10,,,,,4,1
110950_6..N01R::1404446400.0,5,19,-7,0,61,25,10,-25,38,11,9,15,3,14,43,9,16,3,9,-11,16,0,24,17,-22,8,25,14,21,8,19,13,-5,-1,12,17,13,3
111750_6..N01R::1404446400.0,11,-3,1,72,23,15,24,23,20,-19,-17,8,-23,-7,56,0,25,20,16,-1,22,15,11,51,4,-8,4,4,4,9,2,24,3,11,-8,-4,6,-22
112550_6..N01R::1404446400.0,-30,26,1,17,-1,21,22,17,13,-19,20,-4,-3,19,18,19,14,42,-6,-7,13,8,15,46,15,11,4,-2,-6,-2,-6,-5,-6,6,14,-11,1,3
113350_6..N01R::1404446400.0,3,6,-15,25,8,13,25,28,7,-19,-6,14,36,13,79,-27,3,6,-31,-8,-10,-13,26,50,-11,-7,34,8,12,9,14,19,0,-4,-9,-1,-11,-5
114150_6..N01R::1404446400.0,7,18,6,5,9,15,13,18,-1,244,-4,13,10,15,44,18,-9,-1,6,18,56,2,48,60,-3,-10,23,-6,5,18,0,18,16,15,5,11,-2,-3
114950_6..N01R::1404446400.0,-10,16,-6,-3,13,15,-4,9,12,231,10,-2,52,-7,31,11,16,-1,12,-2,4,-20,14,72,5,-11,4,7,2,4,3,-2,33,12,2,8,11,8
115750_6..N01R::1404446400.0,3,102,13,20,22,15,19,11,8,65,11,8,6,2,13,-5,17,0,-8,10,12,-9,13,64,-14,-14,-4,-16,5,2,-1,12,0,13,-7,1,8,16
116550_6..N01R::1404446400.0,-1,-2,-8,6,61,298,14,-7,14,55,2,-10,1,8,-13,13,12,12,-37,-7,-9,19,6,41,16,14,9,1,2,-11,9,0,-11,-6,12,-62,-5,4
117350_6..N01R::1404446400.0,,,,,,,,,,-169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118150_6..N01R::1404446400.0,,,,,,,,,,-229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150_6..N::1404446400.0,-3,20,,35,,,,,,,,,-5,,,,,,1,,8,,,42,18,,,,,-3,,,-13,,11,16,,
119000_6..N01R::1404446400.0,2,6,-7,2,-37,12,33,-1,29,-19,23,32,-1,9,52,0,-30,5,-4,-12,18,0,21,65,-12,16,5,14,18,13,19,17,13,-1,4,0,13,-10
119800_6..N01R::1404446400.0,-3,18,-3,6,16,10,28,12,13,-19,12,-7,-2,6,40,20,24,10,3,14,12,2,8,54,20,-7,-5,-8,0,12,-3,-17,-3,9,16,19,-12,22
120600_6..N01R::1404446400.0,6,9,10,20,-2,23,23,-39,13,-19,13,12,9,10,75,-2,0,5,0,-11,-5,12,15,49,-7,1,4,5,-8,4,-8,-8,1,12,-14,-2,-13,-4
121400_6..N01R::1404446400.0,-4,3,4,21,-2,12,34,-4,-10,-19,-5,-3,-33,8,22,-5,11,18,-6,16,13,13,-1,48,-14,7,0,3,-9,3,-9,13,0,7,-8,-3,-5,-1
122200_6..N01R::1404446400.0,7,14,7,25,28,4,18,14,15,-49,4,-4,9,-1,35,-8,17,16,1,15,-3,0,5,57,-8,13,-2,-7,-1,7,0,3,5,15,-1,5,-2,5
119550_6..N01R::1404446400.0,7,22,13,26,0,12,251,-37,,,4,,5,14,-109,,-7,,7,-5,-8,-20,5,58,-3,22,11,-26,0,-2,1,24,-10,-13,9,17,-4,3
123000_6..N01R::1404446400.0,3,-1,-12,1,-4,-1,14,13,10,11,-5,-1,1,16,42,-4,4,18,13,-8,15,8,24,54,-4,1,3,-3,16,15,-17,3,7,-4,-4,-2,10,13
123800_6..N01R::1404446400.0,13,17,-1,20,17,14,14,6,-3,-19,4,-2,-13,93,97,21,8,-7,8,14,4,-9,3,63,2,-25,-5,14,-8,9,-9,34,9,7,1,7,2,9
124600_6..N01R::1404446400.0,-5,-6,8,3,110,3,53,-1,8,11,13,5,-2,7,57,-11,-9,-2,16,-5,17,2,19,41,8,-7,18,0,-15,-7,3,-2,-3,25,-5,8,-14,-34
125400_6..N01R::1404446400.0,8,21,10,15,12,20,-3,-27,17,-19,15,-6,7,-7,52,16,4,15,10,2,-9,-8,9,16,-2,1,-11,11,13,-5,5,-6,-8,16,9,15,0,3
126200_6..N01R::1404446400.0,4,9,-5,71,-2,15,32,-10,28,-19,-7,7,7,14,54,-3,14,-34,-2,-3,-1,-3,-6,55,-9,-14,13,-5,5,-1,11,22,-4,-2,-11,-3,-6,0
127000_6..N01R::1404446400.0,6,23,-10,32,23,3,9,2,26,-19,0,4,0,-9,58,-6,14,-6,8,0,9,-6,29,52,-4,-23,10,12,19,11,-13,11,1,-1,18,20,19,22
127800_6..N01R::1404446400.0,12,-6,-2,10,79,26,8,5,18,11,12,-8,12,-10,27,14,12,11,11,9,-3,-14,12,58,-1,5,-4,10,-5,-7,-37,-5,-9,11,14,18,0,7
128600_6..N01R::1404446400.0,4,9,11,20,19,20,10,14,6,-19,-4,-2,-30,0,37,-5,26,10,19,-2,9,12,20,54,-1,13,6,-2,22,0,16,-36,-9,22,10,11,10,10
129400_6..N01R::1404446400.0,3,21,-7,31,32,21,17,15,9,41,14,18,1,19,41,8,9,8,-20,-4,-18,9,5,56,-3,8,12,-38,22,6,-11,-5,-5,-1,12,-15,4,8
130200_6..N01R::1404446400.0,-3,27,0,-25,-1,6,16,20,-1,-19,21,14,20,9,62,26,29,0,-21,12,-1,22,12,10,22,20,15,4,1,6,-4,15,22,8,5,3,3,3
131000_6..N01R::1404446400.0,12,0,3,-23,26,25,38,10,55,11,-1,32,11,9,52,-26,21,6,15,33,20,6,19,47,4,14,14,-8,-7,12,-2,5,4,-21,-8,-7,14,17
131800_6..N01R::1404446400.0,8,24,-2,5,56,5,30,20,32,11,18,0,11,-3,40,7,19,13,-1,4,14,0,2,48,7,5,17,7,13,23,-2,15,1,23,7,1,-4,-1
132600_6..N01R::1404446400.0,1,9,5,19,27,19,42,23,35,-19,13,31,3,9,75,9,10,48,-3,20,141,0,-51,63,-11,11,0,14,-10,4,-8,21,0,10,-6,3,-5,1
133400_6..N01R::1404446400.0,11,16,-1,12,12,-4,57,29,29,11,15,0,-14,19,51,11,13,13,8,-2,4,16,7,59,-1,13,14,-9,1,0,-13,-1,28,3,5,10,4,10
134200_6..N01R::1404446400.0,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135000_6..N01R::1404446400.0,-8,-4,6,11,40,7,64,14,34,41,28,50,-11,5,53,47,10,-4,13,22,13,23,31,57,6,9,23,15,-36,1,-5,19,-3,-17,13,20,8,0
135900_6..N01R::1404446400.0,-7,5,0,16,-25,18,62,14,41,11,25,20,-9,16,53,47,7,46,-5,-5,245,-1,27,47,14,5,10,9,-39,-4,-8,17,9,5,-3,3,-8,-4
133500_6..N01R::1404446400.0,,,,,,,,,,-12,,,,,,-114,,,,,,,,,,,,,,,,,,,,,,
136800_6..N01R::1404446400.0,5,18,7,19,42,13,46,12,22,95,12,21,3,5,78,70,1,49,7,4,20,8,24,52,-4,0,17,-21,14,0,7,34,-3,20,13,14,10,13
137700_6..N01R::1404446400.0,6,-8,11,-2,19,0,43,18,33,71,7,43,7,-7,41,34,2,49,4,5,-11,-8,2,53,-5,3,21,6,-8,14,-3,0,10,14,4,14,-1,4
134500_6..N01R::1404446400.0,,,,,78,4,38,39,7,191,40,-1,,1,29,23,,42,,3,,37,10,,,,7,-1,,,,19,,,,,15,11
138600_6..N01R::1404446400.0,,50,8,23,-4,14,39,15,18,11,21,23,,14,37,36,4,51,1,-9,,18,15,,-35,6,1,1,-9,12,-6,22,14,11,1,-21,-2,0
136350_6..N01R::1404446400.0,-7,-2,2,19,-13,-7,35,6,17,41,14,3,19,-15,43,11,-3,45,15,-1,-2,10,12,66,9,14,17,18,16,6,13,-10,15,1,3,-4,14,-7
139500_6..N01R::1404446400.0,,,-82,,52,8,53,25,47,11,20,37,,17,25,33,14,59,,-7,,13,31,,,14,1,21,-36,,15,24,,-3,,,17,6
140400_6..N01R::1404446400.0,,,,,7,3,31,12,47,11,45,48,,4,32,32,-81,44,,8,,15,3,,,,20,-1,,,,10,,,,,-6,25
141300_6..N01R::1404446400.0,,,,,,0,15,5,19,-19,1,18,,3,47,22,,32,,13,,-2,0,,,,,18,,,,3,,,,,2,11
142200_6..N01R::1404446400.0,,,,,,,0,26,8,35,,24,,,63,29,,31,,,,3,,,,,,17,,,,,,,,,,
143100_6..N01R::1404446400.0,,,,,,,,,6,-19,,16,,,74,3,,3,,,,-77,,,,,,,,,,,,,,,,
144100_6..N01R::1404446400.0,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145100_6..N01R::1404446400.0,,,,,,,,,,-679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146100_6..N01R::1404446400.0,,,,,,,,,,-1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147300_6..N01R::1404446400.0,,,,,,,,,,-1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144100_6..N01R::1404532800.0,2,15,-1,17,33,22,47,13,10,-79,8,13,31,18,44,19,10,-13,-11,-1,-16,-23,2,55,-35,7,7,-2,-6,-2,-10,20,-7,4,13,17,-6,-1
145100_6..N01R::1404532800.0,0,-14,14,-10,15,20,44,15,26,-679,26,25,20,19,46,22,1,4,25,19,-18,-2,38,39,-9,22,42,6,-5,-9,18,10,6,-2,21,-12,13,34
146100_6..N01R::1404532800.0,1,24,3,11,25,1,99,6,2,-1279,1,23,24,21,39,15,5,7,39,-4,-10,3,24,51,1,-4,-24,19,4,23,-2,6,15,-35,-37,26,15,16
147300_6..N01R::1404532800.0,41,-6,0,46,7,9,5,-1,-5,-1999,9,5,16,6,98,-8,19,23,-18,-8,-32,-10,16,50,-18,-10,7,12,-19,-1,-62,7,30,3,5,13,10,15
138600_6..N01R::1404532800.0,-6,1,-1,10,26,7,45,24,20,-19,9,-24,-31,21,20,-18,23,22,13,-3,44,21,31,46,-21,20,6,4,-2,19,-4,11,11,7,-3,0,21,24
139500_6..N01R::1404532800.0,1,-10,11,2,36,16,21,4,6,-19,3,-5,21,10,35,25,4,12,31,15,-18,0,26,47,-10,-1,16,15,13,-53,11,1,1,-67,16,15,20,18
140400_6..N01R::1404532800.0,28,22,8,11,6,13,17,17,23,-19,-2,2,29,13,92,-9,11,21,32,-5,-36,9,25,39,-8,-24,12,-1,-8,22,-117,17,10,22,25,-9,19,-6
141300_6..N01R::1404532800.0,13,17,-4,-22,0,4,42,9,-2,-19,4,8,16,-1,65,-6,10,-4,14,-22,-15,-6,4,53,-7,-18,1,39,0,-4,8,4,-2,-61,-6,4,1,8
142200_6..N01R::1404532800.0,-9,12,-9,34,17,2,-5,-3,-4,-19,-21,12,19,19,67,3,12,6,23,-34,-29,-8,-4,51,-21,5,0,11,16,5,-10,9,-9,0,8,11,8,31
143100_6..N01R::1404532800.0,3,36,1,8,6,-4,17,-5,9,11,-5,-5,32,-5,44,18,-3,8,36,5,-26,-19,-4,43,-2,-4,9,8,13,17,-11,-3,8,4,-5,2,-4,2
148500_6..N01R::1404532800.0,-10,7,1,12,22,5,24,3,21,44,13,-9,23,-3,-1,18,10,14,29,7,-27,-1,-14,58,-24,8,-6,19,-6,-2,-52,18,-3,3,-12,-4,18,-6
150000_6..N01R::1404532800.0,5,6,1,13,18,-4,-9,13,6,-19,10,-12,2,9,5,18,23,-24,25,16,-18,-25,10,49,-20,-9,27,-7,4,16,3,-1,9,15,-2,1,6,9
007500_6..N01R::1404532800.0,-27,-23,-7,7,19,21,34,22,0,-19,20,3,25,16,34,-7,4,27,22,-6,-16,8,17,55,-27,4,5,-2,17,17,14,22,7,-2,-4,2,17,-5
009250_6..N01R::1404532800.0,-2,10,-9,51,-27,-4,3,-3,22,101,118,10,29,-11,38,-1,9,2,31,-4,-76,15,92,47,-26,6,7,5,20,13,16,-48,8,-6,-1,4,-3,1
011250_6..N01R::1404532800.0,14,-4,12,28,8,-34,-27,-6,16,-19,-8,6,16,18,60,-7,15,2,17,1,-12,7,24,46,-29,15,16,-37,0,-3,2,-2,-5,18,14,14,-7,-28
013250_6..N01R::1404532800.0,-32,10,-2,7,17,1,31,5,24,-19,-1,2,-4,0,100,-82,22,-7,-4,7,-25,34,25,48,-15,-16,21,24,1,15,-2,15,10,10,-2,4,15,0
015250_6..N01R::1404532800.0,-6,8,-25,27,0,-1,80,17,18,-19,18,-12,0,-1,79,3,22,18,-1,13,-24,7,18,52,-19,-5,2,-5,13,-2,-10,-5,-1,8,-8,-1,-11,-2
017250_6..N01R::1404532800.0,8,13,11,22,15,3,17,13,21,-19,-1,-14,7,2,35,2,26,-20,3,9,-37,-4,0,47,-25,-14,27,-11,2,10,3,-25,8,18,-1,6,1,-22
019250_6..N01R::1404532800.0,-27,-9,10,14,-3,11,20,-9,28,-19,9,-26,2,7,46,-82,2,-7,9,-7,-74,7,8,18,-13,-1,7,-1,13,0,2,9,15,13,6,13,9,15
021250_6..N01R::1404532800.0,4,-5,-34,36,5,1,26,16,48,-19,10,-6,30,-9,49,11,19,13,15,3,-27,1,12,57,-8,12,18,-8,-8,3,-11,1,-36,4,14,19,2,7
023250_6..N01R::1404532800.0,13,5,-51,30,2,5,15,-22,68,11,-5,19,11,17,38,11,3,7,24,-1,-36,-34,25,61,-25,2,10,18,17,12,15,17,8,-2,-4,1,22,-5
025250_6..N01R::1404532800.0,27,-8,-6,7,-4,23,51,-14,23,-19,-5,4,18,12,51,-8,2,-44,12,22,-17,4,-5,64,-15,1,1,-9,17,-7,18,-6,20,-2,10,16,-6,-2
027250_6..N01R::1404532800.0,17,-4,-1,10,8,3,13,7,28,11,3,0,-12,-7,28,-12,13,-7,-13,2,-12,-10,6,70,-26,12,18,12,-3,-2,-5,2,-4,11,15,-63,-2,8
029250_6..N01R::1404532800.0,6,7,-19,22,16,-10,,,,11,1,,-6,-5,,390,14,,-9,5,-24,472,0,68,-16,-25,-12,,15,-24,-15,-8,24,-4,27,6,-3,1
031250_6..N01R::1404532800.0,20,3,-4,11,7,4,22,18,24,101,-2,-69,16,8,31,3,11,-15,25,-9,-13,-2,0,42,-23,11,7,-10,1,-7,7,0,-6,-3,-13,-5,2,12
033250_6..N01R::1404532800.0,17,15,-14,-1,-8,5,14,8,50,-19,-5,-11,18,-3,25,-24,25,13,9,8,-29,-11,-2,29,-27,-7,-8,14,9,17,7,3,14,-8,7,8,0,5
035250_6..N01R::1404532800.0,20,7,-9,-33,-3,17,26,19,10,-19,-6,16,15,8,43,8,5,7,28,-12,-66,3,-6,56,-25,3,2,-4,18,15,-13,19,9,2,-2,1,-8,-2
036750_6..N01R::1404532800.0,-6,8,-3,32,26,7,28,2,15,71,20,-7,21,-6,31,16,11,10,32,3,-16,-16,20,62,-22,7,22,7,-10,7,-12,5,4,4,-4,6,14,15
038250_6..N01R::1404532800.0,9,11,-11,28,10,15,15,15,25,-19,13,-4,11,16,54,18,23,20,6,0,-6,1,10,32,-20,-8,17,-8,10,5,4,16,-1,-10,-8,-2,13,-9
039750_6..N01R::1404532800.0,8,-8,-47,3,19,1,10,11,12,11,-2,-8,3,9,10,14,14,10,12,22,-15,36,26,51,-20,9,25,30,22,-27,24,5,-4,0,14,18,15,16
041100_6..N01R::1404532800.0,-12,-10,8,25,18,-9,4,3,2,24,7,-1,23,-12,5,14,-36,-7,14,6,-27,-15,12,66,-24,-3,-9,8,16,12,-6,-12,8,10,1,11,12,-9
042200_6..N01R::1404532800.0,,,,,,,,,,-379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043000_6..N01R::1404532800.0,-16,11,-14,62,72,2,-35,-15,-5,-19,18,-10,-11,10,103,4,3,-14,1,-5,-26,-74,11,61,-27,2,12,-10,-8,1,3,2,0,-12,-6,3,5,12
043700_6..N01R::1404532800.0,,,,,,,,,,-589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044400_6..N01R::1404532800.0,7,100,14,14,3,8,15,6,27,-19,-2,6,34,0,54,-7,12,-2,16,10,-27,-9,-2,69,-26,10,24,10,234,328,5,15,5,-9,-42,2,22,-5
045100_6..N01R::1404532800.0,23,,-17,126,59,4,47,0,11,-19,8,3,15,1,78,-15,15,1,13,-14,-9,5,15,48,-21,-3,7,3,-12,342,-4,-2,,-16,,,-12,-1
045800_6..N01R::1404532800.0,16,17,14,24,32,-4,33,9,25,-19,4,0,16,-6,33,18,14,-8,37,4,-17,-4,2,65,-27,-20,16,17,-5,10,15,-1,20,-8,6,13,3,9
046500_6..N01R::1404532800.0,11,13,-14,61,23,5,17,23,36,-19,1,18,2,-5,14,11,14,5,-3,-25,-17,13,22,41,-16,-22,-13,2,-8,8,15,9,-6,-5,10,10,18,17
047200_6..N01R::1404532800.0,12,8,13,14,26,26,-9,26,25,71,-2,14,6,18,23,9,18,-2,27,24,-23,-6,20,21,-20,14,3,-23,26,3,16,14,-4,-7,9,6,-20,-33
047900_6..N01R::1404532800.0,11,4,7,13,36,2,20,15,0,11,8,5,10,-11,33,-4,6,-6,22,0,-26,1,9,,-17,0,13,-9,11,13,2,4,8,15,-4,0,7,10
048600_6..N01R::1404532800.0,,-1,12,27,53,-6,5,8,-20,41,-4,7,,-7,-13,-8,2,3,-79,3,,-81,26,,,2,-7,15,-10,9,-5,-6,4,13,27,-9,-10,-4
049300_6..N01R::1404532800.0,,,4,46,-4,-3,3,-7,28,11,-2,2,,12,28,-5,7,-7,,-7,,12,1,,,4,0,2,-11,-77,-4,-3,,10,,,-2,5
050000_6..N01R::1404532800.0,,,,,8,21,63,-4,-7,-19,-11,-4,,16,31,12,0,21,,-1,,11,21,,,0,12,3,17,,-89,-10,,,,,18,-6
050700_6..N01R::1404532800.0,,,,,-17,11,21,31,18,11,16,19,,-8,22,8,,9,,3,,-15,19,,,,16,7,,,,10,,,,,19,25
051400_6..N01R::1404532800.0,,,,,,,14,8,27,71,17,1,,,57,-12,,-5,,,,-2,18,,,,,14,,,,,,,,,16,12
052100_6..N01R::1404532800.0,,,,,,,15,-6,-3,41,,12,,,13,2,,2,,,,11,,,,,,2,,,,,,,,,,
052800_6..N01R::1404532800.0,,,,,,,,,-6,131,,0,,,,-12,,-8,,,,,,65,,,,,,,,,,,,,,
053500_6..N01R::1404532800.0,-5,,,,,,,,,41,,,-2,,,,,,,,-16,,,76,,,,,,,,,,,,,,
054200_6..N01R::1404532800.0,-7,-14,,,,,,,,-379,,,-2,,,,,,14,,-10,,,68,-22,,,,,,,,,,-11,3,,
054900_6..N01R::1404532800.0,10,-9,4,10,,,,,,-799,,,10,,,,,,17,,-12,,,71,-18,,,,,14,,,10,17,3,12,,
055600_6..N01R::1404532800.0,-1,6,-13,28,,,,,,-1219,,,2,,,,13,,-4,,-17,,,54,-14,-18,,,1,4,5,,0,-7,-7,-3,,
056300_6..N01R::1404532800.0,13,-9,0,5,83,,,,,-1639,,,14,-1,,,2,,13,11,-28,,,69,-28,0,-2,,15,-9,-7,,16,7,7,13,,
057000_6..N01R::1404532800.0,14,18,-1,78,51,-6,,,,,,,16,-5,,,-7,,1,9,-30,,,60,-23,-8,-3,,12,8,-12,-8,3,5,-2,8,-7,-3
057700_6..N01R::1404532800.0,13,9,7,-12,72,-3,41,9,,,6,,11,-3,,,26,,25,8,-30,,6,61,-20,-8,21,,6,-37,4,-2,15,16,3,5,5,10
058400_6..N01R::1404532800.0,-9,19,6,2,13,19,13,15,22,,28,,44,17,23,,7,24,34,24,-11,20,19,47,-13,-34,2,1,-19,8,6,28,0,18,-13,18,10,12
059100_6..N01R::1404532800.0,4,-12,8,21,56,-8,65,0,-6,11,9,-6,8,-6,40,12,5,19,13,10,-73,9,13,50,-14,7,-2,4,-7,6,-7,-10,5,10,-2,9,15,-7
059800_6..N01R::1404532800.0,-2,4,-14,6,87,-32,44,8,5,-19,-2,3,0,-3,12,-11,15,-3,22,9,-24,-13,2,61,-25,-65,-2,12,4,-5,-26,-37,-6,-11,-12,-4,1,3
060500_6..N01R::1404532800.0,13,-3,0,13,9,3,62,-8,-2,-19,-53,-2,14,-11,30,-13,-5,-10,18,-36,-9,10,21,71,-17,23,13,1,-1,-5,-6,5,-9,10,11,-11,17,21
061200_6..N01R::1404532800.0,14,14,-6,4,4,-33,59,-8,1,-19,4,6,15,-12,6,-5,10,-3,34,-36,-10,-19,7,46,-17,6,11,2,21,18,-11,3,13,0,2,10,5,9
061900_6..N01R::1404532800.0,15,0,20,0,22,-1,4,1,7,-19,19,20,14,9,13,-11,8,4,41,19,-33,-10,19,47,,4,-2,10,18,11,19,10,1,0,-8,-4,14,19
062600_6..N01R::1404532800.0,-33,-1,-16,-5,15,-8,89,-2,-1,-19,22,-4,2,13,33,14,46,-8,2,-6,-21,5,20,70,-13,10,14,1,0,18,-4,-9,-12,13,-56,-8,-12,-2
063300_6..N01R::1404532800.0,5,-5,-38,2,16,-1,36,16,8,11,116,14,-26,-12,37,3,12,3,-21,3,-13,4,12,17,-22,10,12,-6,-3,10,-82,4,3,3,19,-11,2,11
064000_6..N01R::1404532800.0,-24,16,0,12,20,9,38,19,3,41,28,10,6,7,44,3,20,0,0,16,-12,8,9,44,,-11,-2,-3,1,-2,-2,13,-10,10,10,19,-6,-2
064700_6..N01R::1404532800.0,-3,21,1,7,4,-23,15,19,20,41,17,8,18,-4,20,8,8,24,4,2,1,17,15,67,-16,3,11,3,-17,-4,7,20,-21,16,-7,23,8,6
