,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
058950_5..N::1404792000.0,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25,13,-11,-5,-8,31,0,-2,23,,,,,,,,,,46
066150_5..N66R::1404792000.0,,,,,,,,2,25,2,-49,,,,,5,,,,,114,,,,,16,116,,59,,,,,,19,3,,,3,,,,,,,-81,,,,,,,,,,,,,,,,,,,,,,,,
066950_5..N66R::1404792000.0,,,,,,,,8,-4,-2,161,,,,,4,,,,,42,,,,,,-1,,42,,,,,,19,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067750_5..N66R::1404792000.0,,,,,,,,,-198,4,71,,,,,7,,,,,36,,,,,,37,,40,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068550_5..N66R::1404792000.0,,,,,,,,,,-2,-49,,,,,66,,,,,-2,,,,,,-12,,6,,,,,,,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069350_5..N66R::1404792000.0,,,,,,,,,,3,-109,,,,,126,,,,,-72,,,,,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060950_5..N::1404792000.0,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070150_5..N66R::1404792000.0,,,,,,,,,,,-169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070950_5..N66R::1404792000.0,,,,,,,,,,,-649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071750_5..N66R::1404792000.0,,,,,,,,,,,-1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065100_5..N::1404792000.0,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072550_5..N66R::1404792000.0,,,,,,,,,,,-1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
