,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
053400_5..N01X004::1404532800.0,,,,-204,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054600_5..N01X004::1404532800.0,,,,,,,,,,,,,,,,,-619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055800_5..N01X004::1404532800.0,,,,,,,,,,,,,,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058200_5..N01X004::1404532800.0,,57,19,,,,,,,,,,31,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059400_5..N01X004::1404532800.0,,46,12,30,,,,,,,,,18,,,,131,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060600_5..N01X004::1404532800.0,,48,19,11,,,,,,,,,14,,,,101,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061800_5..N01X004::1404532800.0,,56,13,22,,,,,,,,,16,,,,41,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063000_5..N01X004::1404532800.0,,56,24,32,,,,,,,,,-6,,,,71,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064200_5..N01X004::1404532800.0,,68,10,14,,,,,,,,,10,,,,161,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065400_5..N01X004::1404532800.0,,51,0,32,,,,,,,,,-1,,,,191,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066600_5..N01X004::1404532800.0,,72,24,-25,,,,,,,,,-1,,,,131,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067800_5..N01X004::1404532800.0,,26,11,44,,,,,,,,,8,,,,11,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069000_5..N01X004::1404532800.0,,53,9,28,,,,,,,,,13,,,,-19,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070200_5..N01X004::1404532800.0,,68,3,4,,,,,,,,,1,,,,101,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071400_5..N01X004::1404532800.0,,69,-14,28,,,,,,,,,8,,,,131,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072600_5..N01X004::1404532800.0,,61,16,38,,,,,,,,,24,,,,131,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073800_5..N01X004::1404532800.0,,65,7,26,,,,,,,,,6,,,,41,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075000_5..N01X004::1404532800.0,,45,23,23,,,,,,,,,18,,,,41,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076200_5..N01X004::1404532800.0,,49,5,29,,,,,,,,,11,,,,71,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077400_5..N01X004::1404532800.0,,72,-13,17,,,,,,,,,16,,,,41,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078600_5..N01X004::1404532800.0,,74,9,28,,,,,,,,,13,,,,161,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079800_5..N01X004::1404532800.0,,63,23,18,,,,,,,,,19,,,,71,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081000_5..N01X004::1404532800.0,,34,23,9,,,,,,,,,-1,,,,71,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082200_5..N01X004::1404532800.0,,52,7,-10,,,,,,,,,11,,,,41,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083400_5..N01X004::1404532800.0,,62,18,26,,,,,,,,,20,,,,191,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084600_5..N01X004::1404532800.0,,56,-1,5,,,,,,,,,2,,,,101,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085800_5..N01X004::1404532800.0,,54,38,17,,,,,,,,,24,,,,-19,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087000_5..N01X004::1404532800.0,,49,10,-20,,,,,,,,,7,,,,-49,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088200_5..N01X004::1404532800.0,,46,28,-3,,,,,,,,,-10,,,,71,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089400_5..N01X004::1404532800.0,,71,1,10,,,,,,,,,1,,,,41,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090600_5..N01X004::1404532800.0,,53,6,24,,,,,,,,,9,,,,101,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091800_5..N01X004::1404532800.0,,62,16,24,,,,,,,,,16,,,,71,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093000_5..N01X004::1404532800.0,,62,28,7,,,,,,,,,1,,,,-79,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094200_5..N01X004::1404532800.0,,64,13,27,,,,,,,,,26,,,,11,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095400_5..N01X004::1404532800.0,,59,23,32,,,,,,,,,-6,,,,131,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096600_5..N01X004::1404532800.0,,60,20,25,,,,,,,,,22,,,,-19,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097800_5..N01X004::1404532800.0,,64,20,-26,,,,,,,,,-12,,,,101,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099000_5..N01X004::1404532800.0,,54,3,15,,,,,,,,,3,,,,11,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100200_5..N01X004::1404532800.0,,63,10,14,,,,,,,,,11,,,,11,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101400_5..N01X004::1404532800.0,,71,33,33,,,,,,,,,17,,,,-19,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102600_5..N01X004::1404532800.0,,77,23,8,,,,,,,,,17,,,,41,,,,,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103800_5..N01X004::1404532800.0,,68,16,22,,,,,,,,,33,,,,71,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105000_5..N01X004::1404532800.0,,56,27,7,,,,,,,,,0,,,,41,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106250_5..N01X004::1404532800.0,,13,3,9,,,,,,,,,6,,,,71,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107450_5..N01X004::1404532800.0,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108650_5..N01X004::1404532800.0,,,,,,,,,,,,,,,,,-679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109850_5..N01X004::1404532800.0,,,,,,,,,,,,,,,,,-1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132650_5..N01X004::1404532800.0,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133850_5..N01X004::1404532800.0,,68,28,25,,,,,,,,,4,,,,71,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135050_5..N01X004::1404532800.0,,63,18,31,,,,,,,,,19,,,,11,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136250_5..N01X004::1404532800.0,,71,12,-114,,,,,,,,,11,,,,-79,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137450_5..N01X004::1404532800.0,,65,14,11,,,,,,,,,-127,,,,-49,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139150_5..N01X004::1404532800.0,,,,-124,,,,,,,,,,,,,-379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140000_5..N01X004::1404532800.0,,61,34,37,,,,,,,,,17,,,,11,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141200_5..N01X004::1404532800.0,,52,4,-3,,,,,,,,,0,,,,11,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142500_5..N01X004::1404532800.0,,2,5,28,,,,,,,,,15,,,,71,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144300_5..N32X002::1404532800.0,,,,,,,,,,,,,,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002300_5..N32X002::1404532800.0,,,,,,,,,,,,,,,,,-1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144300_5..N32X002::1404619200.0,,43,19,27,,,,,,,,,-23,,,,281,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002300_5..N32X002::1404619200.0,,52,5,25,,,,,,,,,-4,,,,-49,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142500_5..N01X004::1404619200.0,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004300_5..N32X002::1404619200.0,,64,19,14,,,,,,,,,-4,,,,-49,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006300_5..N32X002::1404619200.0,,60,-20,5,,,,,,,,,6,,,,-19,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008300_5..N32X002::1404619200.0,,40,-8,22,,,,,,,,,-134,,,,71,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010300_5..N32X002::1404619200.0,,65,15,-2,,,,,,,,,7,,,,-19,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012300_5..N32X002::1404619200.0,,56,11,6,,,,,,,,,19,,,,41,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014300_5..N32X002::1404619200.0,,72,32,25,,,,,,,,,-5,,,,-19,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016300_5..N32X002::1404619200.0,,66,-13,14,,,,,,,,,-9,,,,41,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018300_5..N32X002::1404619200.0,,42,19,13,,,,,,,,,16,,,,-19,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020300_5..N32X002::1404619200.0,,58,12,19,,,,,,,,,17,,,,-79,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022300_5..N32X002::1404619200.0,,54,1,27,,,,,,,,,-2,,,,-49,,,,,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024300_5..N32X002::1404619200.0,,67,1,-5,,,,,,,,,3,,,,71,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026300_5..N32X002::1404619200.0,,44,27,26,,,,,,,,,-4,,,,-19,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028300_5..N32X002::1404619200.0,,61,10,6,,,,,,,,,15,,,,-49,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030300_5..N32X002::1404619200.0,,44,24,-11,,,,,,,,,-9,,,,-49,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032300_5..N32X002::1404619200.0,,41,22,-6,,,,,,,,,5,,,,-49,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034300_5..N32X002::1404619200.0,,,,-131,,,,,,,,,,,,,7841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036300_5..N32X002::1404619200.0,,57,0,18,,,,,,,,,3,,,,-19,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038300_5..N32X002::1404619200.0,,487,21,10,,,,,,,,,12,,,,101,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040000_5..N01X004::1404619200.0,,47,13,25,,,,,,,,,18,,,,101,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042000_5..N01X004::1404619200.0,,53,0,1,,,,,,,,,4,,,,41,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044000_5..N01X004::1404619200.0,,47,24,28,,,,,,,,,-6,,,,-79,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042050_5..N01X004::1404619200.0,,,,-235,,,,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046000_5..N01X004::1404619200.0,,46,24,27,,,,,,,,,-10,,,,-79,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047500_5..N01X004::1404619200.0,,57,,-149,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048800_5..N01X004::1404619200.0,,55,11,3,,,,,,,,,15,,,,41,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050000_5..N01X004::1404619200.0,,49,23,15,,,,,,,,,-13,,,,-139,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051150_5..N01X004::1404619200.0,,61,6,10,,,,,,,,,-25,,,,-109,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052350_5..N01X004::1404619200.0,,49,-1,3,,,,,,,,,-2,,,,-109,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053550_5..N01X004::1404619200.0,,52,25,7,,,,,,,,,-4,,,,71,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054750_5..N01X004::1404619200.0,,45,-4,17,,,,,,,,,-3,,,,-19,,,,,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055950_5..N01X004::1404619200.0,,27,18,33,,,,,,,,,18,,,,-79,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057150_5..N01X004::1404619200.0,,53,17,24,,,,,,,,,14,,,,-109,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058350_5..N01X004::1404619200.0,,40,17,20,,,,,,,,,17,,,,-169,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059550_5..N01X004::1404619200.0,,58,8,-3,,,,,,,,,2,,,,-19,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060750_5..N01X004::1404619200.0,,40,17,-3,,,,,,,,,17,,,,-139,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061950_5..N01X004::1404619200.0,,57,1,-19,,,,,,,,,-3,,,,-169,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063150_5..N01X004::1404619200.0,,48,2,13,,,,,,,,,4,,,,-139,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064350_5..N01X004::1404619200.0,,54,19,37,,,,,,,,,19,,,,-139,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065550_5..N01X004::1404619200.0,,56,3,8,,,,,,,,,2,,,,-169,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066750_5..N01X004::1404619200.0,,51,25,3,,,,,,,,,-7,,,,-109,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067950_5..N01X004::1404619200.0,,55,9,22,,,,,,,,,12,,,,41,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069150_5..N01X004::1404619200.0,,55,24,10,,,,,,,,,-1,,,,-139,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070350_5..N01X004::1404619200.0,,42,25,4,,,,,,,,,-7,,,,-109,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071550_5..N01X004::1404619200.0,,67,10,3,,,,,,,,,7,,,,-229,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072750_5..N01X004::1404619200.0,,46,-4,4,,,,,,,,,-5,,,,-199,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073950_5..N01X004::1404619200.0,,47,26,6,,,,,,,,,-1,,,,-199,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075150_5..N01X004::1404619200.0,,18,7,-7,,,,,,,,,9,,,,-109,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076350_5..N01X004::1404619200.0,,72,28,10,,,,,,,,,-1,,,,-139,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077550_5..N01X004::1404619200.0,,47,21,32,,,,,,,,,-9,,,,-49,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078750_5..N01X004::1404619200.0,,64,-8,25,,,,,,,,,22,,,,-79,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079950_5..N01X004::1404619200.0,,57,-18,29,,,,,,,,,-6,,,,-139,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081150_5..N01X004::1404619200.0,,62,16,26,,,,,,,,,16,,,,-139,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082350_5..N01X004::1404619200.0,,75,0,36,,,,,,,,,8,,,,41,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083550_5..N01X004::1404619200.0,,48,0,25,,,,,,,,,-3,,,,-169,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084750_5..N01X004::1404619200.0,,62,5,20,,,,,,,,,-19,,,,41,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086050_5..N01X004::1404619200.0,,63,28,3,,,,,,,,,-6,,,,-19,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087250_5..N01X004::1404619200.0,,71,24,2,,,,,,,,,-5,,,,11,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088450_5..N01X004::1404619200.0,,48,-3,12,,,,,,,,,3,,,,-19,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089650_5..N01X004::1404619200.0,,58,0,5,,,,,,,,,-2,,,,-79,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090850_5..N01X004::1404619200.0,,67,24,11,,,,,,,,,-4,,,,71,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092050_5..N01X004::1404619200.0,,69,30,16,,,,,,,,,3,,,,-79,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093250_5..N01X004::1404619200.0,,66,16,183,,,,,,,,,15,,,,-49,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094450_5..N01X004::1404619200.0,,66,15,18,,,,,,,,,13,,,,-79,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095650_5..N01X004::1404619200.0,,44,20,14,,,,,,,,,14,,,,-109,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096850_5..N01X004::1404619200.0,,63,30,17,,,,,,,,,4,,,,-79,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098050_5..N01X004::1404619200.0,,67,21,7,,,,,,,,,-4,,,,-19,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099250_5..N01X004::1404619200.0,,50,6,14,,,,,,,,,11,,,,41,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100450_5..N01X004::1404619200.0,,55,16,21,,,,,,,,,16,,,,-49,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101650_5..N01X004::1404619200.0,,69,17,31,,,,,,,,,21,,,,-79,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102850_5..N01X004::1404619200.0,,49,17,36,,,,,,,,,20,,,,-79,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104050_5..N01X004::1404619200.0,,68,30,-9,,,,,,,,,10,,,,-79,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105250_5..N01X004::1404619200.0,,72,22,18,,,,,,,,,21,,,,71,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106450_5..N01X004::1404619200.0,,68,24,18,,,,,,,,,-1,,,,41,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107650_5..N01X004::1404619200.0,,56,-17,8,,,,,,,,,2,,,,-79,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108850_5..N01X004::1404619200.0,,61,11,23,,,,,,,,,13,,,,11,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110050_5..N01X004::1404619200.0,,63,10,9,,,,,,,,,3,,,,-19,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111250_5..N01X004::1404619200.0,,68,28,25,,,,,,,,,3,,,,-49,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112450_5..N01X004::1404619200.0,,47,-22,4,,,,,,,,,4,,,,41,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113650_5..N01X004::1404619200.0,,53,9,26,,,,,,,,,15,,,,-19,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114850_5..N01X004::1404619200.0,,53,5,5,,,,,,,,,8,,,,-79,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116050_5..N01X004::1404619200.0,,65,2,24,,,,,,,,,7,,,,-49,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117250_5..N01X004::1404619200.0,,76,7,13,,,,,,,,,6,,,,-19,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118450_5..N01X004::1404619200.0,,46,34,29,,,,,,,,,38,,,,-19,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119650_5..N01X004::1404619200.0,,80,5,6,,,,,,,,,5,,,,-19,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120850_5..N01X004::1404619200.0,,43,33,22,,,,,,,,,10,,,,-19,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122050_5..N01X004::1404619200.0,,19,13,16,,,,,,,,,14,,,,-79,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
