,224N,227N,123N,128N,232N,235N,239N,250N,255N,257N,226N,238N,254N,302N,225N,120N,231N,249N,253N,127N,237N,301N,230N,234N,248N,252N,236N,233N,251N,229N,256N,228N,137N,132N
036700_3..N42R::1404619200.0,27,12,-16,,,,,,,,1,,,-16,5,-7,,,,-1189,,61,,,,,,,,,,,,
038500_3..N42R::1404619200.0,-8,6,10,,,,,,,,0,,,-18,8,0,,,,-649,,64,,,,,,,,,,,,
040700_3..N42R::1404619200.0,15,36,42,,,,,,,,9,,,23,-1,-70,,,,-979,,50,,,,,,,,,,,,
042700_3..N42R::1404619200.0,1,15,4,,,,,,,,6,,,-1,9,-2,,,,-1159,,22,,,,,,,,,,,,
044500_3..N42R::1404619200.0,-4,9,15,,,,,,,,-42,,,11,1,-12,,,,-919,,53,,,,,,,,,,,,
046600_3..N42R::1404619200.0,5,18,5,,,,,,,,10,,,1,-16,-116,,,,-1009,,50,,,,,,,,,,,,
048350_3..N01R::1404619200.0,12,17,-1,35,16,-22,20,99,-1,11,-13,-14,-8,134,-8,0,-5,1,9,22,1,50,-6,-13,7,-6,-19,-24,-10,-11,6,2,36,5
048600_3..N42R::1404619200.0,5,7,13,,,,,,,,-35,,,4,5,4,,,,-919,,62,,,,,,,,,,,,
050350_3..N01R::1404619200.0,-14,7,7,23,26,4,36,12,-9,11,-5,-2,-14,-31,-4,1,1,-6,0,18,9,44,24,42,-6,9,14,-13,-4,7,5,-9,0,-5
050700_3..N42R::1404619200.0,19,-31,3,,,,,,,,16,,,85,-22,-24,,,,-739,,62,,,,,,,,,,,,
052050_3..N01R::1404619200.0,-9,4,-100,-60,-2,-3,2,31,-9,-19,3,10,47,-22,10,18,-17,6,-6,3,-6,40,-12,13,57,0,-17,-3,2,152,-1,10,-5,-24
053350_3..N01R::1404619200.0,29,3,7,8,-1,-6,17,82,-14,11,-7,-20,-16,8,-6,1,9,15,1,-5,-6,71,117,-1,13,11,3,-12,7,10,-6,11,14,4
054600_3..N01R::1404619200.0,18,-13,-12,2,7,-4,14,88,4,-19,-16,-14,5,196,-7,6,-6,-19,-4,90,8,58,-8,-13,-8,-101,-3,-8,9,-12,10,6,-13,-11
055800_3..N01R::1404619200.0,-13,-26,-6,28,-9,-3,16,67,-5,11,-43,-16,-8,-16,-3,5,0,-4,5,13,-2,37,12,16,1,2,7,7,-35,-15,6,2,11,6
057000_3..N01R::1404619200.0,26,12,-5,15,-6,13,39,71,6,-19,-4,-1,1,-12,-8,0,3,-19,-11,22,11,64,-4,-2,-10,4,-11,13,-6,13,-86,17,-8,-1
058200_3..N01R::1404619200.0,19,22,8,-8,-4,17,11,83,12,11,10,10,-2,0,11,10,2,12,-17,8,-8,68,-2,-2,8,-4,2,-18,16,-7,0,10,15,24
059400_3..N01R::1404619200.0,9,7,16,31,19,-8,24,-29,7,-19,-7,5,0,2,-4,12,-1,-6,9,29,41,65,-8,27,15,-12,-3,9,2,-54,-11,-5,-2,-8
060600_3..N01R::1404619200.0,1,11,-1,-1,-2,-11,13,81,-37,11,-3,13,-38,11,-34,6,-1,-3,3,-3,10,59,13,7,0,-14,-9,-3,9,-15,0,1,0,-1
061800_3..N01R::1404619200.0,28,-4,7,-3,4,19,40,-11,-24,-19,12,0,-3,-1,10,13,10,7,-21,21,6,72,2,23,8,17,9,6,1,20,-9,6,5,5
063000_3..N01R::1404619200.0,12,6,24,9,-3,11,2,-29,0,-19,-11,2,-7,4,-9,14,-24,11,8,22,10,-1,24,21,15,-10,-12,-9,45,9,7,21,17,11
064200_3..N01R::1404619200.0,-7,9,9,-4,1,-37,14,-24,4,11,0,-27,-4,-11,4,43,10,-3,12,21,2,62,12,8,13,-11,2,-8,4,7,16,4,0,-6
065400_3..N01R::1404619200.0,-3,-6,-2,1,13,21,30,-33,0,-19,8,-9,-7,16,9,14,-13,16,6,20,-5,74,17,0,9,-9,-3,10,-1,9,-17,20,17,7
066600_3..N01R::1404619200.0,2,13,-3,-6,16,2,21,-20,11,41,-1,-11,2,-10,-1,-11,-5,-2,-3,16,0,60,21,14,3,7,8,8,1,-17,-7,-4,-5,-12
067800_3..N01R::1404619200.0,-2,15,20,7,4,-2,46,70,-1,11,5,-7,-4,-7,7,21,13,22,10,23,3,73,20,14,11,-6,2,-1,16,14,6,22,-7,10
069000_3..N01R::1404619200.0,10,4,24,5,28,2,33,249,1,11,17,-3,-6,-6,-12,16,4,4,9,26,9,47,16,5,5,-8,13,-9,7,8,10,18,21,11
070200_3..N01R::1404619200.0,26,-1,1,-17,26,18,17,56,-8,11,11,10,16,17,7,-35,-4,-2,2,9,22,76,15,31,0,11,0,-10,-25,7,-1,19,22,9
071400_3..N01R::1404619200.0,-8,10,5,-15,-4,-10,7,126,0,-19,5,-13,3,60,13,77,-15,3,-7,13,8,54,-55,65,-20,9,-8,11,8,-10,9,-14,59,5
072600_3..N01R::1404619200.0,1,20,27,10,4,-13,12,76,-3,11,7,12,-3,0,-17,4,8,1,-15,10,-9,55,15,17,3,-1,-8,8,-12,11,5,23,10,6
073800_3..N01R::1404619200.0,-8,-9,9,14,-5,-23,19,21,-9,11,-52,-18,-9,80,-38,24,5,-14,6,70,-2,69,3,-36,-4,-15,-18,-17,-52,2,-3,-13,-3,4
075000_3..N01R::1404619200.0,10,13,19,-35,8,-7,24,60,7,-19,3,16,-26,-5,7,20,16,22,14,9,-2,70,8,2,13,-9,0,0,16,-3,-15,2,31,1
076200_3..N01R::1404619200.0,5,5,18,-18,21,24,29,-12,7,11,-7,22,4,17,-3,16,-8,11,-14,36,-3,77,-52,-1,14,-4,2,16,12,-36,6,11,19,10
077400_3..N01R::1404619200.0,10,7,35,25,4,17,24,-31,-9,41,-6,-9,-7,6,-5,18,19,13,6,8,-8,59,0,22,14,-13,-29,-6,9,0,1,-1,-28,-10
078600_3..N01R::1404619200.0,4,0,24,16,16,16,44,-16,-2,11,14,2,18,18,14,22,-8,-4,1,23,15,52,8,53,0,14,-6,7,-28,5,8,17,25,12
079800_3..N01R::1404619200.0,24,17,5,-1,-5,3,32,64,-6,-19,0,0,-8,4,3,23,3,-70,5,18,5,68,12,31,22,-12,10,-11,7,9,3,16,11,3
081000_3..N01R::1404619200.0,13,-3,-3,6,2,10,8,51,14,-19,-15,8,-7,2,-11,-25,-1,-12,11,-3,-9,69,22,17,-10,-7,-8,-4,17,-19,-7,19,22,4
082200_3..N01R::1404619200.0,26,10,-10,13,-33,2,13,76,4,-19,-4,9,-4,6,-4,-1,10,16,10,3,15,57,-10,12,5,-8,10,-9,15,8,16,18,19,14
083400_3..N01R::1404619200.0,43,127,2,15,4,5,8,-19,-16,-19,10,-3,5,11,-12,-4,-7,1,9,6,5,50,6,-17,-5,-10,-21,-6,9,4,-4,21,19,6
084600_3..N01R::1404619200.0,7,6,5,2,18,16,35,-28,-12,-19,-10,-3,9,-9,-10,3,-9,-12,-34,24,-9,59,-1,20,-9,7,-8,13,-7,-5,12,1,27,5
085800_3..N01R::1404619200.0,16,7,6,7,0,8,11,49,-12,-19,-5,-1,12,-1,-2,9,6,-5,-35,29,8,59,-5,7,-4,7,-16,-4,-9,21,-30,15,-12,8
087000_3..N01R::1404619200.0,3,10,20,8,7,-18,7,90,-6,11,3,8,-4,90,9,-4,-8,-1,13,12,-3,58,-2,-1,2,-5,-16,-8,-9,-2,3,-4,100,-4
088200_3..N01R::1404619200.0,16,18,11,14,14,4,31,-18,1,11,-2,-3,-3,4,-4,20,17,2,9,-12,18,75,18,5,17,15,16,4,25,11,36,20,9,-2
089400_3..N01R::1404619200.0,10,1,7,0,-8,21,6,94,4,-49,-9,7,-1,-2,-8,11,1,-5,-14,-3,-11,62,14,-1,-6,-1,-2,11,-11,6,16,18,16,-6
090600_3..N01R::1404619200.0,20,16,22,0,18,8,41,47,-11,11,1,4,13,8,3,21,-8,2,-4,21,16,59,-12,16,5,8,-15,8,4,13,4,-34,-3,-5
091800_3..N01R::1404619200.0,-23,14,39,18,13,25,37,-7,7,11,1,-5,55,0,-7,25,19,8,18,40,4,69,14,18,6,-8,10,-25,-2,8,-3,23,10,-4
093000_3..N01R::1404619200.0,12,13,3,18,10,12,20,5,-6,-19,-37,12,-13,-17,-4,20,-10,13,2,34,15,61,24,24,9,-21,-10,4,-2,15,6,11,3,18
094200_3..N01R::1404619200.0,8,6,-85,17,17,10,28,82,-2,-19,-3,-11,0,-9,2,-6,-10,15,-14,9,2,61,4,-5,-17,1,-17,14,-6,-4,6,-22,32,15
095400_3..N01R::1404619200.0,47,25,15,35,13,-3,9,-21,12,-19,5,5,8,4,-1,47,17,-2,2,19,10,77,20,32,5,15,15,2,0,13,-9,25,10,-20
096600_3..N01R::1404619200.0,18,32,3,28,20,33,12,-14,-11,11,4,18,7,3,6,23,0,-67,-11,11,0,32,10,11,-2,-4,12,11,12,31,0,3,7,-4
097800_3..N01R::1404619200.0,9,-5,6,9,12,6,16,-33,-7,11,13,8,-10,-15,12,17,15,-9,4,20,12,78,26,14,-15,7,13,8,-11,15,6,18,23,15
099000_3..N01R::1404619200.0,-3,7,-3,-1,9,10,12,17,5,-49,-1,3,0,99,4,12,-3,-11,-14,0,11,50,11,89,-2,4,-14,-5,-2,7,16,14,-8,-10
100200_3..N01R::1404619200.0,4,21,23,8,1,9,31,42,-11,-19,8,-12,-19,11,11,20,-18,-11,1,25,-8,80,13,12,-8,-13,-15,10,12,6,-1,13,13,-24
101400_3..N01R::1404619200.0,25,18,-5,21,15,-4,14,95,5,-19,6,15,4,24,-22,-1,-6,1,-15,10,-2,22,18,6,5,0,4,4,-7,8,13,8,-2,-8
102600_3..N01R::1404619200.0,-1,20,8,46,16,15,-14,51,-22,-19,-23,-13,6,5,9,1,-1,-5,-10,33,-9,56,10,1,-2,-30,-6,5,-5,1,2,9,17,15
103800_3..N01R::1404619200.0,31,5,-2,-2,19,13,7,93,-28,-19,-5,9,2,-8,21,22,-8,-5,-12,22,14,64,4,-3,-6,-28,-9,8,-3,-3,11,-29,3,-110
105000_3..N01R::1404619200.0,11,-3,19,18,1,-43,24,74,-17,11,-16,-1,12,-7,-11,12,-15,-4,1,33,15,53,10,-23,2,9,-4,-11,-10,2,-13,9,16,16
106200_3..N01R::1404619200.0,-19,1,10,13,-2,18,12,80,-5,11,-7,-13,-3,68,-6,17,11,-14,11,55,8,57,14,4,-9,13,-7,-50,8,11,4,1,11,9
107400_3..N01R::1404619200.0,8,-7,11,9,17,15,14,-35,1,11,-43,9,-5,14,-54,3,14,15,-26,68,-2,65,12,21,11,12,-3,13,0,18,16,23,20,6
108600_3..N01R::1404619200.0,6,-3,31,11,14,9,9,62,5,11,93,13,-5,8,-13,7,0,-11,11,12,-2,50,-4,24,-4,-5,-18,7,-11,-9,15,4,9,8
109800_3..N01R::1404619200.0,20,14,41,57,7,-1,13,25,1,11,-1,15,-2,10,0,13,12,4,10,53,-1,68,-12,3,0,-8,8,11,15,-24,17,15,14,1
111000_3..N01R::1404619200.0,3,-27,16,25,23,-24,26,24,-7,11,16,20,16,-7,14,30,0,18,27,29,-9,62,3,8,-12,-6,20,19,12,24,7,21,18,7
112200_3..N01R::1404619200.0,34,16,26,25,28,20,10,71,1,-19,-1,6,6,-62,29,-7,-2,0,-9,36,21,65,24,1,1,3,-3,-11,-7,13,21,21,-2,0
113400_3..N01R::1404619200.0,16,-4,10,4,15,-6,7,47,-11,11,-13,3,12,17,-10,-65,-8,-7,-7,22,-14,53,14,8,-9,8,0,9,3,3,-4,-7,-2,-36
114600_3..N01R::1404619200.0,-3,34,10,22,23,16,7,97,13,-19,10,8,2,-13,8,5,-7,-15,-7,7,-14,55,25,29,-8,7,-7,-20,0,15,-8,-4,-3,21
115900_3..N01R::1404619200.0,29,-26,13,18,16,16,10,67,-10,11,13,7,-9,-62,13,4,-5,-10,5,25,18,54,4,28,-6,10,-8,10,0,24,0,29,12,-13
117200_3..N01R::1404619200.0,17,-84,18,20,-4,10,21,67,-4,11,-7,-9,-8,4,-6,17,5,-70,10,11,-1,62,9,26,-75,-6,-16,12,-13,5,8,17,14,14
118400_3..N01R::1404619200.0,41,24,15,6,25,2,15,111,-19,-19,0,-11,9,7,-3,-6,16,1,-8,21,11,55,9,5,7,9,17,-3,-2,8,-14,-25,-1,-100
119600_3..N01R::1404619200.0,-1,-9,30,-65,14,6,2,87,6,11,11,5,-2,15,11,-8,-9,8,15,-26,-6,59,-6,-6,-13,-7,8,-54,9,-7,-17,13,-6,34
120800_3..N01R::1404619200.0,12,17,67,36,9,-40,24,64,9,11,-44,-5,7,-4,-5,11,-15,2,-1,18,1,112,0,9,6,-18,-1,-1,2,-12,-15,2,28,9
122000_3..N01R::1404619200.0,9,10,6,4,6,-14,2,15,-11,11,-2,0,8,5,0,7,-11,-21,-8,-2,5,51,0,5,-13,-112,-6,-6,-7,0,-23,13,10,-5
123200_3..N01R::1404619200.0,5,11,21,12,-8,-14,8,68,-2,-19,3,9,-8,-1,24,15,5,-8,7,0,-11,76,23,1,0,17,-6,16,0,8,-17,23,-6,19
124400_3..N01R::1404619200.0,-6,-14,-9,13,-3,-7,32,86,-7,-19,10,-12,-8,-2,13,30,-15,-1,9,69,12,61,22,13,10,-9,-3,12,13,16,3,5,10,10
125600_3..N01R::1404619200.0,6,10,-2,23,13,13,21,69,7,11,-3,-12,8,-12,3,8,-35,-3,-8,27,6,60,-1,3,3,6,-36,5,-6,18,-13,20,-8,-14
126800_3..N01R::1404619200.0,6,5,13,0,11,-10,-12,74,4,11,12,-16,-6,0,12,13,-12,12,5,24,-6,63,2,-3,13,-95,-5,3,10,-3,15,10,10,-2
128000_3..N01R::1404619200.0,3,14,15,-7,6,-13,23,129,9,-19,9,-7,7,8,13,4,7,-11,-7,14,9,50,-2,1,-2,6,-9,-6,-2,-10,-15,2,-3,-8
129200_3..N01R::1404619200.0,33,4,9,30,10,-41,11,17,-10,11,19,7,10,12,17,12,-10,6,13,16,10,60,17,3,2,0,6,2,18,4,6,6,0,-4
130400_3..N01R::1404619200.0,25,-4,6,14,3,8,21,-1,21,-19,13,-12,-2,-47,6,27,6,17,6,31,-7,51,9,16,13,10,-32,0,-7,1,9,9,6,26
131600_3..N01R::1404619200.0,21,-1,18,-2,1,-7,23,24,-16,-19,-12,-12,14,-76,-6,-16,12,9,-3,27,7,72,0,13,6,7,-5,-12,-47,-8,-1,6,15,-2
132800_3..N01R::1404619200.0,24,6,12,14,19,6,38,63,-9,-19,-7,-9,-10,-200,19,18,-3,-1,3,31,5,45,19,19,-1,8,12,10,-5,10,8,6,12,17
134050_3..N01R::1404619200.0,0,17,12,24,2,8,10,-34,9,11,5,-17,-2,-210,9,-10,-12,-16,14,10,-30,59,-11,-37,-6,-4,-18,-52,-11,-12,-13,6,11,-8
135200_3..N01R::1404619200.0,5,-55,0,10,12,-2,11,53,3,-19,13,-16,-5,-216,-15,-4,-9,-10,-18,27,-4,74,21,7,-6,-32,3,1,-42,12,12,1,10,8
136400_3..N01R::1404619200.0,6,18,-5,4,-13,-13,20,18,2,11,5,-14,-6,-201,6,-7,-2,-1,11,24,-1,46,23,5,9,16,-2,0,6,15,15,-7,-6,-3
143800_3..N42R::1404619200.0,,,-202,,,,,,,,,,,,,,,,,-439,,,,,,,,,,,,,,
146400_3..N42R::1404705600.0,35,18,1,,,,,,,,-35,,,-110,28,10,,,,-949,,71,,,,,,,,,,,,
137600_3..N01R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,
139000_3..N01R::1404705600.0,17,14,,,,,,,,,5,,,-114,-1,13,,,,,,70,,,,,,,,,,,,
140400_3..N01R::1404705600.0,16,-1,-8,10,,,,,,,21,,,-233,5,12,,,,-2,,54,,,,,,,,,,,12,7
143800_3..N42R::1404705600.0,21,-1,19,,,,,,,,12,,,-107,6,39,,,,,,53,,,,,,,,,,,,
004700_3..N42R::1404705600.0,1,-6,-14,,,,,,,,13,,,-276,14,12,,,,-1309,,67,,,,,,,,,,,,
006700_3..N42R::1404705600.0,3,16,-5,,,,,,,,9,,,-280,10,-2,,,,-1159,,81,,,,,,,,,,,,
008700_3..N42R::1404705600.0,-17,12,10,,,,,,,,8,,,-271,-16,-1,,,,-1039,,51,,,,,,,,,,,,
010700_3..N42R::1404705600.0,,,554,,,,,,,,,,,,,,,,,1331,,,,,,,,,,,,,,
012700_3..N42R::1404705600.0,33,-23,-20,,,,,,,,-4,,,127,3,39,,,,-19,,194,,,,,,,,,,,,
014700_3..N42R::1404705600.0,54,8,-9,,,,,,,,3,,,-241,4,14,,,,-19,,70,,,,,,,,,,,,
013700_3..N42R::1404705600.0,594,20,14,,,,,,,,6,,,-224,10,-8,,,,-19,,68,,,,,,,,,,,,
016700_3..N42R::1404705600.0,14,2,-14,,,,,,,,-8,,,-279,-4,23,,,,-829,,68,,,,,,,,,,,,
018700_3..N42R::1404705600.0,4,-3,-10,,,,,,,,-44,,,-129,4,-19,,,,281,,63,,,,,,,,,,,,
020700_3..N42R::1404705600.0,2,7,-1,,,,,,,,2,,,-138,8,26,,,,-19,,48,,,,,,,,,,,,
022700_3..N42R::1404705600.0,11,20,9,,,,,,,,9,,,-228,-14,49,,,,-1159,,65,,,,,,,,,,,,
024700_3..N42R::1404705600.0,-2,-1,-6,,,,,,,,-7,,,-180,2,3,,,,-19,,53,,,,,,,,,,,,
026700_3..N42R::1404705600.0,35,34,5,,,,,,,,10,,,-264,11,57,,,,-1309,,77,,,,,,,,,,,,
028700_3..N42R::1404705600.0,3,11,6,,,,,,,,2,,,-261,3,13,,,,-1189,,60,,,,,,,,,,,,
030700_3..N42R::1404705600.0,-7,8,-15,,,,,,,,-45,,,-208,0,-3,,,,-1249,,71,,,,,,,,,,,,
032700_3..N42R::1404705600.0,-35,-7,7,,,,,,,,-17,,,-222,-12,46,,,,-1219,,65,,,,,,,,,,,,
033950_3..N01R::1404705600.0,8,-10,-3,3,-35,7,29,0,-9,11,14,4,-9,81,17,11,-13,-2,8,0,-10,74,-5,173,8,-8,-22,-65,15,-8,-3,14,82,-2
034700_3..N42R::1404705600.0,15,21,14,,,,,,,,8,,,-167,-39,32,,,,-649,,57,,,,,,,,,,,,
035950_3..N01R::1404705600.0,9,14,3,-7,-1,25,22,-17,1,11,2,10,-30,22,0,0,7,14,5,29,-8,75,20,1,24,17,1,-9,4,11,22,16,19,2
036700_3..N42R::1404705600.0,16,-76,-92,,,,,,,,-17,,,-5,-11,1,,,,-559,,70,,,,,,,,,,,,
037450_3..N01R::1404705600.0,7,-1,7,11,-5,18,17,16,-21,41,-14,14,1,-13,-10,3,-5,-6,-9,14,18,60,20,20,6,6,-4,-16,-9,-15,-14,-7,-4,14
038650_3..N01R::1404705600.0,17,0,7,25,20,-10,29,-5,2,-19,-9,-12,-5,211,-7,10,-8,-13,13,13,-6,52,3,30,5,23,-7,16,-3,-3,9,2,7,-2
039650_3..N01R::1404705600.0,18,24,3,31,5,-3,17,6,11,-19,10,9,9,205,3,18,8,8,17,32,-1,54,-6,11,54,-10,5,-4,11,-10,-4,-4,-3,15
040600_3..N01R::1404705600.0,28,18,12,41,-14,-5,4,60,-34,-19,9,-2,-10,-16,11,4,15,-8,5,22,1,65,-2,8,-3,14,0,7,-2,-10,8,3,7,91
041600_3..N01R::1404705600.0,17,7,23,51,9,0,3,82,-3,-19,-1,12,-3,69,-3,19,-11,-2,10,44,0,77,12,13,86,-7,11,145,11,3,10,22,55,1
042350_3..N01R::1404705600.0,,,,,,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,
043250_3..N01R::1404705600.0,6,8,20,47,26,22,25,302,32,221,-15,2,21,11,4,30,20,4,45,31,22,60,20,37,8,49,12,-1,162,21,83,4,19,18
044100_3..N01R::1404705600.0,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,
044900_3..N01R::1404705600.0,26,9,-8,56,30,34,17,15,0,-49,16,-1,13,3,8,10,21,-22,13,38,-3,79,24,27,40,10,17,2,55,8,92,36,12,14
045700_3..N01R::1404705600.0,13,21,24,25,-59,34,15,16,7,11,5,8,-3,152,27,12,3,16,10,20,19,80,-2,3,35,19,-4,15,23,17,33,23,34,16
046350_3..N01R::1404705600.0,-5,8,24,5,12,21,32,46,15,101,21,-3,-7,36,13,25,14,6,5,60,-24,75,37,14,3,9,5,12,44,17,44,21,-15,8
047000_3..N01R::1404705600.0,,,,,,,,,,551,,,,,,,,,,,,,,,,,,,,,,,,
047650_3..N01R::1404705600.0,26,13,21,25,17,9,35,19,11,161,-2,22,-23,105,22,10,13,18,34,25,10,58,20,22,5,39,23,24,58,-2,18,-1,-1,40
048150_3..N01R::1404705600.0,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,
048750_3..N01R::1404705600.0,4,19,-6,18,11,17,-41,23,7,11,7,11,1,213,1,20,-14,2,17,25,-11,65,9,10,140,17,-18,14,29,39,-5,20,-2,27
045500_3..N01R::1404705600.0,15,-3,-6,26,12,21,4,11,,,-13,16,,14,14,-8,9,8,,31,-30,55,-2,14,52,,-4,-4,,10,,8,22,-5
049450_3..N01R::1404705600.0,25,3,15,16,10,47,31,20,11,191,14,11,20,9,-17,18,6,17,28,30,13,57,44,18,85,20,2,9,76,12,39,23,11,21
050500_3..N01R::1404705600.0,21,13,-23,7,27,35,31,12,13,161,3,5,26,-104,3,35,2,-11,-32,31,7,77,11,30,29,0,11,9,42,16,28,4,-2,20
051200_3..N01R::1404705600.0,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,
048300_3..N42R::1404705600.0,22,6,10,,,,,,,,-1,,,-17,4,10,,,,11,,63,,,,,,,,,,,,
051800_3..N01R::1404705600.0,-5,10,16,-25,10,-17,10,136,1,-139,0,1,-2,-9,3,14,18,-8,17,23,-12,76,22,74,-5,-10,-9,0,9,9,24,12,47,61
048800_3..N01R::1404705600.0,8,18,22,13,13,307,35,41,,,11,-1,,-14,13,28,-18,11,,23,9,64,18,27,5,,-15,5,,28,,19,11,25
052400_3..N01R::1404705600.0,-38,28,4,32,7,40,30,50,6,11,10,14,18,135,11,10,-34,3,29,34,12,79,24,19,19,23,-3,43,28,8,8,8,63,14
053000_3..N01R::1404705600.0,6,6,2,9,2,1,-58,20,4,161,-8,3,-5,-106,6,8,3,6,11,25,12,81,14,36,21,9,16,16,17,21,46,70,3,19
053700_3..N01R::1404705600.0,33,18,-13,17,12,10,17,-33,4,221,0,11,0,-142,51,9,14,-13,-10,14,-36,63,5,31,130,6,0,6,-6,14,25,20,16,2
054300_3..N01R::1404705600.0,6,17,23,17,9,61,-40,21,-5,281,5,16,-13,-124,3,6,12,-25,2,5,19,56,5,16,6,11,15,6,22,26,19,24,18,34
055000_3..N01R::1404705600.0,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,
055600_3..N01R::1404705600.0,-22,13,16,16,14,9,23,60,-14,-79,-2,15,15,160,-2,26,16,-2,-3,26,23,82,-2,15,63,-3,-8,16,13,18,12,16,12,-2
055950_3..N01R::1404705600.0,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,
056800_3..N01R::1404705600.0,19,7,2,14,18,3,-5,18,7,161,-2,-64,-5,-113,0,10,-12,6,4,35,5,55,5,39,8,6,13,-20,9,-7,14,3,4,25
057600_3..N01R::1404705600.0,,,,,,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,
058400_3..N01R::1404705600.0,-17,-25,12,9,21,19,32,209,-2,221,-6,3,16,-108,-6,4,-5,-8,-6,11,-5,59,5,21,16,22,0,13,21,0,-6,2,-8,15
059100_3..N01R::1404705600.0,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,-64,,,
059700_3..N01R::1404705600.0,19,2,12,14,-7,17,17,191,0,-109,-15,12,0,-34,-8,-1,3,125,-11,39,-8,75,2,47,54,7,-4,9,1,-4,37,9,7,-2
060800_3..N01R::1404705600.0,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,
061700_3..N01R::1404705600.0,,,,,,,,,,401,,,,,,,,,,,,,,,,,,,,,,,,
059050_3..N01R::1404705600.0,-16,7,8,125,24,-9,15,,,,-3,-19,,-32,0,5,-4,10,,10,-5,8,14,32,-11,,0,12,,8,,-3,3,9
062500_3..N01R::1404705600.0,31,18,19,11,16,18,43,9,84,-49,1,-5,16,-15,-38,8,15,7,16,38,4,74,28,62,2,-7,-26,12,11,12,46,11,39,11
063300_3..N01R::1404705600.0,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,
059850_3..N01R::1404705600.0,-32,3,6,24,16,4,36,,,,-5,-3,,-182,-2,12,-3,1,,21,5,65,-1,-49,72,,12,6,,-9,,39,-4,-8
064000_3..N01R::1404705600.0,1,-2,15,19,27,3,0,9,-14,131,11,6,2,-39,13,6,-5,14,13,17,9,71,1,12,-12,-6,15,-8,7,22,33,4,0,-9
064700_3..N01R::1404705600.0,39,33,26,17,65,0,40,-62,-34,311,38,25,19,-14,15,7,-7,2,-28,24,14,71,22,10,22,11,15,11,15,21,28,36,23,21
065700_3..N01R::1404705600.0,29,17,24,26,30,26,29,8,-4,161,25,32,3,-20,7,49,21,10,7,36,18,70,18,48,-2,7,17,13,17,28,41,31,20,15
062550_3..N01R::1404705600.0,-8,0,20,16,26,-2,27,23,,,19,12,-19,-269,-13,22,-6,-7,10,11,12,72,9,-51,21,17,5,21,25,3,,-38,20,11
062400_3..N42R::1404705600.0,14,21,23,,,,,,,,4,,,135,-2,18,,,,71,,69,,,,,,,,,,,,
066300_3..N01R::1404705600.0,54,8,4,10,15,15,-122,-1,8,251,17,170,3,-21,15,2,7,-10,13,-2,12,72,23,26,70,17,-4,10,-8,9,13,6,23,13
067000_3..N01R::1404705600.0,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,
067800_3..N01R::1404705600.0,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,-29,,,
064500_3..N01R::1404705600.0,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
068600_3..N01R::1404705600.0,-71,1,6,12,13,17,-70,21,-6,161,12,15,-12,-24,3,12,9,1,4,60,-6,56,3,69,21,-15,12,9,6,24,37,27,13,-1
069400_3..N01R::1404705600.0,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,-56,,,
070200_3..N01R::1404705600.0,-32,5,22,10,1,8,-62,152,9,-199,17,-17,-4,-40,18,8,1,-5,6,25,16,53,0,129,-7,5,-17,-7,13,18,24,13,6,16
071000_3..N01R::1404705600.0,-60,20,8,-8,17,11,-55,-15,-11,71,5,-8,4,181,21,8,-10,9,-37,14,5,39,2,54,11,1,-8,8,-17,-8,17,3,-6,-13
068200_3..N01R::1404705600.0,-29,7,21,5,22,39,-52,51,10,-19,21,15,0,-42,16,20,-5,-2,8,43,-5,64,18,27,107,14,-9,18,-9,4,-79,4,-34,24
068200_3..N42R::1404705600.0,1,0,22,,,,,,,,17,,,-10,-5,19,,,,-19,,60,,,,,,,,,,,,
071800_3..N01R::1404705600.0,,,,,,,,,,401,,,,,,,,,,,,,,,,,,,,,,,,
072600_3..N01R::1404705600.0,-34,-75,-6,14,-22,3,-77,125,-20,-79,-16,7,-15,-28,-15,-7,3,1,4,14,-5,48,3,124,-10,-12,-19,-5,13,2,-2,20,4,88
070600_3..N01R::1404705600.0,-42,4,1,16,17,-6,-71,8,28,41,15,3,2,-6,8,29,15,15,13,35,3,53,27,32,73,22,5,12,0,12,32,22,-5,-13
073400_3..N01R::1404705600.0,-29,26,9,-23,14,0,-79,-2,-2,-79,1,-4,22,-15,-10,12,12,19,1,19,-10,55,11,6,9,9,13,13,17,22,30,18,6,26
