,401N,406N,413N,621N,640N,420N,423N,235N,239N,250N,631N,405N,419N,409N,418N,635N,402N,416N,234N,629N,415N,408N,414N,407N,626N,412N,411N,410N,257N,256N,255N,254N,253N,252N,251N,249N,248N,238N,237N,236N,639N,638N,637N,636N,634N,633N,632N,630N,628N,627N,625N,624N,623N,622N
101950_4..N06R::1404532800.0,,,0,-39,3,33,14,19,-4,11,32,,11,-12,31,20,,11,-5,-7,179,-57,10,,19,6,-9,13,,,,,,,,,,,,,,,,,,,,,,,,,,
102650_4..N06R::1404532800.0,,,,-30,19,32,24,25,20,11,46,,6,,42,28,,5,-2,11,-69,,74,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103350_4..N06R::1404532800.0,,,,8,37,14,29,1,3,11,23,,20,,32,22,,-57,10,0,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104050_4..N06R::1404532800.0,,,,,53,22,23,51,60,101,-149,,23,,30,81,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104750_4..N06R::1404532800.0,,,,,35,8,20,12,12,-19,,,17,,19,2,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105450_4..N06R::1404532800.0,,,,,-88,27,24,36,0,11,,,8,,16,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106150_4..N06R::1404532800.0,,,,,,-142,16,23,19,-19,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106850_4..N06R::1404532800.0,,,,,,,,-125,17,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107550_4..N06R::1404532800.0,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108250_4..N06R::1404532800.0,,,,,,,,,,-439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108950_4..N06R::1404532800.0,,,,,,,,,,-859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109650_4..N06R::1404532800.0,,,,,,,,,,-1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110450_4..N06R::1404532800.0,,,,,,,,,,-1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128050_4..N06R::1404532800.0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129250_4..N06R::1404532800.0,42,3,5,,,,,,,,,11,,13,,,2,,,,,2,17,11,,0,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,
130450_4..N06R::1404532800.0,33,14,16,16,,,,,,,,0,,5,,,-6,2,,,32,6,52,17,,-5,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
131650_4..N06R::1404532800.0,59,0,18,68,,,,,,,37,-4,,-4,,18,15,0,,19,58,-8,9,4,25,-8,-24,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
132850_4..N06R::1404532800.0,48,-13,-10,47,26,27,39,,,,48,17,1,1,12,47,-1,-18,,20,-63,-5,24,1,22,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
134050_4..N06R::1404532800.0,40,-5,-5,-4,31,-3,37,18,20,11,17,6,14,-6,34,-21,24,10,-3,26,-177,-6,63,-1,13,1,-78,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
135250_4..N06R::1404532800.0,45,2,6,17,173,19,18,17,14,11,34,19,14,-11,8,17,15,23,4,2,-289,-10,132,4,0,12,-3,17,,,,,,,,,,,,,,,,,,,,,,,,,,
136450_4..N06R::1404532800.0,56,-7,-8,13,7,2,-6,-12,-7,-19,7,9,-51,7,-1,25,1,16,4,15,-438,9,451,-8,11,-1,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,
144050_4..N02R::1404532800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,,,,,,,,,,,,,,,,,,,,,,,,,
145250_4..N01R::1404532800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-769,,,,,,,,,,,,,,,,,,,,,,,,,
146450_4..N01R::1404532800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1489,,,,,,,,,,,,,,,,,,,,,,,,,
144050_4..N02R::1404619200.0,52,16,2,21,29,16,19,11,24,28,16,-4,-4,23,14,5,13,-3,22,20,-126,-14,26,25,12,3,11,-5,-19,3,16,-21,-12,-10,-17,20,10,,,,,,,,,,,,,,,,,
145250_4..N01R::1404619200.0,51,8,-9,24,9,18,13,14,33,66,66,43,3,17,-8,14,7,17,24,26,-178,-14,23,-6,12,-5,5,18,-19,-3,-12,13,-3,5,-5,-1,-1,-5,-1,-1,,,,,,,,,,,,,,
146450_4..N01R::1404619200.0,55,18,4,8,17,1,2,24,19,22,103,23,19,8,0,1,10,25,-3,14,-138,1,5,7,3,4,-22,17,-19,60,0,13,19,19,22,32,14,3,27,10,,,,,,,,,,,,,,
137650_4..N06R::1404619200.0,38,-8,16,46,38,4,8,36,21,-79,56,-87,18,12,3,105,65,10,58,14,-396,10,9,-9,29,17,-2,16,,,,,,,,,,,,,,,,,,,,,,,,,,
138850_4..N06R::1404619200.0,53,7,-7,36,18,19,23,2,-5,-49,12,19,14,-4,7,23,-24,0,80,24,-424,-77,7,10,4,-1,8,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
140050_4..N02R::1404619200.0,57,16,-1,40,,,,,,,23,19,,20,,,8,5,,-5,-371,17,279,-6,-19,0,10,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
140050_4..N06R::1404619200.0,41,9,-8,,,,,,,,,6,,18,,,20,18,,,-438,13,371,19,,-2,-20,20,,,,,,,,,,,,,,,,,,,,,,,,,,
142450_4..N02R::1404619200.0,48,10,-4,30,22,26,-25,4,19,,33,18,12,18,5,26,5,26,-12,7,-360,10,30,17,18,25,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
148050_4..N01R::1404619200.0,58,8,0,36,20,-9,3,18,36,20,-2,17,-14,4,3,-19,8,4,10,32,-186,-1,18,12,-15,6,-10,7,11,2,-13,4,12,-12,2,4,14,15,8,-1,,,,,,,,,,,,,,
149250_4..N13R::1404619200.0,62,-7,6,-1,-14,6,11,-9,-23,-28,36,8,-35,16,-8,21,1,23,8,22,-52,13,22,-11,-7,12,-3,17,371,17,-26,-1,12,-38,14,-6,-4,9,-9,2,1,-13,34,23,-12,9,1,-11,-12,-2,-7,25,-11,5
003050_4..N01R::1404619200.0,43,10,-6,-7,18,3,-7,5,22,-10,9,-8,-32,6,21,4,12,1,1,2,-162,2,-19,12,1,1,16,3,101,-1,-12,14,-1,8,24,15,10,13,18,19,,,,,,,,,,,,,,
150850_4..N13R::1404619200.0,43,14,4,24,49,21,14,18,41,18,30,21,1,26,20,29,8,1,11,25,-288,-15,4,-9,4,-25,17,-1,-19,60,15,-6,24,18,26,22,5,9,9,5,-2,15,16,14,-1,17,8,1,9,13,3,20,9,12
152850_4..N13R::1404619200.0,46,-1,7,1,16,4,6,12,21,-2,25,4,-7,8,16,31,-6,-18,27,11,-300,-26,24,13,4,14,-6,-22,-19,24,18,3,11,17,-4,-11,16,13,4,-5,16,-2,18,-7,4,22,7,14,8,-20,1,1,21,-26
010850_4..N13R::1404619200.0,65,3,14,79,29,14,13,-1,6,7,11,17,9,-9,4,-1,11,-14,12,21,-289,-10,39,2,13,-9,5,-13,11,9,-8,15,-10,0,-7,3,-1,11,-6,7,3,-12,14,23,9,-27,-1,-14,9,20,-15,50,-26,17
012850_4..N13R::1404619200.0,28,-16,16,7,19,-4,-27,19,22,3,36,-8,-17,16,4,-8,25,12,-28,0,-253,11,8,16,-5,20,1,15,-19,15,-5,16,-7,-4,5,19,14,11,9,4,-2,7,14,16,-7,11,2,0,-4,4,-5,64,1,15
014850_4..N13R::1404619200.0,56,4,14,28,-9,15,-7,-4,24,11,4,-9,7,-20,2,29,-51,12,4,17,-255,13,-6,-33,2,-9,9,2,-49,9,-2,-4,10,-9,-26,11,47,-38,6,8,11,-4,-8,-1,5,1,-1,14,-8,4,3,25,3,20
016850_4..N13R::1404619200.0,62,-35,-6,11,17,18,21,11,25,66,19,14,10,9,5,7,5,-28,19,-8,-272,11,187,-4,4,5,21,3,-19,-9,11,9,-38,3,-5,3,10,19,1,8,-1,-15,12,-8,-13,13,9,-14,-5,6,7,90,-34,10
018850_4..N13R::1404619200.0,68,-1,-4,39,4,5,17,21,7,-5,12,12,-7,29,16,17,-1,7,27,-28,-299,14,19,0,5,-3,12,1,-19,-9,9,4,14,0,16,21,94,3,9,6,4,6,-1,24,-82,8,2,3,1,9,-4,-9,12,25
020850_4..N13R::1404619200.0,55,6,-12,48,-3,31,-16,24,25,87,2,-6,-21,9,-24,9,-11,0,5,6,-293,-16,8,1,17,-2,-14,7,-19,-4,-10,-10,8,-10,15,2,22,-42,-8,-16,11,-4,-7,2,22,-8,-12,3,10,-10,-11,34,-6,15
022850_4..N13R::1404619200.0,46,-8,4,55,4,15,50,9,-10,-7,22,7,-11,15,17,4,-1,-12,0,-6,-158,12,3,-5,-5,10,-5,14,581,-8,10,-4,7,13,-10,9,9,-11,3,-11,6,-11,14,-8,-11,-14,12,-6,-8,0,10,20,11,-2
024850_4..N13R::1404619200.0,55,9,-6,4,32,37,22,-5,11,-3,22,16,10,17,-2,17,4,13,6,9,-25,10,13,20,-38,-6,5,21,-19,18,-4,16,-2,6,21,10,9,-1,3,10,4,13,31,15,15,6,-2,-17,4,-22,24,8,11,20
026850_4..N13R::1404619200.0,62,1,-8,28,24,-2,31,7,19,-3,42,13,-12,-3,-20,26,4,5,22,-3,112,-7,10,4,-1,1,13,-3,11,6,-5,12,-5,7,-6,-13,19,1,-3,-11,-64,8,1,-4,-14,8,2,-1,-4,29,-4,-8,4,14
028850_4..N13R::1404619200.0,53,5,-1,73,16,9,8,3,15,75,16,-7,-4,-10,-12,8,-12,23,-34,20,11,-12,10,2,-9,12,-1,-16,-19,9,0,-1,-14,-3,-9,-4,1,14,-31,9,3,-10,-14,-3,-11,-16,12,21,16,-6,-5,-9,9,15
030850_4..N13R::1404619200.0,43,8,-2,16,65,26,12,6,10,25,20,12,12,1,2,23,-34,-25,37,2,-10,-2,-8,10,-2,-1,12,0,11,17,-3,17,-36,-31,15,-26,0,-5,3,-7,33,16,27,22,-2,-12,11,7,-3,3,-5,10,18,25
032850_4..N13R::1404619200.0,60,9,6,24,38,14,0,18,7,-2,29,16,1,-3,20,21,3,20,23,-5,37,19,35,23,2,7,19,2,-19,3,8,25,0,4,0,18,4,4,4,9,7,17,6,8,-12,6,24,-35,16,16,21,16,15,1
034850_4..N13R::1404619200.0,7,10,-11,15,29,-20,11,9,27,4,17,18,-36,6,5,87,9,38,15,22,12,2,8,14,13,0,14,3,41,-2,-12,15,-4,5,-8,0,3,5,-9,20,-6,7,-3,-33,2,-4,12,34,18,20,10,15,-1,15
036850_4..N01R::1404619200.0,61,5,13,,29,13,0,-15,4,-9,33,16,-3,14,14,20,5,21,-1,12,22,8,6,-15,306,18,-2,13,-19,5,-11,11,-38,0,-49,7,2,10,13,2,,,,,,,,,,,,,,
038850_4..N01R::1404619200.0,37,-12,-2,-13,0,-11,15,10,15,77,-1,6,15,7,7,54,-35,-13,3,12,13,9,11,-10,12,-35,-14,5,-19,-10,9,10,-7,7,-28,-10,3,-10,6,-13,,,,,,,,,,,,,,
040000_4..N01R::1404619200.0,35,-8,-74,14,24,21,19,13,22,50,34,5,,11,10,11,-1,5,-34,13,88,9,3,-6,10,-1,-14,7,-19,-4,10,12,-5,7,1,2,4,-8,6,-12,,,,,,,,,,,,,,
041500_4..N01R::1404619200.0,62,21,-12,2,21,20,21,5,21,65,27,-3,10,14,7,6,1,-2,-72,15,79,14,6,-12,13,0,-13,8,-19,12,4,3,-12,1,-8,-3,3,7,-6,-17,,,,,,,,,,,,,,
043000_4..N01R::1404619200.0,61,-24,-4,-1,20,3,29,38,-3,6,8,24,-8,8,13,18,5,6,-40,11,-3,7,16,-11,1,6,-9,7,-19,13,3,-9,-1,8,-6,-8,16,16,-17,-8,,,,,,,,,,,,,,
044500_4..N01R::1404619200.0,45,-10,3,18,-11,2,15,16,15,72,-3,12,-12,-13,-9,30,-26,-5,-50,-12,150,-53,13,12,-8,-10,-18,-23,-19,-11,10,10,-3,4,-2,-12,-54,-11,4,-10,,,,,,,,,,,,,,
046000_4..N01R::1404619200.0,48,-13,-8,21,-1,4,12,18,12,48,13,27,-9,6,12,-2,19,4,-41,6,26,3,16,16,3,-3,14,3,-19,15,-1,-8,3,12,4,3,0,6,18,-2,,,,,,,,,,,,,,
047500_4..N01R::1404619200.0,40,9,5,20,27,-33,-14,4,13,125,35,15,20,2,6,31,-18,21,-18,38,9,2,-7,13,35,7,-12,7,-109,6,-6,18,0,11,-6,22,13,13,0,14,,,,,,,,,,,,,,
049000_4..N02R::1404619200.0,46,9,10,23,32,-25,13,14,-15,30,33,16,-7,7,-14,7,-20,8,-21,6,22,-25,3,11,2,8,-11,7,11,7,-9,18,-1,8,-5,-25,-28,,,,,,,,,,,,,,,,,
050150_4..N02R::1404619200.0,41,-4,10,-100,8,22,12,-25,-31,-21,33,7,11,16,-1,30,18,7,77,11,24,14,-2,-34,14,17,-1,-15,-19,12,-2,24,-28,10,-34,0,-4,,,,,,,,,,,,,,,,,
051450_4..N02R::1404619200.0,41,-12,12,7,12,12,7,17,22,38,18,7,0,-18,22,-14,15,1,-62,5,0,-10,-6,8,12,-11,7,1,251,-24,-5,16,-6,7,1,9,13,,,,,,,,,,,,,,,,,
052700_4..N02R::1404619200.0,49,9,1,23,42,20,12,4,23,19,4,7,11,14,30,27,2,-1,-17,-4,18,11,23,18,16,3,11,22,-19,13,22,4,11,14,-2,1,18,,,,,,,,,,,,,,,,,
055150_4..N06R::1404619200.0,35,-19,-4,0,27,-3,-18,8,8,-19,33,23,15,1,-24,15,-2,-6,74,23,72,0,12,11,22,2,15,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
056350_4..N06R::1404619200.0,24,10,14,55,29,20,-2,-14,-35,-19,-2,24,10,-5,3,4,-7,4,53,8,-2,-38,-2,8,11,-8,7,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
057550_4..N06R::1404619200.0,60,21,9,32,2,1,17,26,3,41,22,38,16,-1,3,7,2,27,-57,-7,-19,-6,6,-1,14,9,-11,4,,,,,,,,,,,,,,,,,,,,,,,,,,
058750_4..N06R::1404619200.0,52,5,5,18,-22,2,12,21,-10,-19,12,31,-9,7,9,26,7,19,-63,-14,35,-1,7,5,-19,0,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,
059950_4..N06R::1404619200.0,52,-6,6,1,17,12,10,16,17,11,31,13,-9,18,12,7,6,13,21,27,28,12,-8,-5,8,8,-6,14,,,,,,,,,,,,,,,,,,,,,,,,,,
061150_4..N06R::1404619200.0,40,-1,-7,32,20,10,3,0,-6,-19,19,16,20,0,7,22,0,9,67,-7,57,-4,16,6,18,-38,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
062350_4..N06R::1404619200.0,43,-4,12,-23,10,24,7,13,7,-19,26,16,-1,-9,20,19,23,17,-8,6,11,-12,2,30,0,17,0,-11,,,,,,,,,,,,,,,,,,,,,,,,,,
063050_4..N06R::1404619200.0,47,16,10,104,36,27,13,5,23,-19,48,42,11,-1,24,20,11,16,16,5,-66,22,1,-4,24,8,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,
063650_4..N06R::1404619200.0,41,-7,14,31,20,9,9,17,-9,11,49,32,-4,15,12,12,8,0,4,18,-165,11,8,-8,2,17,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,
064350_4..N06R::1404619200.0,45,12,-4,27,14,15,18,11,-8,-19,16,1,5,7,-26,6,2,13,-8,12,-180,7,134,-11,8,5,-10,7,,,,,,,,,,,,,,,,,,,,,,,,,,
065050_4..N06R::1404619200.0,67,-4,-1,24,7,4,20,21,3,-19,14,9,17,13,37,7,8,8,19,24,-179,11,12,-6,14,2,-11,8,,,,,,,,,,,,,,,,,,,,,,,,,,
065750_4..N06R::1404619200.0,46,17,-1,21,27,18,18,-16,-21,-19,15,19,1,15,22,3,-6,-24,28,1,-161,-17,77,-7,2,7,-8,12,,,,,,,,,,,,,,,,,,,,,,,,,,
066450_4..N06R::1404619200.0,64,5,-67,22,12,-8,-1,2,8,-19,24,40,16,14,7,9,5,16,13,6,-35,-11,86,3,-2,4,-7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
067150_4..N06R::1404619200.0,,,,,,,,-156,11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067850_4..N06R::1404619200.0,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068550_4..N06R::1404619200.0,70,-14,18,22,15,23,20,-3,13,41,34,5,6,7,26,7,-33,15,6,22,73,-4,61,41,-8,19,-9,12,,,,,,,,,,,,,,,,,,,,,,,,,,
069250_4..N06R::1404619200.0,64,-4,18,23,20,12,1,-3,10,41,12,30,3,25,19,7,15,4,-3,18,-130,18,130,-2,12,20,29,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
069950_4..N06R::1404619200.0,48,20,3,18,22,16,8,21,-1,41,31,26,-2,-5,16,7,1,24,1,15,-129,-13,148,-6,3,4,13,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
070650_4..N06R::1404619200.0,62,-4,19,17,4,4,16,-7,21,11,10,34,-8,-58,15,28,13,6,9,-5,176,19,10,-2,-4,-9,-27,-12,,,,,,,,,,,,,,,,,,,,,,,,,,
067550_4..N06R::1404619200.0,71,-3,4,16,12,28,9,12,,,9,9,14,25,34,37,7,18,-7,44,-167,12,265,-5,14,17,-13,7,,,,,,,,,,,,,,,,,,,,,,,,,,
071350_4..N06R::1404619200.0,59,17,-20,20,31,15,-5,-3,-1,-19,11,0,3,8,27,20,-9,16,13,34,100,6,-25,17,-22,17,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,
072050_4..N06R::1404619200.0,50,5,23,24,9,23,1,-6,7,11,32,15,5,6,23,29,0,-17,1,11,-133,-2,147,9,-28,23,-3,9,,,,,,,,,,,,,,,,,,,,,,,,,,
072750_4..N06R::1404619200.0,44,-13,8,2,14,73,30,12,11,11,31,7,7,6,23,-5,5,0,1,-24,155,5,25,15,2,-13,6,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
073450_4..N06R::1404619200.0,63,-5,0,-1,16,0,15,-3,0,-19,-4,-17,-49,38,12,10,1,17,4,13,130,14,21,-2,11,9,-9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
074150_4..N06R::1404619200.0,72,15,12,5,-28,13,23,6,4,-19,47,-1,22,14,0,23,-12,-1,18,10,112,12,11,17,1,15,-22,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
074850_4..N06R::1404619200.0,48,30,-10,19,42,37,24,14,7,41,39,19,26,15,18,24,5,32,-14,22,-141,6,8,-15,34,-5,-28,18,,,,,,,,,,,,,,,,,,,,,,,,,,
076650_4..N06R::1404619200.0,56,-4,-8,12,16,25,22,43,-2,-19,-5,7,12,-6,0,8,-3,17,2,19,-140,-8,152,1,6,-5,9,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
075550_4..N06R::1404619200.0,64,-2,3,57,16,16,8,27,-1,41,28,-4,-8,17,12,37,9,8,33,16,-142,11,6,9,9,1,9,-42,,,,,,,,,,,,,,,,,,,,,,,,,,
076250_4..N06R::1404619200.0,,,,,,,,,,4271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077650_4..N06R::1404619200.0,51,22,16,10,32,22,25,20,16,41,31,3,2,0,-87,26,13,7,-1,13,-145,-7,203,1,4,12,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,
078350_4..N06R::1404619200.0,26,19,5,32,18,32,21,13,12,-19,36,-7,9,28,28,9,7,0,17,1,-132,18,8,-2,26,3,13,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
079050_4..N06R::1404619200.0,48,9,-8,16,26,38,3,25,10,41,37,-7,-9,-2,9,28,-17,22,-5,6,-106,-4,6,7,-1,0,10,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
079750_4..N06R::1404619200.0,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080450_4..N06R::1404619200.0,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081150_4..N06R::1404619200.0,56,-2,10,24,20,25,14,32,21,-19,51,9,4,10,15,2,10,-2,1,23,-131,7,-23,1,15,15,-3,16,,,,,,,,,,,,,,,,,,,,,,,,,,
081850_4..N06R::1404619200.0,68,18,4,9,32,30,37,9,3,-19,30,-1,12,9,20,39,-10,-3,6,19,47,9,25,17,16,8,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
082550_4..N06R::1404619200.0,,,,,,,,-152,27,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083250_4..N06R::1404619200.0,36,0,17,43,31,25,-3,11,,101,25,10,24,-9,0,31,1,23,114,11,-142,-8,14,4,31,-9,2,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
080050_4..N06R::1404619200.0,48,1,1,22,48,23,38,3,-4,251,40,3,21,18,29,32,12,23,9,21,-119,4,32,10,30,3,-19,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
083950_4..N06R::1404619200.0,,,13,92,33,27,-8,15,21,-169,61,,20,191,31,25,,32,163,9,-94,,28,,32,9,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,
084650_4..N06R::1404619200.0,41,3,20,9,9,6,12,26,4,-19,17,11,20,14,8,6,22,10,-33,-2,-139,5,-10,10,19,14,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,
085350_4..N06R::1404619200.0,46,17,3,23,28,10,-2,1,3,-19,37,-2,20,24,33,10,15,12,9,25,-150,15,24,-13,6,6,6,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
086050_4..N06R::1404619200.0,50,18,-3,36,4,2,13,10,-28,-19,21,-1,21,13,40,20,-9,14,53,0,-113,8,-5,-13,21,-4,11,27,,,,,,,,,,,,,,,,,,,,,,,,,,
086750_4..N06R::1404619200.0,43,26,5,58,42,-3,22,-1,12,11,31,4,14,15,28,32,-5,19,9,17,-143,-13,20,1,16,11,-6,13,,,,,,,,,,,,,,,,,,,,,,,,,,
084350_4..N06R::1404619200.0,68,11,-23,14,-10,-9,10,59,13,-139,33,14,12,-2,5,3,8,20,104,8,-125,-3,3,10,-5,5,44,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
087450_4..N06R::1404619200.0,64,1,-5,9,22,24,9,5,-8,41,40,15,-5,10,10,7,3,-12,12,-3,-100,-18,10,0,22,-5,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,
088150_4..N06R::1404619200.0,69,20,12,9,4,4,6,24,13,11,14,-34,53,16,25,28,22,23,3,26,73,15,1,-7,16,18,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,
086350_4..N06R::1404619200.0,42,2,3,-4,29,-3,24,12,5,-49,21,18,6,18,15,9,-3,19,20,19,-142,16,85,0,11,13,-3,17,,,,,,,,,,,,,,,,,,,,,,,,,,
088850_4..N06R::1404619200.0,59,16,31,41,15,16,33,2,23,-109,37,-2,3,17,9,50,23,0,99,12,-167,14,23,20,28,-58,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,
089550_4..N06R::1404619200.0,60,17,-68,32,15,2,17,4,-1,-19,30,-6,17,-9,29,17,10,-27,12,4,-125,20,218,-8,-3,-2,-22,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
090250_4..N06R::1404619200.0,58,9,17,18,31,29,8,3,45,-19,24,1,10,8,19,36,37,29,8,25,-111,3,10,33,16,20,-6,9,,,,,,,,,,,,,,,,,,,,,,,,,,
090950_4..N06R::1404619200.0,58,7,8,25,36,19,0,-6,-4,-19,45,17,7,9,29,27,26,8,11,-4,92,9,-1,9,-13,10,-8,8,,,,,,,,,,,,,,,,,,,,,,,,,,
091650_4..N06R::1404619200.0,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092350_4..N06R::1404619200.0,,,-4,42,31,4,3,25,26,11,59,,34,-58,33,36,,11,-1,15,-95,,28,,26,0,9,-39,,,,,,,,,,,,,,,,,,,,,,,,,,
083950_4..N::1404619200.0,42,,,,,,,,,,,14,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093050_4..N06R::1404619200.0,52,-4,16,33,2,23,18,22,10,84,18,-20,-4,-9,11,28,2,17,4,12,-140,17,4,-3,6,-10,4,-11,,,,,,,,,,,,,,,,,,,,,,,,,,
093750_4..N06R::1404619200.0,51,-12,23,16,25,30,22,19,36,11,46,4,12,19,27,77,-5,16,-3,10,-118,-17,21,-4,28,18,1,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
094450_4..N06R::1404619200.0,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095150_4..N06R::1404619200.0,57,1,4,11,33,22,-1,14,14,11,70,12,4,-6,44,40,2,1,22,38,-96,-8,28,1,15,94,10,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
092650_4..N06R::1404619200.0,64,8,11,19,-24,10,4,18,17,41,21,5,-7,1,9,36,15,32,-16,24,-138,20,-2,14,9,16,21,-26,,,,,,,,,,,,,,,,,,,,,,,,,,
095850_4..N06R::1404619200.0,47,-6,9,37,22,54,12,27,-2,-49,21,26,14,2,26,37,4,-1,-3,22,-132,-5,11,6,6,10,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,
096550_4..N06R::1404619200.0,55,-4,12,70,31,-22,10,16,9,-49,14,7,20,18,21,0,-8,21,55,21,-133,15,0,-2,21,19,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
097250_4..N06R::1404619200.0,51,-16,7,39,30,-3,-1,6,41,-19,118,-5,16,11,-1,35,13,-9,21,23,-142,7,-5,18,9,15,-2,15,,,,,,,,,,,,,,,,,,,,,,,,,,
097950_4..N06R::1404619200.0,49,9,-68,22,33,34,8,2,8,-19,59,25,-36,6,18,30,-9,16,12,14,109,9,14,26,16,-8,-23,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
098650_4..N06R::1404619200.0,51,10,13,14,9,7,-8,-3,-13,11,8,-5,-5,-8,19,29,-13,-7,6,24,81,-2,-1,-18,12,-9,3,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
099350_4..N06R::1404619200.0,61,-8,8,38,40,9,-5,4,-69,-19,24,8,16,6,21,30,2,2,51,31,23,10,20,-5,22,-8,9,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
100050_4..N06R::1404619200.0,47,14,17,4,22,2,7,21,10,-19,24,-7,19,2,2,11,-12,25,0,57,46,0,3,12,28,23,-1,13,,,,,,,,,,,,,,,,,,,,,,,,,,
100750_4..N06R::1404619200.0,72,18,21,19,23,22,25,21,40,-109,36,18,1,18,14,44,5,24,95,23,-20,9,19,-11,24,21,-1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
092350_4..N::1404619200.0,52,,,,,,,,,,,16,,101,,,22,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101450_4..N06R::1404619200.0,65,4,-9,4,28,20,17,7,10,-19,18,-10,4,-3,-10,3,9,13,81,-1,38,-6,10,4,14,-5,9,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
