,401N,406N,413N,621N,640N,420N,423N,235N,239N,250N,631N,405N,419N,409N,418N,635N,402N,416N,234N,629N,415N,408N,414N,407N,626N,412N,411N,410N,257N,256N,255N,254N,253N,252N,251N,249N,248N,238N,237N,236N,639N,638N,637N,636N,634N,633N,632N,630N,628N,627N,625N,624N,623N,622N
112400_4..N06R::1404446400.0,47,-5,10,1,19,-129,-19,31,21,11,37,10,17,-9,0,78,3,-9,-1,-12,104,-11,-6,1,17,-13,2,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
113250_4..N06R::1404446400.0,55,11,-7,13,14,2,14,-58,-8,-49,22,-4,18,10,3,37,18,1,97,-6,-8,4,7,13,-5,-4,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,
113850_4..N06R::1404446400.0,73,17,4,21,25,26,5,20,27,-49,28,-5,7,19,20,-7,12,3,62,-5,16,14,-1,21,20,4,13,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
114850_4..N06R::1404446400.0,70,3,19,42,30,7,4,7,22,-19,13,6,34,9,37,-7,23,30,6,15,12,0,15,9,5,19,-4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
115650_4..N06R::1404446400.0,43,-3,-2,24,14,11,32,13,10,41,0,7,-4,2,-15,16,-5,6,22,-6,26,-5,15,1,18,5,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,
116250_4..N06R::1404446400.0,73,9,-1,0,20,11,11,9,-58,11,6,-38,0,-7,19,17,-12,18,47,15,15,-7,22,5,13,10,-3,-13,,,,,,,,,,,,,,,,,,,,,,,,,,
117250_4..N06R::1404446400.0,66,7,0,7,5,33,7,25,0,-19,22,17,11,1,34,12,9,20,1,31,10,-3,0,11,10,0,-16,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
118050_4..N06R::1404446400.0,66,6,1,26,18,7,27,15,18,-49,22,14,-9,6,3,3,5,13,17,7,24,0,18,9,-1,6,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,
118650_4..N06R::1404446400.0,56,-3,-6,11,32,3,23,25,22,-49,20,5,19,-3,35,1,-6,1,61,1,25,-7,12,2,-5,1,13,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
119850_4..N06R::1404446400.0,66,16,8,7,-20,30,17,5,8,-19,10,-1,12,12,1,-19,-9,12,9,17,10,9,68,17,15,13,-7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
120850_4..N06R::1404446400.0,42,11,-9,25,43,35,13,22,18,-49,35,-18,13,4,34,20,1,5,12,9,-1,0,13,12,12,-1,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,
122050_4..N06R::1404446400.0,45,3,12,14,8,-2,9,26,9,-19,8,6,17,-4,5,4,-3,16,-7,-7,2,-7,0,6,-7,-11,1,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
123250_4..N06R::1404446400.0,56,-2,-7,4,12,19,23,-2,20,-19,3,14,9,8,27,11,9,-4,68,21,-14,11,12,-4,-15,-1,466,2,,,,,,,,,,,,,,,,,,,,,,,,,,
124450_4..N06R::1404446400.0,53,10,1,29,10,7,38,36,18,-19,31,-6,-8,7,14,17,17,22,1,27,17,5,28,10,14,5,-13,7,,,,,,,,,,,,,,,,,,,,,,,,,,
125650_4..N06R::1404446400.0,57,-8,20,26,45,42,14,31,57,-19,9,3,9,2,18,31,16,-2,-38,20,41,-36,7,-26,20,-8,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,
126850_4..N06R::1404446400.0,51,6,2,41,4,19,15,12,-10,41,13,-7,7,-11,0,-1,14,-4,8,-13,-6,-11,21,4,19,8,-5,-15,,,,,,,,,,,,,,,,,,,,,,,,,,
128050_4..N06R::1404446400.0,37,21,14,32,16,7,13,19,15,-79,47,4,-8,28,7,28,-5,25,54,-20,6,19,11,-6,3,-6,9,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
129250_4..N06R::1404446400.0,37,-1,-8,15,64,18,7,17,-2,-49,23,11,-6,15,8,19,6,-7,63,14,20,15,9,-2,9,4,-9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
130450_4..N06R::1404446400.0,,,,18,85,70,321,8,-7,41,54,,28,,33,38,,,19,21,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131650_4..N06R::1404446400.0,51,-10,-3,4,37,57,25,6,60,-19,62,4,13,-1,41,40,-4,81,-6,9,20,-9,4,0,1,-8,7,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
132850_4..N06R::1404446400.0,45,6,-7,29,47,47,356,28,4,-19,39,11,25,-15,25,46,-2,6,4,17,1,8,22,17,4,-4,7,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
134050_4..N06R::1404446400.0,50,-9,16,7,43,257,49,-2,42,11,28,6,36,19,64,55,-3,20,8,18,6,14,4,-6,15,17,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,
135250_4..N06R::1404446400.0,57,0,-4,5,54,47,42,7,-19,-49,37,1,46,8,87,40,14,8,10,204,20,0,25,6,25,23,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,
133100_4..N06R::1404446400.0,,,,,,165,46,-199,,,,,46,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136450_4..N06R::1404446400.0,46,5,12,34,61,76,56,22,2,-19,53,14,30,4,31,56,-2,-3,21,21,47,-2,10,8,10,18,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,
137650_4..N06R::1404446400.0,,,30,28,69,36,50,15,42,41,33,,38,21,38,64,,28,24,24,10,-23,36,,39,16,-10,3,,,,,,,,,,,,,,,,,,,,,,,,,,
133100_4..N::1404446400.0,,,45,45,82,,,,,,44,,,46,281,43,,6,,36,13,,28,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130450_4..N::1404446400.0,61,,,,,,,,,,,11,,28,,,0,62,,,156,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135250_4..N::1404446400.0,,,97,,48,,,,,,,,,,,,,25,,,37,,7,,,286,,,,,,,,,,,,,,,344,,,,282,,,104,178,,347,,,
