,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
078150_5..N66R::1404705600.0,,1404757511,1404757271,1404756941,1404756071,1404755591,1404754181,1404753611,1404753551,1404752801,1404752591,,1404757151,1404756491,1404754541,1404752891,1404756701,1404756131,1404754301,,1404752951,1404757031,1404756221,1404755741,1404754781,1404753761,1404753041,1404756311,1404753161,,1404755861,1404756431,,1404755981,1404753281,1404752711,1404754961,,1404754031,,1404755141,1404755411,,,,1404754091,,,,,,,,,,,,,,,,,,,,,,,,
078950_5..N66R::1404705600.0,,1404757871,1404757721,1404757361,1404756461,1404755891,1404754541,1404754001,1404753911,1404753191,1404752951,,1404757571,1404756971,1404754901,1404753281,1404757151,1404756551,1404754631,,1404753371,1404757451,1404756581,1404756131,1404755141,1404754151,1404753461,1404756701,1404753551,,1404756221,1404756851,,1404756371,1404753671,1404753101,1404755321,,1404754421,,1404755501,1404755741,,,,1404754481,,,,,,,,,,,,,,,,,,,,,,,,
079750_5..N66R::1404705600.0,,1404758321,1404758141,1404757811,1404756971,1404756491,1404755021,1404754451,1404754391,1404753611,1404753431,,1404758021,1404757421,1404755411,1404753701,1404757601,1404757061,1404755171,,1404753791,1404757901,1404757121,1404756671,1404755681,1404754631,1404753851,1404757211,1404753971,,1404756761,1404757331,,1404756881,1404754121,1404753521,1404755861,,1404754901,,1404756041,1404756371,,,,1404754961,,,,,,,,,,,,,,,,,,,,,,,,
077150_5..N66R::1404705600.0,,1404756941,1404756761,1404756431,1404755621,1404755141,1404753641,1404753041,1404752951,1404752081,,,1404756641,1404756071,1404754031,1404752141,1404756221,1404755681,1404753791,,1404752231,1404756491,1404755771,1404755321,1404754301,1404753191,1404752321,1404755861,1404752561,,1404755441,1404755951,,1404755531,1404752711,1404751991,1404754481,,1404753491,,1404754631,1404754961,,,,1404753551,,,,,,,,,,,,,,,,,,,,,,,,
080550_5..N66R::1404705600.0,,1404759251,1404758591,1404758261,1404757421,1404756971,1404755591,1404755021,1404754931,1404754151,1404753911,,1404758471,1404757901,1404755951,1404754241,1404758021,1404757511,1404755711,,1404754301,1404758351,1404757571,1404757151,1404756161,1404755171,1404754391,1404757691,1404754511,,1404757241,1404757781,,1404757361,1404754691,1404754061,1404756341,,1404755441,,1404756491,1404756821,,,,1404755501,,,,,,,,,,,,,,,,,,,,,,,,
081350_5..N66R::1404705600.0,,1404760001,1404759731,1404759371,1404758351,1404757841,1404756281,1404755651,1404755591,1404754691,1404754481,,1404759611,1404758891,1404756701,1404754781,1404759101,1404758411,1404756401,,1404754871,1404759491,1404758501,1404758051,1404756971,1404755801,1404754961,1404758651,1404755111,,1404758141,1404758771,,1404758261,1404755261,1404754571,1404757151,,1404756101,,1404757361,1404757661,,,,1404756191,,,,,,,,,,,,,,,,,,,,,,,,
082150_5..N66R::1404705600.0,,1404760151,1404759971,1404759581,1404758561,1404758081,1404756581,1404755981,1404755891,1404755021,1404754811,,1404759821,1404759071,1404756971,1404755171,1404759251,1404758651,1404756761,,1404755261,1404759671,1404758711,1404758231,1404757271,1404756161,1404755351,1404758801,1404755441,,1404758351,1404758921,,1404758471,1404755591,1404754931,1404757421,,1404756431,,1404757601,1404757931,,,,1404756491,,,,,,,,,,,,,,,,,,,,,,,,
082950_5..N66R::1404705600.0,,1404760331,1404760121,1404759761,1404758771,1404758321,1404756941,1404756371,1404756281,1404755501,1404755321,,1404760001,1404759311,1404757301,1404755681,1404759521,1404758891,1404757091,,1404755741,1404759851,1404758951,1404758471,1404757541,1404756551,1404755831,1404759071,1404755921,,1404758591,1404759191,,1404758651,1404756041,1404755441,1404757721,,1404756791,,1404757931,1404758171,,,,1404756881,,,,,,,,,,,,,,,,,,,,,,,,
083750_5..N66R::1404705600.0,,1404761261,1404761081,1404760691,1404759791,1404759281,1404757721,1404757061,1404756971,1404756101,1404755891,,1404760931,1404760301,1404758081,1404756221,1404760481,1404759851,1404757841,,1404756281,1404760811,1404759941,1404759461,1404758351,1404757241,1404756371,1404760031,1404756461,,1404759581,1404760151,,1404759701,1404756641,1404756041,1404758501,,1404757571,,1404758711,1404759071,,,,1404757631,,,,,,,,,,,,,,,,,,,,,,,,
084550_5..N66R::1404705600.0,,1404761471,1404761261,1404760931,1404760061,1404759581,1404757961,1404757391,1404757301,1404756491,1404756281,,1404761141,1404760541,1404758351,1404756581,1404760721,1404760151,1404758081,,1404756671,1404761021,1404760241,1404759761,1404758621,1404757541,1404756761,1404760331,1404756881,,1404759851,1404760421,,1404759971,1404757031,1404756401,1404758801,,1404757811,,1404758951,1404759401,,,,1404757871,,,,,,,,,,,,,,,,,,,,,,,,
085350_5..N66R::1404705600.0,,1404761711,1404761531,1404761201,1404760361,1404759941,1404758501,1404757931,1404757841,1404756971,1404756791,,1404761411,1404760871,1404758891,1404757091,1404760991,1404760481,1404758621,,1404757181,1404761291,1404760541,1404760061,1404759161,1404758081,1404757271,1404760631,1404757451,,1404760181,1404760751,,1404760301,1404757601,1404756911,1404759311,,1404758351,,1404759521,1404759791,,,,1404758411,,,,,,,,,,,,,,,,,,,,,,,,
086150_5..N66R::1404705600.0,,1404762251,1404762071,1404761741,1404760901,1404760421,1404758951,1404758411,1404758321,1404757541,1404757271,,1404761921,1404761351,1404759371,1404757631,1404761501,1404760961,1404759131,,1404757721,1404761861,1404761021,1404760571,1404759611,1404758561,1404757781,1404761141,1404757871,,1404760691,1404761231,,1404760811,1404758051,1404757421,1404759761,,1404758831,,1404759971,1404760241,,,,1404758921,,,,,,,,,,,,,,,,,,,,,,,,
086950_5..N66R::1404705600.0,,1404762911,1404762761,1404762401,1404761531,1404761051,1404759431,1404758831,1404758771,1404758021,1404757811,,1404762611,1404762011,1404759791,1404758081,1404762161,1404761591,1404759551,,1404758171,1404762491,1404761681,1404761201,1404760061,1404759011,1404758261,1404761801,1404758351,,1404761321,1404761891,,1404761441,1404758501,1404757931,1404760211,,1404759281,,1404760421,1404760691,,,,1404759341,,,,,,,,,,,,,,,,,,,,,,,,
087750_5..N66R::1404705600.0,,1404763091,1404762911,1404762581,1404761681,1404761231,1404759791,1404759281,1404759191,1404758351,1404758171,,1404762761,1404762101,1404760151,1404758501,1404762281,1404761771,1404759881,,1404758621,1404762641,1404761861,1404761381,1404760361,1404759401,1404758711,1404761921,1404758801,,1404761471,1404762041,,1404761591,1404758921,1404758291,1404760511,,1404759641,,1404760691,1404760931,,,,1404759701,,,,,,,,,,,,,,,,,,,,,,,,
088550_5..N66R::1404705600.0,,1404763931,1404763751,1404763391,1404762461,1404761981,1404760361,1404759821,1404759731,1404758951,1404758741,,1404763601,1404762971,1404760781,1404759041,1404763151,1404762521,1404760541,,1404759161,1404763481,1404762641,1404762101,1404761021,1404759971,1404759221,1404762731,1404759311,,1404762251,1404762851,,1404762371,1404759491,1404758831,1404761231,,1404760241,,1404761471,1404761831,,,,1404760301,,,,,,,,,,,,,,,,,,,,,,,,
089350_5..N66R::1404705600.0,,1404764171,1404763991,1404763661,1404762731,1404762251,1404760871,1404760331,1404760271,1404759491,1404759311,,1404763841,1404763271,1404761231,1404759581,1404763451,1404762821,1404760991,,1404759671,1404763751,1404762881,1404762401,1404761471,1404760481,1404759761,1404763001,1404759851,,1404762521,1404763121,,1404762671,1404760001,1404759431,1404761621,,1404760751,,1404761831,1404762071,,,,1404760781,,,,,,,,,,,,,,,,,,,,,,,,
090150_5..N66R::1404705600.0,,1404764651,1404764291,1404763931,1404763151,1404762671,1404761261,1404760751,1404760661,1404759941,1404759731,,1404764171,1404763601,1404761651,1404760031,1404763751,1404763211,1404761411,,1404760121,1404764051,1404763301,1404762851,1404761891,1404760871,1404760181,1404763391,1404760271,,1404762941,1404763481,,1404763061,1404760421,1404759881,1404762071,,1404761111,,1404762251,1404762521,,,,1404761171,,,,,,,,,,,,,,,,,,,,,,,,
090950_5..N66R::1404705600.0,,1404765341,1404765161,1404764801,1404763901,1404763361,1404761891,1404761291,1404761201,1404760361,1404760151,,1404765041,1404764411,1404762281,1404760421,1404764621,1404763931,1404762011,,1404760541,1404764891,1404764051,1404763571,1404762551,1404761411,1404760631,1404764171,1404760751,,1404763661,1404764261,,1404763811,1404760931,1404760271,1404762731,,1404761711,,1404762911,1404763211,,,,1404761801,,,,,,,,,,,,,,,,,,,,,,,,
091550_5..N71R::1404705600.0,,1404765701,1404765551,1404765161,1404764261,1404763661,1404762251,1404761651,1404761561,1404760751,1404760541,,1404765401,1404764801,1404762611,1404760841,1404764981,1404764351,1404762371,,1404760931,1404765281,1404764441,1404763901,1404762851,1404761861,1404761021,1404764531,1404761111,,1404764021,1404764651,,1404764111,1404761291,1404760661,1404763001,,1404762101,,1404763211,1404763481,,,,1404762161,,,,,,,,,,,,,,,,,,,,,,,,
092500_5..N71R::1404705600.0,,1404766481,1404766301,1404765941,1404765041,1404764531,1404762911,1404762281,1404762161,1404761351,1404761111,,1404766181,1404765551,1404763361,1404761441,1404765701,1404765131,1404763061,,1404761531,1404766061,1404765221,1404764711,1404763631,1404762401,1404761621,1404765311,1404761771,,1404764831,1404765401,,1404764951,1404761921,1404761261,1404763811,,1404762731,,1404764021,1404764321,,,,1404762821,,,,,,,,,,,,,,,,,,,,,,,,
093100_5..N74R::1404705600.0,,1404766691,1404766541,1404766181,,1404764891,1404763241,1404762641,1404762581,1404761681,1404761471,,1404766391,,1404763721,1404761771,1404765941,,1404763421,,1404761891,1404766271,,1404765041,1404763991,1404762821,1404761921,,1404762101,,1404765161,,,,1404762281,1404761591,1404764171,,1404763091,,1404764381,1404764711,,,,1404763151,,,,,,,,,,,,,,,,,,,,,,,,
093750_5..N74R::1404705600.0,,1404766931,1404766691,1404766361,,1404765161,1404763631,1404763001,1404762941,1404762041,1404761891,,1404766571,,1404764051,1404762101,1404766091,,1404763751,,1404762221,1404766451,,1404765341,1404764291,1404763151,1404762281,,1404762401,,1404765491,,,,1404762611,1404761981,1404764441,,1404763481,,1404764651,1404764981,,,,1404763571,,,,,,,,,,,,,,,,,,,,,,,,
094350_5..N74R::1404705600.0,,,,,,,,,,,1404762101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094950_5..N74R::1404705600.0,,1404767471,1404767231,1404766871,,1404765761,1404764291,1404763721,1404763631,1404762791,1404762611,,1404767111,,1404764711,1404762881,1404766631,,1404764441,,1404762971,1404766961,,1404765941,1404764951,1404763841,1404763031,,1404763181,,1404766061,,,,1404763361,1404762731,1404765131,,1404764111,,1404765311,1404765611,,,,1404764171,,,,,,,,,,,,,,,,,,,,,,,,
095550_5..N74R::1404705600.0,,1404767981,1404767591,1404767261,,1404766121,1404764681,1404764111,1404764021,1404763211,1404763031,,1404767471,,1404765041,1404763301,1404767051,,1404764801,,1404763391,1404767351,,1404766271,1404765311,1404764261,1404763481,,1404763571,,1404766391,,,,1404763721,1404763151,1404765461,,1404764531,,1404765671,1404765941,,,,1404764591,,,,,,,,,,,,,,,,,,,,,,,,
096550_5..N74R::1404705600.0,,1404768641,1404768401,1404768071,,1404766841,1404765491,1404764891,1404764801,1404763721,1404763481,,1404768281,,1404765821,1404763901,1404767891,,1404765581,,1404764021,1404768161,,1404767111,1404766031,1404765041,1404764081,,1404764291,,1404767231,,,,1404764501,1404763631,1404766181,,1404765311,,1404766421,1404766691,,,,1404765401,,,,,,,,,,,,,,,,,,,,,,,,
096950_5..N68R::1404705600.0,,,,,,,,,,,,1404764081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097200_5..N76R::1404705600.0,,,,,,1404767141,1404765761,1404765161,1404765041,1404764111,1404763931,,,,1404766121,1404764231,1404768101,,1404765881,,1404764321,,,1404767381,1404766361,1404765341,1404764411,,1404764561,,1404767501,,,,1404764741,1404764081,1404766541,,1404765611,,1404766691,1404766991,,,,1404765671,,,,,,1404768251,1404768371,1404768491,1404768521,1404768671,1404768761,1404768851,1404768941,1404769001,,,,,,,,,,
097800_5..N74R::1404705600.0,,1404769301,1404768971,1404768611,,1404767501,1404766061,1404765401,1404765341,1404764411,1404764171,,1404768851,,1404766421,1404764561,1404768371,,1404766181,,1404764651,1404768731,,1404767651,1404766631,1404765611,1404764741,,1404764891,,1404767741,,,,1404765041,1404764321,1404766841,,1404765881,,1404767021,1404767321,,,,1404765971,,,,,,,,,,,,,,,,,,,,,,,,
098800_5..N74R::1404705600.0,,1404769661,1404769481,1404769151,,1404768071,1404766571,1404766001,1404765911,1404765101,1404764891,,1404769331,,1404766961,1404765161,1404768941,,1404766631,,1404765251,1404769211,,1404768221,1404767231,1404766181,1404765341,,1404765461,,1404768341,,,,1404765641,1404765011,1404767411,,1404766421,,1404767591,1404767921,,,,1404766481,,,,,,,,,,,,,,,,,,,,,,,,
102500_5..N70R::1404705600.0,,,,,,1404769031,1404767411,,,,,,,,1404767831,,1404769961,,1404767531,,,,,1404769181,1404768131,,,,,,1404769301,,,,,,1404768281,,1404767231,,1404768491,1404768821,,,,1404767291,,,,,,1404770111,1404770201,1404770321,1404770411,1404770501,1404770621,1404770711,1404770801,1404770891,,,,,,,,,,
099150_5..N68R::1404705600.0,,,,,,1404767861,1404766301,1404765671,1404765581,,,1404765101,,,1404766691,,1404768731,,1404766421,,,,,1404768041,1404766961,1404765881,,,,,1404768161,,,,1404765311,,1404767141,,1404766151,,1404767351,1404767681,,,,1404766211,,,,,,1404768881,1404769001,1404769121,1404769211,1404769301,1404769331,1404769481,1404769571,1404769631,,,,,,,,,,
099700_5..N74R::1404705600.0,,1404770591,1404770351,1404769961,,1404768851,1404767291,1404766631,1404766571,1404765641,1404765401,,1404770201,,1404767711,1404765731,1404769781,,1404767411,,1404765821,1404770081,,1404769031,1404767981,1404766751,1404765911,,1404766121,,1404769151,,,,1404766271,1404765551,1404768161,,1404767051,,1404768401,1404768671,,,,1404767141,,,,,,,,,,,,,,,,,,,,,,,,
100150_5..N68R::1404705600.0,,,,,,1404768461,1404766931,1404766271,1404766211,,,1404765611,,,1404767351,,1404769541,,1404767051,,,,,1404768611,1404767621,1404766451,,,,,1404768731,,,,1404765851,,1404767801,,1404766751,,1404768011,1404768281,,,,1404766841,,,,,,1404769661,1404769781,1404769871,1404769961,1404770051,1404770141,1404770231,1404770321,1404770351,,,,,,,,,,
105000_5..N70R::1404705600.0,,,,,,1404770441,1404768761,,,,,,,,1404769211,,1404771401,,1404768881,,,,,1404770591,1404769511,,,,,,1404770711,,,,,,1404769691,,1404768611,,1404769871,1404770261,,,,1404768671,,,,,,1404771971,,,,,1404772541,,,,,,,,,,,,,
100700_5..N74R::1404705600.0,,1404771491,1404771281,1404770921,,1404769661,1404767921,1404767201,1404767111,1404766271,1404766061,,1404771161,,1404768401,1404766361,1404770711,,1404768071,,1404766451,1404771011,,1404769931,1404768701,1404767381,1404766541,,1404766691,,1404770081,,,,1404766841,1404766181,1404768881,,1404767741,,1404769091,1404769481,,,,1404767831,,,,,,,,,,,,,,,,,,,,,,,,
097550_5..N68R::1404705600.0,,,,,,1404766691,1404765281,1404764711,1404764621,,,,,,1404765671,,1404767681,,1404765401,,,,,1404766991,1404765911,1404764861,,,,,1404767111,,,,1404764351,,1404766061,,1404765131,,1404766301,1404766541,,,,1404765161,,,,,,1404767801,1404767921,1404768041,1404768101,1404768221,1404768281,1404768371,1404768461,1404768521,,,,,,,,,,
101150_5..N68R::1404705600.0,,,,,,1404769331,1404767681,1404766961,1404766871,,,1404766331,,,1404768161,,1404770321,,1404767831,,,,,1404769571,1404768431,1404767111,,,,,1404769691,,,,1404766541,,1404768611,,1404767471,,1404768821,1404769181,,,,1404767591,,,,,,1404770441,1404770561,1404770651,1404770741,1404770891,1404771071,1404771131,1404771251,1404771311,,,,,,,,,,
101200_5..N74R::1404705600.0,,1404771791,1404771611,1404771281,,1404769931,1404768221,1404767561,1404767471,1404766541,1404766331,,1404771491,,1404768671,1404766631,1404771041,,1404768341,,1404766691,1404771341,,1404770171,1404769031,1404767741,1404766811,,1404767051,,1404770351,,,,1404767231,1404766451,1404769211,,1404768041,,1404769331,1404769751,,,,1404768101,,,,,,,,,,,,,,,,,,,,,,,,
101650_5..N74R::1404705600.0,,1404772031,1404771791,1404771491,,1404770171,1404768461,1404767801,1404767711,1404766841,1404766631,,1404771701,,1404768881,1404766931,1404771281,,1404768581,,1404767021,1404771581,,1404770441,1404769271,1404767981,1404767111,,1404767321,,1404770591,,,,1404767471,1404766751,1404769421,,1404768251,,1404769601,1404770021,,,,1404768281,,,,,,,,,,,,,,,,,,,,,,,,
102850_5..N74R::1404705600.0,,1404772571,1404772391,1404772061,,1404770861,1404769181,1404768521,1404768401,1404767441,1404767231,,1404772271,,1404769571,1404767591,1404771851,,1404769301,,1404767681,1404772151,,1404771041,1404769931,1404768701,1404767771,,1404767951,,1404771131,,,,1404768101,1404767381,1404770111,,1404768971,,1404770291,1404770681,,,,1404769061,,,,,,,,,,,,,,,,,,,,,,,,
102900_5..N68R::1404705600.0,,,,,,,,,,,,1404773621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103300_5..N74R::1404705600.0,,1404772811,1404772601,1404772241,,1404771131,1404769331,1404768761,1404768701,1404767861,1404767681,,1404772451,,1404769811,1404767951,1404772001,,1404769511,,1404768041,1404772331,,1404771281,1404770171,1404768941,1404768131,,1404768251,,1404771401,,,,1404768431,1404767801,1404770351,,1404769241,,1404770531,1404770951,,,,1404769301,,,,,,,,,,,,,,,,,,,,,,,,
103800_5..N74R::1404705600.0,,1404773201,1404772871,1404772511,,1404771341,1404769751,1404769091,1404769001,1404768191,1404767981,,1404772751,,1404770201,1404768281,1404772301,,1404769901,,1404768371,1404772601,,1404771551,1404770501,1404769271,1404768461,,1404768521,,1404771701,,,,1404768731,1404768101,1404770651,,1404769571,,1404770861,1404771161,,,,1404769661,,,,,,,,,,,,,,,,,,,,,,,,
104400_5..N76R::1404705600.0,,,,,,1404771641,1404770021,1404769331,1404769241,1404768461,1404768251,,,,1404770471,1404768521,1404772511,,1404770141,,1404768611,,,1404771791,1404770771,1404769541,1404768701,,1404768821,,1404771911,,,,1404768971,1404768371,1404770921,,1404769811,,1404771131,1404771491,,,,1404769931,,,,,,1404773021,,,,,1404773621,,,,,,,,,,,,,
104500_5..N68R::1404705600.0,,,,,,,,,,,,1404768971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104900_5..N74R::1404705600.0,,,,,,,,,,,1404768581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105350_5..N74R::1404705600.0,,1404773831,1404773651,1404773321,,1404772031,1404770411,1404769811,1404769751,1404769001,1404768821,,1404773471,,1404770831,1404769091,1404773081,,1404770531,,1404769181,1404773381,,1404772361,1404771161,1404769961,1404769271,,1404769331,,1404772511,,,,1404769481,1404768941,1404771341,,1404770231,,1404771551,1404771851,,,,1404770291,,,,,,,,,,,,,,,,,,,,,,,,
105850_5..N76R::1404705600.0,,,,,,,,,,,1404769091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103200_5..N68R::1404705600.0,,,,,,1404770621,1404768911,1404768251,1404768161,,,1404767651,,,1404769331,,1404771701,,1404769031,,,,,1404770831,1404769661,1404768431,,,,,1404771011,,,,1404767861,,1404769811,,1404768701,,1404770051,1404770411,,,,1404768761,,,,,,1404772421,,,,,1404772931,,,,,,,,,,,,,
106450_5..N74R::1404705600.0,,1404774401,1404774221,1404773891,,1404772751,1404771191,1404770561,1404770471,1404769571,1404769331,,1404774101,,1404771641,1404769751,1404773651,,1404771341,,1404769811,1404773981,,1404772931,1404771911,1404770711,1404769931,,1404770021,,1404773051,,,,1404770201,1404769481,1404772091,,1404770981,,1404772301,1404772571,,,,1404771071,,,,,,,,,,,,,,,,,,,,,,,,
107050_5..N76R::1404705600.0,,,,,,1404773201,1404771611,1404770951,1404770831,1404769961,1404769751,,,,1404772061,1404770111,1404774011,,1404771731,,1404770171,,,1404773351,1404772361,1404771131,1404770261,,1404770351,,1404773471,,,,1404770531,1404769901,1404772511,,1404771401,,1404772721,1404773051,,,,1404771461,,,,,,,,,,,,,,,,,,,,,,,,
108000_5..N74R::1404705600.0,,,,,,,,,,,1404770261,,,,,,,,,,,,,,,,,,,,,,,,,1404770291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105750_5..N68R::1404705600.0,,,,,,1404771941,1404770321,1404769661,1404769571,,,1404769091,,,1404770711,,1404772931,,1404770411,,,,,1404772121,1404771041,1404769811,,,,,1404772271,,,,1404769301,,1404771221,,1404770111,,1404771431,1404771761,,,,1404770201,,,,,,1404773561,,,,,1404774491,,,,,,,,,,,,,
109200_5..N72R::1404705600.0,,,,,,,,,,,,1404777221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109450_5..N74R::1404705600.0,,1404776561,1404776411,1404776081,,1404774911,1404773171,1404772451,1404772331,1404771461,1404771221,,1404776291,,1404773621,1404771551,1404775841,,1404773321,,1404771641,1404776201,,1404775121,1404773921,1404772601,1404771731,,1404771911,,1404775241,,,,1404772061,1404771341,1404774131,,1404772931,,1404774371,1404774731,,,,1404773081,,,,,,,,,,,,,,,,,,,,,,,,
110250_5..N74R::1404705600.0,,1404777581,1404777371,1404777011,,1404775811,1404774131,1404773471,1404773351,1404772121,1404771911,,1404777221,,1404774551,1404772211,1404776771,,1404774251,,1404772301,1404777101,,1404776021,1404774851,1404773681,1404772391,,1404772601,,1404776141,,,,1404772931,1404772031,1404775031,,1404773951,,1404775241,1404775601,,,,1404774041,,,,,,,,,,,,,,,,,,,,,,,,
108000_5..N::1404705600.0,,,,,,1404773621,1404772031,1404771431,1404771341,1404770501,,,,,1404772421,1404770681,1404774791,,1404772151,,1404770771,,,1404773771,1404772781,1404771581,1404770861,,1404770981,,1404773861,,,,1404771101,1404770411,1404772931,,1404771881,,1404773171,1404773441,,,,1404771941,,,,,,1404774911,1404775031,1404775151,1404775241,1404775361,1404775451,1404775541,1404775631,1404775691,,,,,,,,,,
111050_5..N74R::1404705600.0,,1404778031,1404777851,1404777461,,1404776171,1404774551,1404773921,1404773831,1404772451,1404772241,,1404777701,,1404774911,1404772541,1404777251,,1404774671,,1404772661,1404777581,,1404776351,1404775271,1404774071,1404772751,,1404773081,,1404776471,,,,1404773321,1404772361,1404775421,,1404774371,,1404775631,1404775991,,,,1404774461,,,,,,,,,,,,,,,,,,,,,,,,
112050_5..N74R::1404705600.0,,1404778781,1404778571,1404777881,,1404776681,1404775121,1404774491,1404774341,1404773141,1404772931,,1404778151,,1404775511,1404773231,1404777701,,1404775211,,1404773321,1404778001,,1404776861,1404775811,1404774701,1404773381,,1404773681,,1404776951,,,,1404773891,1404773051,1404775991,,1404774971,,1404776201,1404776531,,,,1404775031,,,,,,,,,,,,,,,,,,,,,,,,
110050_5..N74R::1404705600.0,,,,,,,,,,,1404771491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112950_5..N74R::1404705600.0,,,,,,,,,,,1404773261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000_5..N74R::1404705600.0,,1404777041,1404776861,1404776531,,1404775151,1404773471,1404772931,1404772901,1404771761,1404771551,,1404776741,,1404773921,1404771851,1404776261,,1404773651,,1404771911,1404776621,,1404775481,1404774191,1404773141,1404772001,,1404772241,,1404775601,,,,1404772391,1404771671,1404774401,,1404773381,,1404774581,1404775001,,,,1404773441,,,,,,,,,,,,,,,,,,,,,,,,
110350_5..N72R::1404705600.0,,1404776831,1404776681,1404776261,,1404775031,1404773381,1404772811,1404772751,,,1404771851,1404776531,,1404773771,,1404776051,,1404773471,,,1404776381,,1404775361,1404774041,1404772931,,,,,1404775481,,,,1404772271,,1404774251,,1404773231,,1404774491,1404774851,,,,1404773291,,,,,,,,,,,,,,,,,,,,,,,,
113750_5..N71R::1404705600.0,,,,,,,,,,,1404773681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114750_5..N71R::1404705600.0,,1404779741,1404779561,1404779201,1404778271,1404777761,1404776261,1404775661,1404775571,1404774581,1404774341,,1404779441,1404778781,1404776681,1404774701,1404778991,1404778331,1404776411,,1404774791,1404779291,1404778421,1404777971,1404776891,1404775811,1404774911,1404778541,1404775121,,1404778031,1404778661,,1404778151,1404775301,1404774491,1404777101,,1404776081,,1404777281,1404777581,,,,1404776141,,,,,,,,,,,,,,,,,,,,,,,,
111500_5..N74R::1404705600.0,,,,,,,,,,,1404777221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111550_5..N74R::1404705600.0,,1404778571,1404778091,1404777731,,1404776291,1404774671,1404774041,1404773951,1404772721,1404772511,,1404777971,,1404775031,1404772811,1404777461,,1404774791,,1404772901,1404777821,,1404776561,1404775391,1404774221,1404772991,,1404773261,,1404776741,,,,1404773441,1404772631,1404775541,,1404774491,,1404775721,1404776111,,,,1404774581,,,,,,,,,,,,,,,,,,,,,,,,
115700_5..N71R::1404705600.0,,1404780101,1404779891,1404779561,1404778661,1404778211,1404776741,1404776171,1404776081,1404775301,1404775091,,1404779771,1404779171,1404777101,1404775391,1404779321,1404778781,1404776861,,1404775451,1404779651,1404778841,1404778391,1404777311,1404776291,1404775541,1404778961,1404775631,,1404778481,1404779081,,1404778631,1404775781,1404775211,1404777491,,1404776561,,1404777701,1404778031,,,,1404776651,,,,,,,,,,,,,,,,,,,,,,,,
112950_5..N::1404705600.0,,1404779291,1404779111,1404778091,,1404776951,1404775391,1404774731,1404774581,1404773621,1404773441,,1404778331,,1404775751,1404773711,1404777821,,1404775481,,1404773801,1404778151,,1404777101,1404776051,1404774911,1404773891,,1404774131,,1404777221,,,,1404774251,1404773561,1404776231,,1404775211,,1404776411,1404776771,,,,1404775301,,,,,,,,,,,,,,,,,,,,,,,,
116750_5..N71R::1404705600.0,,1404781091,1404780881,1404780521,1404779561,1404778991,1404777491,1404776891,1404776771,1404775991,1404775811,,1404780731,1404780101,1404777881,1404776111,1404780281,1404779651,1404777641,,1404776201,1404780611,1404779741,1404779231,1404778151,1404777041,1404776261,1404779861,1404776381,,1404779321,1404779981,,1404779471,1404776531,1404775931,1404778331,,1404777341,,1404778511,1404778811,,,,1404777401,,,,,,,,,,,,,,,,,,,,,,,,
113750_5..N::1404705600.0,,,,,1404777851,1404777341,1404775811,1404775121,1404774971,1404774041,1404773831,,,1404778331,1404776231,1404774131,1404778571,1404777941,1404775931,,1404774221,,1404778031,1404777521,1404776501,1404775331,1404774311,1404778121,1404774401,,1404777641,1404778241,,1404777761,1404774551,1404773951,1404776681,,1404775631,,1404776861,1404777161,,,,1404775721,,,,,,1404778751,1404778841,1404778961,1404779051,1404779171,1404779291,1404779381,1404779441,1404779531,,,,,,,,,,
107050_5..N::1404705600.0,,1404774911,1404774731,1404774431,,,,,,,,,1404774641,,,,1404774221,,,,,1404774521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
