,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
083750_4..S06R::1404532800.0,-25,8,52,22,17,21,33,-1,-3,6,-19,33,13,22,20,7,-2,-10,-1,-12,30,23,3,14,-2,15,-4,9,,,,,,,,,,,,,,,,,,,,,,,,,,
084450_4..S06R::1404532800.0,35,-2,21,49,68,31,81,9,35,-5,191,50,6,18,29,-4,18,-4,6,22,27,53,11,27,19,-6,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
085150_4..S06R::1404532800.0,27,6,4,20,42,4,-2,20,11,-7,11,18,3,13,36,-4,25,3,5,67,57,0,3,29,24,14,-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
085850_4..S06R::1404532800.0,30,11,-18,20,26,18,50,19,19,6,-19,-11,-11,123,5,0,3,10,20,40,36,-4,-3,55,14,9,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,
086550_4..S06R::1404532800.0,34,-57,-5,10,57,19,46,11,4,-10,-19,3,9,18,-4,-42,-10,-4,14,12,48,15,15,-23,-8,2,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,
087250_4..S06R::1404532800.0,17,5,21,28,38,2,26,-7,24,17,-19,27,2,3,8,-2,0,16,21,33,12,21,-3,21,11,11,-6,10,,,,,,,,,,,,,,,,,,,,,,,,,,
087950_4..S06R::1404532800.0,6,-3,24,12,29,11,49,-2,-16,7,-19,8,19,30,16,-2,15,5,-9,-6,25,15,-2,11,0,11,-6,37,,,,,,,,,,,,,,,,,,,,,,,,,,
088650_4..S06R::1404532800.0,21,4,22,38,64,31,44,11,8,-15,-19,8,-2,26,21,11,18,7,-4,20,45,10,-1,12,22,5,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,
089350_4..S06R::1404532800.0,-38,1,16,-22,35,22,20,-5,-2,-16,-19,14,3,-1,8,-15,-14,-12,13,20,59,14,-11,37,9,7,-10,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
090050_4..S06R::1404532800.0,23,5,5,38,38,4,46,13,-3,9,11,30,-2,11,26,12,-9,-11,8,31,12,18,10,26,7,-5,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,
090750_4..S06R::1404532800.0,26,-2,22,21,47,22,34,4,5,8,-19,34,-8,24,41,16,11,2,9,40,42,-5,14,20,29,-6,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,
091450_4..S06R::1404532800.0,8,-12,11,28,39,27,44,21,-19,7,11,19,-11,-2,7,-6,0,6,11,27,33,21,-11,9,0,8,-68,2,,,,,,,,,,,,,,,,,,,,,,,,,,
092150_4..S06R::1404532800.0,-1,4,7,11,20,20,17,-19,2,-1,11,7,12,20,-2,14,9,-1,7,27,30,33,12,39,-7,-3,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,
092850_4..S06R::1404532800.0,40,9,6,16,38,29,35,39,13,-1,-19,22,2,6,29,-5,19,7,13,40,63,38,-10,13,10,8,16,27,,,,,,,,,,,,,,,,,,,,,,,,,,
093550_4..S06R::1404532800.0,-1,14,8,2,52,14,41,-5,14,1,11,22,22,-23,15,-4,4,-24,-8,12,14,30,-1,36,10,14,-9,16,,,,,,,,,,,,,,,,,,,,,,,,,,
094250_4..S06R::1404532800.0,36,1,4,65,69,4,38,-7,6,-5,11,24,9,23,12,5,12,-2,-3,32,56,11,5,27,1,-10,30,19,,,,,,,,,,,,,,,,,,,,,,,,,,
094950_4..S06R::1404532800.0,27,9,19,23,12,27,38,4,-2,-10,-19,27,8,11,23,10,0,-9,1,7,9,27,6,8,20,-8,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
095650_4..S06R::1404532800.0,37,-65,24,12,62,-3,20,5,-1,-4,41,35,14,15,24,7,19,-2,0,37,7,12,7,35,-2,-8,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,
096350_4..S06R::1404532800.0,20,2,13,24,31,21,11,11,0,-8,11,-3,8,20,38,-13,14,-10,-15,51,43,4,-36,11,13,-12,-27,35,,,,,,,,,,,,,,,,,,,,,,,,,,
097050_4..S06R::1404532800.0,13,4,19,15,28,8,32,2,10,5,-19,20,-14,8,-8,-12,13,-1,13,4,35,22,18,19,11,-35,1,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
097750_4..S06R::1404532800.0,-11,10,-21,13,38,4,32,-7,-1,-7,-19,-3,4,19,13,7,13,-12,25,15,19,12,-5,-5,23,12,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,
098450_4..S06R::1404532800.0,27,1,5,24,16,20,63,1,3,-19,-19,17,-5,29,32,-15,21,4,3,33,28,14,9,21,-2,-6,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,
099150_4..S06R::1404532800.0,-4,-3,12,-6,68,1,-3,-12,10,-3,-19,-15,-8,-7,107,2,-15,15,-19,14,110,22,-2,8,-25,-10,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,
099850_4..S06R::1404532800.0,28,0,19,30,40,-5,49,-7,-2,10,11,-12,14,-5,0,8,-5,-9,-6,4,33,33,-1,36,17,16,-5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
100550_4..S06R::1404532800.0,0,6,7,14,20,19,33,8,44,8,-19,9,-11,7,-4,0,0,7,-7,14,26,19,2,10,-3,-9,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,
101250_4..S06R::1404532800.0,25,-75,6,6,27,18,39,40,3,6,-19,15,53,3,-1,-12,7,-11,-12,7,31,35,3,26,19,-9,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,
101950_4..S06R::1404532800.0,13,,-168,14,82,-2,107,7,8,22,-19,12,4,13,61,-6,-1,-1,-11,10,9,32,-5,14,-3,14,-4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
102650_4..S06R::1404532800.0,,,,64,47,16,50,11,45,-12,-19,5,2,,23,-1,2,6,12,-31,50,18,8,,,-6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
103350_4..S06R::1404532800.0,,,,-38,17,12,7,9,6,21,-19,5,-27,,63,-8,-11,-70,-11,,60,16,1,,,-10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
104050_4..S06R::1404532800.0,,,,,,19,13,5,10,1,-19,13,17,,17,-4,11,1,-9,,16,8,0,,,16,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
104750_4..S06R::1404532800.0,,,,,,-55,24,-6,20,13,-19,,-1,,7,-3,-5,12,-8,,,19,-3,,,15,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
