,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
110250_4..S06R::1404619200.0,16,6,0,47,114,26,4,-10,-6,11,11,26,-4,10,12,11,0,10,2,29,53,150,8,103,26,-3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
111450_4..S06R::1404619200.0,27,3,48,12,83,17,44,8,-8,16,-19,1,2,3,21,-25,8,14,2,13,18,7,8,-3,10,-4,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,
112650_4..S06R::1404619200.0,-22,20,26,17,44,14,52,19,16,-3,11,8,-11,18,4,2,11,12,26,17,24,11,-5,21,2,4,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,
107850_4..S::1404619200.0,26,11,28,44,59,27,,,,,,27,,28,,,,,,27,20,81,,48,27,,,18,,,,,,,,,,,,,-4,9,20,20,37,4,34,5,-15,17,17,-23,-14,20
113850_4..S06R::1404619200.0,49,-45,19,-6,47,20,1,0,9,13,-139,10,-5,82,344,-6,6,6,-9,29,28,29,0,10,9,-13,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
109050_4..S::1404619200.0,40,5,-15,41,80,42,,,,,,41,,40,,,,,,17,95,82,,28,18,,,14,,,,,,,,,,,,,102,3,10,2,13,20,16,10,14,9,-38,12,-24,58
115050_4..S06R::1404619200.0,7,0,16,8,47,10,-11,18,22,-11,-79,41,7,-4,29,-4,-9,14,-10,13,7,44,-4,15,-5,10,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,
116250_4..S06R::1404619200.0,0,6,20,1,39,24,14,1,-38,-10,-19,16,3,18,20,7,9,-11,1,6,34,34,0,-20,16,15,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
117450_4..S06R::1404619200.0,20,-50,8,16,17,24,15,3,8,18,-49,-1,16,5,-7,-34,16,0,-9,23,25,16,-35,24,9,-14,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,
118650_4..S06R::1404619200.0,28,10,20,65,46,39,39,6,2,-17,-169,49,8,5,235,9,14,-5,1,25,108,71,9,45,29,-5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
119850_4..S06R::1404619200.0,18,7,34,30,38,38,23,23,2,-7,11,-13,9,-4,-3,15,7,-6,15,27,45,18,-6,19,23,13,-4,26,,,,,,,,,,,,,,,,,,,,,,,,,,
121050_4..S06R::1404619200.0,19,11,-14,-8,36,23,7,9,-27,-10,11,2,15,-2,-98,-10,-56,-6,20,10,32,22,-13,26,-2,6,19,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
122250_4..S06R::1404619200.0,14,5,22,20,35,24,23,17,5,14,-19,8,2,0,9,19,19,-100,6,-4,61,33,-14,4,10,3,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,
123450_4..S06R::1404619200.0,19,4,7,47,37,13,24,29,20,-20,161,2,-2,11,5,13,10,12,4,31,23,31,9,20,10,25,-2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
124650_4..S05R::1404619200.0,17,1,-2,16,27,1,26,10,-3,0,101,4,5,5,18,9,9,-13,-2,-6,51,4,4,21,12,-9,4,38,-11,14,8,15,-13,,,,,,,,,,,,,,,,,,,,,
125850_4..S05R::1404619200.0,7,3,2,30,51,24,24,1,-14,2,131,16,-11,-14,24,1,3,7,-3,26,25,15,1,24,4,17,-1,51,-2,-8,18,20,18,,,,,,,,,,,,,,,,,,,,,
127050_4..S05R::1404619200.0,-5,6,10,17,28,7,17,13,13,10,41,5,0,12,15,-7,10,6,16,-30,17,33,20,18,14,0,11,18,16,5,0,21,16,,,,,,,,,,,,,,,,,,,,,
128250_4..S05R::1404619200.0,20,8,-9,29,47,-6,41,10,-2,-7,131,19,3,29,2,10,-7,-7,-3,3,37,21,3,32,15,-12,-1,43,2,-1,1,19,14,,,,,,,,,,,,,,,,,,,,,
129450_4..S05R::1404619200.0,19,-58,11,9,29,6,40,4,-3,-13,-19,-28,6,19,16,9,-44,-13,7,14,24,22,16,4,4,2,14,28,-3,-8,-7,15,-66,,,,,,,,,,,,,,,,,,,,,
130650_4..S05R::1404619200.0,7,-85,9,-18,55,24,46,-8,18,14,-19,21,-3,21,10,21,18,43,6,23,31,15,-27,31,4,18,-5,19,2,-6,-7,-5,-7,,,,,,,,,,,,,,,,,,,,,
131850_4..S05R::1404619200.0,5,-85,10,-23,34,22,21,0,15,6,41,24,-24,1,2,19,16,11,8,17,38,4,14,35,-4,-4,2,46,16,4,22,1,-2,,,,,,,,,,,,,,,,,,,,,
133050_4..S01R::1404619200.0,4,-62,17,20,18,-5,35,1,-8,-7,-19,4,9,-3,16,6,20,22,1,5,22,8,10,108,-6,-11,-1,54,7,2,-1,8,4,-8,-3,4,-25,59,11,0,,,,,,,,,,,,,,
134300_4..S01R::1404619200.0,19,-198,-30,13,61,11,-19,5,-3,12,-19,4,80,9,22,10,-45,-10,3,26,46,15,11,25,10,-5,4,39,2,20,13,28,-58,9,19,-9,20,58,22,4,,,,,,,,,,,,,,
135700_4..S01X003::1404619200.0,24,,,37,19,49,31,12,15,-18,41,43,2,881,19,14,5,11,3,18,50,27,4,15,21,10,16,22,314,,,90,,,,,,,,,29,-1,12,192,26,9,29,,,,,,,
137200_4..S01X003::1404619200.0,132,,,63,31,4,33,15,-6,-4,11,16,8,5,28,7,3,18,7,2,40,26,16,31,16,3,13,27,-16,,,,,,,,,,,,25,2,13,16,32,13,-20,,,,,,,
138700_4..S01X003::1404619200.0,,,,22,23,20,18,4,7,-3,11,27,8,,21,-7,7,-2,11,2,22,13,13,,,-2,3,,,,,,,,,,,,,,-11,-2,7,3,10,2,20,,,,,,,
140400_4..S01X003::1404619200.0,,,,,,1,12,-1,9,14,-109,-102,-7,,79,-8,13,8,-22,,,7,14,,,-10,1,,,,,,,,,,,,,,18,-1,8,12,21,6,,,,,,,,
142400_4..S01X003::1404619200.0,,,,,,,,-8,10,10,71,,17,,,-5,,2,13,,,,-10,,,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
000550_4..S01R::1404619200.0,,,,,,,,,,,-349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000500_4..S01R::1404619200.0,,,,,,,,,,,-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135700_4..S01X003::1404705600.0,,-326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25,21,6,25,4,13,56,23,25,,,,,,,,,,,,,,
000500_4..S01R::1404705600.0,-34,-553,25,-16,20,2,4,14,9,-2,11,14,-7,0,6,-3,-6,2,-1,1,20,146,8,-11,-12,-4,8,19,-13,8,-2,-11,-8,0,16,-12,0,51,6,-7,,,,,,,,,,,,,,
000550_4..S01R::1404705600.0,,,,,,,,,,,-349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001500_4..S13R::1404705600.0,3,-564,14,8,10,34,11,1,0,-9,-1399,-7,6,6,-7,-13,12,-10,7,3,26,6,-12,21,-81,-22,-7,21,-8,-11,-8,7,6,-14,5,10,19,59,-2,-10,16,-3,12,15,13,-12,-56,-8,-12,-16,12,-7,15,7
137200_4..S01X003::1404705600.0,,-318,27,,,,,,,,,,,,,,,,,,,,,,,,,,14,8,7,11,12,10,19,-7,-6,52,-1,16,,,,,,,,,,,,,,
138700_4..S01X003::1404705600.0,72,-435,11,,,,,,,,,,,27,,,,,,32,,,,25,24,,,38,-8,13,7,17,-21,5,15,19,16,66,17,30,,,,,,,,,,,,,,
140400_4..S01X003::1404705600.0,39,-562,20,10,38,,,,,,,14,,1,,,,,,16,46,,,-74,16,,,32,-3,14,11,6,32,9,-9,-4,-5,44,-37,7,,,,,,,31,,,,,,,
142400_4..S01X003::1404705600.0,33,-546,19,-4,21,7,24,,,,,6,,7,9,,-4,,,16,25,14,,15,36,,,13,17,10,8,13,-16,-8,6,9,9,47,11,19,15,4,11,15,3,1,-1,,,,,,,
003500_4..S13R::1404705600.0,56,-586,6,4,24,10,9,10,-7,5,11,-56,8,9,-22,-20,-1,7,-15,19,71,65,0,26,12,-8,1,26,-11,15,19,13,17,12,10,13,14,65,22,3,-27,-10,6,-15,14,-15,-36,-2,-3,-7,1,-13,9,4
005500_4..S13R::1404705600.0,-1,-576,-28,11,33,18,15,5,-18,-1,-19,2,19,-3,23,0,0,2,0,-4,16,13,-19,79,16,1,13,18,-11,13,11,2,-36,10,-9,-3,4,37,10,-3,-6,9,-6,-3,-8,-6,3,-13,14,8,9,-8,13,7
007500_4..S13R::1404705600.0,4,-563,174,58,10,17,26,13,1,-1,-19,-2,5,16,6,14,23,-10,3,28,29,28,9,35,-24,-3,10,21,11,4,-7,12,11,-6,-4,-5,-1,46,5,16,7,12,-9,-4,12,-14,-5,14,7,0,12,7,-8,-17
009500_4..S13R::1404705600.0,-14,-404,61,0,10,-19,8,8,-3,2,-19,-26,-4,10,1,-13,4,-14,-15,10,22,3,-2,17,0,-12,3,32,2,18,13,25,-9,-4,15,-5,3,53,-15,7,10,0,12,-11,-10,-5,6,-5,-7,13,-14,3,-4,-9
011500_4..S13R::1404705600.0,19,-544,-12,9,21,19,21,8,-14,8,11,-7,-12,6,-3,2,24,7,-3,-1,25,22,3,42,46,-9,1,13,-11,14,12,-1,2,-6,-11,8,13,36,-12,66,2,-12,0,-1,-13,-12,-5,3,1,-7,-10,-1,-10,10
013500_4..S13R::1404705600.0,-5,-547,30,-9,28,9,36,10,-9,-14,11,18,-5,27,-2,7,38,14,1,27,22,23,7,29,14,-8,5,29,-6,19,16,2,0,-7,5,10,11,67,12,-2,-4,10,-9,-10,12,13,16,9,5,-2,7,-8,10,1
015500_4..S13R::1404705600.0,11,-570,5,-2,24,-6,28,14,6,18,-19,9,-7,-1,8,-6,11,-8,-11,11,24,14,-1,21,0,-11,2,18,-9,17,19,10,3,-14,-9,-5,-2,55,7,-4,-3,12,-6,2,0,5,13,-20,-23,1,0,12,-2,-12
017500_4..S13R::1404705600.0,-1,-555,-15,31,40,-5,11,0,-8,-11,-19,18,36,21,15,6,11,16,0,1,29,25,2,5,18,18,-38,26,-5,11,5,0,-4,-8,-26,9,-17,55,14,117,24,5,11,8,-5,23,18,14,3,22,2,7,17,3
019500_4..S13R::1404705600.0,10,-574,17,22,43,18,22,4,16,-16,-19,8,-9,-34,25,-2,20,7,-10,-4,31,8,-1,5,10,-13,-32,8,8,2,-27,-2,0,17,3,8,11,34,15,3,0,15,-3,-1,-10,-7,0,0,-6,15,4,14,3,-6
021500_4..S13R::1404705600.0,2,-309,3,10,26,4,40,-4,7,8,11,7,14,-7,13,16,19,3,0,13,16,12,4,7,-3,18,-4,28,-1,-7,19,-6,-7,-2,8,11,9,44,12,-2,27,5,15,16,6,3,9,-12,11,1,-5,6,-5,12
023500_4..S13R::1404705600.0,-8,-337,-4,3,40,-81,33,1,-7,39,11,11,-8,17,14,11,11,11,11,13,27,10,-12,7,4,7,-8,25,3,1,4,-2,-1,9,-4,4,12,50,-8,11,3,-7,9,163,-4,4,-14,-8,-11,16,1,14,4,-1
024950_4..S13R::1404705600.0,-7,-31,15,11,39,16,16,-6,-13,-19,71,16,-8,-8,4,0,17,8,-3,-6,12,13,2,15,13,20,-11,24,5,-5,-9,8,-21,14,-1,5,13,61,17,36,23,7,-11,-6,-11,-10,13,-2,-7,10,10,-7,9,-4
026150_4..S13R::1404705600.0,-13,-77,9,8,16,3,22,15,-24,-4,11,-10,12,-24,4,-8,11,-2,18,20,29,7,-3,30,0,14,-6,22,-8,19,18,15,14,0,5,5,9,48,12,58,17,-4,5,12,9,12,-7,0,-3,-10,4,-11,8,-3
027850_4..S01R::1404705600.0,20,-7,11,18,5,-12,43,-7,11,3,11,23,14,5,14,-5,18,4,14,-5,35,37,-12,12,13,4,15,22,-12,12,9,1,0,19,-4,1,-25,16,8,-6,,,,,,,,,,,,,,
029050_4..S01R::1404705600.0,-4,-135,4,-2,26,-2,52,-3,-3,0,221,10,-9,3,-6,3,-3,-16,2,15,20,28,-17,23,8,3,-15,24,0,0,6,9,-16,3,-9,2,-18,48,-9,-18,,,,,,,,,,,,,,
030450_4..S05R::1404705600.0,22,-1,-1,-1,19,-39,21,-2,17,21,11,10,-4,4,17,-2,2,11,-19,7,26,-19,17,-30,-3,-1,-24,-27,8,-1,-6,12,10,,,,,,,,,,,,,,,,,,,,,
031600_4..S06R::1404705600.0,-39,11,-4,16,16,5,-33,7,-1,4,11,4,-5,-6,1,-12,-14,-77,-53,13,173,16,-1,14,7,-11,-27,8,,,,,,,,,,,,,,,,,,,,,,,,,,
032500_4..S06R::1404705600.0,28,-61,30,-34,25,12,7,-2,-7,4,71,20,40,14,9,8,27,16,2,16,15,-4,7,28,22,19,-1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
033500_4..S06R::1404705600.0,2,7,8,1,33,1,9,-6,5,-2,41,5,13,15,13,13,7,-1,0,8,-3,17,4,1,-6,-9,0,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
034450_4..S06R::1404705600.0,1,2,-13,-1,20,-6,143,17,5,-11,11,0,9,-3,8,-5,-9,-9,-6,12,14,-7,9,-20,1,-1,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,
035350_4..S06R::1404705600.0,-2,-7,55,11,16,-5,30,15,-9,11,11,12,-3,15,14,5,17,13,-24,-3,62,23,13,-26,16,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
036150_4..S06R::1404705600.0,0,3,6,24,8,16,11,16,-4,-32,11,18,-25,14,6,13,-1,-68,6,-5,17,5,-15,13,9,3,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,
036450_4..S06R::1404705600.0,30,-8,17,9,2,12,20,3,-33,13,11,-9,3,10,104,-17,3,-6,-56,-6,94,4,1,28,5,-8,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
037050_4..S06R::1404705600.0,15,12,25,1,-10,25,21,13,-14,-9,-19,24,2,18,26,2,16,8,-8,5,25,-3,-2,13,18,11,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,
037650_4..S06R::1404705600.0,13,2,-4,10,15,11,8,-5,-2,-80,-19,1,7,-5,74,12,6,-10,6,18,16,21,12,21,6,29,-7,5,,,,,,,,,,,,,,,,,,,,,,,,,,
038250_4..S06R::1404705600.0,10,4,-10,9,26,18,2,7,12,-10,-19,10,-16,-35,146,2,-25,0,6,-7,0,14,-14,79,14,10,-4,-13,,,,,,,,,,,,,,,,,,,,,,,,,,
038850_4..S06R::1404705600.0,-2,12,9,-6,16,-2,31,19,7,5,251,9,7,-113,-19,-4,-3,-1,-36,19,38,21,13,86,10,1,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,
039450_4..S34R::1404705600.0,20,8,10,4,24,-14,156,-5,4,-3,-19,10,-16,6,-14,-12,,0,15,10,12,28,-37,3,20,8,-8,27,,,,,,,,,,,,,,,,,,,,,,,,,,
039900_4..S34R::1404705600.0,8,7,19,20,34,3,20,2,-7,7,71,19,-5,9,23,-24,,15,-3,18,27,21,4,21,6,15,-4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
040450_4..S34R::1404705600.0,14,11,11,5,20,16,44,-2,-7,-4,-19,15,-13,21,195,7,,12,11,24,83,24,-6,35,42,9,-5,21,,,,,,,,,,,,,,,,,,,,,,,,,,
041050_4..S34R::1404705600.0,31,5,3,5,48,17,32,13,5,5,-19,44,16,23,116,11,,0,9,11,29,9,17,15,-45,0,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,
042050_4..S34R::1404705600.0,31,2,108,33,28,19,20,4,16,14,-79,15,-9,25,185,1,,6,-5,28,34,1,1,12,8,-13,1,-23,,,,,,,,,,,,,,,,,,,,,,,,,,
042200_4..S39R::1404705600.0,18,1,6,20,32,4,-28,24,13,,,-4,,4,93,-8,,-199,7,20,35,8,10,105,-6,17,-4,30,,,,,,,,,,,,,,,,,,,,,,,,,,
042550_4..S34R::1404705600.0,3,10,13,11,10,30,54,-20,2,6,-19,6,-4,3,142,-10,,-10,-16,18,40,83,19,63,47,-62,7,-60,,,,,,,,,,,,,,,,,,,,,,,,,,
043000_4..S34R::1404705600.0,20,1,74,21,32,18,68,0,-1,5,41,15,-19,12,7,9,,-2,1,36,42,35,7,50,32,-9,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,
043600_4..S36R::1404705600.0,48,2,33,13,52,20,19,6,-68,,,-1,41,-5,11,1,,9,-5,11,29,65,6,30,20,-6,7,39,,,,,,,,,,,,,,,,,,,,,,,,,,
043650_4..S34R::1404705600.0,14,-29,9,21,41,28,32,-1,-4,8,11,4,12,-4,73,4,,20,-5,29,36,28,1,34,6,16,-5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
044100_4..S34R::1404705600.0,37,9,28,15,35,15,8,14,15,18,11,30,23,27,117,-8,,5,11,28,48,-13,16,33,24,0,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,
044500_4..S34R::1404705600.0,30,-6,19,46,27,35,45,-5,-11,10,-19,6,-11,-14,95,9,,10,13,37,29,28,12,22,3,-1,9,-22,,,,,,,,,,,,,,,,,,,,,,,,,,
045300_4..S36R::1404705600.0,,,,,,,,,,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045300_4..S34R::1404705600.0,38,-35,25,31,68,52,70,16,0,0,11,34,11,28,45,2,,-2,24,15,62,61,17,3,41,-5,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,
045700_4..S34R::1404705600.0,15,7,11,-2,68,40,35,10,1,-5,41,39,-19,15,51,-16,,-5,6,25,50,37,11,52,21,23,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,
046550_4..S36R::1404705600.0,22,19,3,10,27,28,4,12,-2,,,15,11,11,93,6,,-3,-6,33,44,43,5,6,37,-5,11,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
046550_4..S34R::1404705600.0,22,10,-26,13,32,18,32,130,7,-6,-19,6,8,5,58,-5,,-7,-7,24,27,49,3,19,5,-8,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,
046950_4..S34R::1404705600.0,37,11,-50,43,58,13,92,-3,-4,17,101,9,-1,8,33,11,,-12,10,30,53,61,16,48,6,-8,-32,15,,,,,,,,,,,,,,,,,,,,,,,,,,
047350_4..S34R::1404705600.0,13,10,-21,11,40,13,49,22,17,-5,161,27,-3,-22,34,-36,,10,2,129,59,58,8,12,12,-41,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
047750_4..S34R::1404705600.0,30,4,-37,28,58,31,48,7,18,5,41,30,0,-6,12,-5,,11,9,49,45,25,9,33,12,16,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,
048350_4..S34R::1404705600.0,6,18,39,1,72,41,58,28,27,-12,11,24,6,3,34,1,,-6,-9,27,53,65,-4,18,6,10,141,-51,,,,,,,,,,,,,,,,,,,,,,,,,,
048750_4..S34R::1404705600.0,-3,-56,8,35,40,27,8,24,24,15,41,40,19,27,35,-3,,21,8,36,42,44,36,42,2,1,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,
048800_4..S39R::1404705600.0,12,-2,17,32,34,42,27,10,-6,,,35,,0,142,-27,,-79,-4,18,40,13,-2,5,17,17,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
049150_4..S40R::1404705600.0,27,51319,17,-1,45,15,81,-3,2,-14,161,1,6,4,14,-7,,-6,18,51,40,57,-8,22,105,-17,-1,39,,,,,,,,,,,,,,,,,,,,,,,,,,
049700_4..S34R::1404705600.0,,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050200_4..S34R::1404705600.0,27,10,27,-8,35,26,61,19,22,25,11,29,-1,23,49,24,,16,-38,124,81,67,27,28,25,30,49,12,,,,,,,,,,,,,,,,,,,,,,,,,,
050750_4..S34R::1404705600.0,,,,,,,,,,-24,311,,22,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051250_4..S34R::1404705600.0,34,15,0,5,67,25,72,34,14,-28,101,36,,20,39,-5,,6,12,31,40,20,9,-11,78,20,25,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
051600_4..S06R::1404705600.0,42,-3,21,15,32,7,32,20,145,-109,-19,148,4,-8,55,17,167,15,7,5,55,33,11,14,45,2,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,
052200_4..S06R::1404705600.0,39,4,4,36,10,31,35,-5,22,10,11,1,-5,3,135,-4,14,13,-8,72,-6,47,-2,30,34,12,-8,23,,,,,,,,,,,,,,,,,,,,,,,,,,
052850_4..S06R::1404705600.0,21,15,23,13,33,-1,4,31,13,15,131,-21,-5,8,37,-34,3,7,20,11,75,27,-93,19,35,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
053450_4..S06R::1404705600.0,21,-5,7,36,55,31,23,18,19,-5,11,16,-23,9,34,-3,-1,13,-5,22,34,20,2,28,-20,16,-8,16,,,,,,,,,,,,,,,,,,,,,,,,,,
054050_4..S06R::1404705600.0,11,4,-6,16,3,-16,-12,-8,0,-3,11,8,-13,9,15,-11,-15,-4,0,11,40,6,6,34,26,-8,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,
054650_4..S06R::1404705600.0,32,21,-30,10,38,4,50,14,3,15,11,13,-1,29,29,2,21,16,25,54,73,34,22,9,33,-9,30,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
055450_4..S06R::1404705600.0,18,16,-19,22,44,-3,3,2,-38,0,11,20,11,14,21,-13,10,-12,16,38,24,39,-3,-22,54,-15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
056150_4..S06R::1404705600.0,13,5,35,24,21,-7,37,20,11,-34,-49,22,-77,22,20,-7,6,6,-6,20,54,29,1,25,46,12,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,
056500_4..S06R::1404705600.0,10,13,26,27,30,10,21,18,11,-23,41,6,-12,22,9,22,-8,6,17,171,70,11,20,4,30,1,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,
053750_4..S06R::1404705600.0,32,5,35,47,50,35,33,26,17,16,11,25,-4,28,8,14,6,14,6,31,72,21,9,25,12,19,24,30,,,,,,,,,,,,,,,,,,,,,,,,,,
057200_4..S06R::1404705600.0,21,11,19,55,37,-8,12,11,-9,14,-19,22,-10,25,-32,7,-9,8,5,21,29,0,15,26,17,-7,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,
058000_4..S06R::1404705600.0,14,71,19,24,23,15,-12,18,3,14,-19,20,4,17,2,-10,-2,-8,-50,7,69,32,-25,37,-2,-2,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,
058800_4..S06R::1404705600.0,24,9,-5,27,34,39,17,2,-7,7,71,17,16,17,42,3,0,32,16,30,56,39,13,38,-1,24,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,
059600_4..S06R::1404705600.0,15,16,38,29,17,-8,2,1,-6,16,11,12,11,24,13,6,6,26,-7,20,34,26,32,30,7,0,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,
060400_4..S06R::1404705600.0,,,,,,18,28,-9,-1,-5,101,-198,-16,,24,-18,20,-9,18,,,42,-12,,,-24,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
061200_4..S06R::1404705600.0,24,5,39,-7,37,-6,1,0,6,-11,-19,2,7,17,12,-7,13,-9,40,5,26,11,-8,93,49,13,-4,17,,,,,,,,,,,,,,,,,,,,,,,,,,
062000_4..S06R::1404705600.0,30,2,25,-3,36,-3,25,8,-6,1,11,11,-9,3,30,34,-5,12,-6,7,31,8,0,16,19,-13,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,
062800_4..S06R::1404705600.0,,,,,,,,,,,-349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063600_4..S06R::1404705600.0,4,-8,7,15,34,19,30,-6,25,7,11,22,32,-4,27,26,24,23,3,23,39,35,6,50,1,-8,-4,9,,,,,,,,,,,,,,,,,,,,,,,,,,
064400_4..S06X003::1404705600.0,3,9,35,48,15,13,40,,42,-6,11,21,5,19,,3,-5,-8,88,7,16,-6,,123,-8,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
065200_4..S06X003::1404705600.0,25,-4,37,18,32,-6,47,,1,-28,11,2,-74,36,,7,7,5,58,28,30,6,,254,13,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
065800_4..S06R::1404705600.0,,,,,,,,,,,-2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071600_4..S06X003::1404705600.0,30,3,8,21,57,15,49,,22,10,11,15,-7,34,,-3,24,32,24,33,43,22,,22,3,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
060400_4..S::1404705600.0,-6,,,22,40,,,,,,,-179,,,,,,,,11,64,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066000_4..S06X003::1404705600.0,25,4,-26,14,70,-6,27,,-1,16,41,4,11,25,,7,13,-5,58,10,45,11,,34,17,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
068400_4..S06X003::1404705600.0,29,0,15,20,21,1,49,,-4,20,-19,-4,-4,12,,10,-6,-13,34,23,45,34,,30,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
069200_4..S06X003::1404705600.0,12,-3,24,10,21,11,46,,-8,16,11,12,-3,5,,9,-2,12,63,17,35,17,,114,3,,,-26,,,,,,,,,,,,,,,,,,,,,,,,,,
066800_4..S06X003::1404705600.0,31,7,16,16,39,13,19,,6,-4,11,23,6,6,,17,1,12,66,36,32,21,,35,2,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
067600_4..S06X003::1404705600.0,22,-165,16,20,40,9,99,,12,-12,11,10,2,7,,11,14,3,3,16,27,29,,34,23,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
070000_4..S06X003::1404705600.0,20,-6,-7,19,24,2,43,,9,-9,11,15,8,0,,-7,-21,-3,50,31,12,10,,278,7,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
070800_4..S06X003::1404705600.0,40,9,19,-22,106,18,27,,-1,-2,11,11,11,7,,13,3,-10,33,62,50,29,,15,14,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
072400_4..S06X003::1404705600.0,1,-184,39,17,48,9,27,,2,-7,-49,7,0,10,,11,4,-8,94,16,24,2,,130,31,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
073200_4..S06X003::1404705600.0,23,-5,22,10,42,-8,51,,-6,-8,41,-3,-4,-19,,2,8,19,44,8,26,7,,32,23,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
074000_4..S06X003::1404705600.0,28,10,18,28,35,9,32,,13,7,11,28,2,17,,-40,18,37,38,0,20,25,,24,18,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,
074800_4..S06X003::1404705600.0,21,-5,24,24,39,16,30,,-7,-79,-19,12,1,2,,8,-12,14,19,3,-9,7,,26,14,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
075600_4..S06X003::1404705600.0,12,2,14,39,38,8,0,,27,12,71,-5,20,18,,34,35,-1,88,14,13,25,,30,20,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
076400_4..S06X003::1404705600.0,27,5,18,7,20,-2,32,,16,4,11,-27,-11,86,,-8,-10,8,16,8,27,14,,26,54,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
