,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
119600_2..N01R::1404446400.0,5,4,3,-21,-54,-3,15,13,17,16,-21,-5,34,-19,3,20,3,19,-5,20,-2,22,-7,-9,5,12,145,57,-9,2,-15,17,11,-36,-6,4,30,24,19,40,-4,16,-10,16,10,1,3,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120800_2..N01R::1404446400.0,7,12,-4,36,-4,18,2,12,5,6,26,18,21,-19,2,17,26,2,19,12,16,14,16,9,15,-17,67,64,26,5,-3,25,24,-4,18,15,-16,-2,11,46,-3,23,16,22,39,34,-1,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122000_2..N01R::1404446400.0,-3,-13,0,17,8,0,4,112,7,5,17,9,36,-49,-6,15,12,18,11,15,5,-4,-3,-24,6,-10,46,22,3,-23,3,13,-7,-7,8,15,-6,13,2,29,9,8,17,7,-1,16,10,-14,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123200_2..N01R::1404446400.0,18,5,17,21,-6,11,5,15,20,-2,29,22,49,11,29,16,13,-22,29,0,-36,9,18,24,8,17,42,59,7,3,4,11,-2,-10,32,24,74,27,23,61,3,21,7,19,32,23,-2,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124400_2..N01R::1404446400.0,9,1,2,47,6,-3,-2,9,-7,23,23,-6,38,11,6,-2,23,25,7,5,-3,9,24,8,-1,0,54,58,-2,-7,6,23,19,-22,22,4,8,-8,5,36,11,24,-1,-4,12,53,17,-3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125600_2..N01R::1404446400.0,-14,-15,-4,32,-5,13,13,15,16,21,30,26,103,-19,9,1,1,25,17,36,16,0,9,-5,-11,2,23,48,17,14,3,18,-5,7,-2,-20,5,-12,13,23,16,5,-2,-6,17,12,-6,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126800_2..N01R::1404446400.0,70,-4,1,47,5,9,3,3,-14,9,7,10,9,71,-11,-17,13,21,10,6,-46,24,11,15,13,-6,50,43,20,-9,9,-10,0,-2,14,-3,25,-2,-1,3,-8,14,20,4,36,23,0,3,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128000_2..N01R::1404446400.0,12,16,11,25,16,20,33,14,18,30,50,19,28,-19,-9,13,0,22,9,1,10,11,16,8,17,-8,13,34,236,-4,-4,23,-1,14,11,19,-9,-3,17,5,4,16,3,6,38,19,10,-16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129200_2..N01R::1404446400.0,8,10,-4,14,10,10,3,42,30,48,-8,-15,12,281,-2,-12,23,39,9,18,9,14,-11,-50,13,-4,41,66,31,-1,0,30,11,0,6,2,12,2,6,-23,11,0,-7,8,60,56,-8,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130400_2..N01R::1404446400.0,,,,,,,,,,,,,,341,,,,,,,,,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131600_2..N01R::1404446400.0,34,9,11,9,4,-5,1,27,-2,37,0,7,36,11,17,-7,24,67,17,28,6,16,7,2,-5,-2,80,67,16,16,18,35,1,8,27,10,21,14,4,21,17,4,-2,-12,36,44,16,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132800_2..N01R::1404446400.0,15,-8,-9,36,-8,6,36,41,43,60,37,22,33,-19,5,-7,9,59,-5,18,0,18,3,13,8,-1,29,50,41,10,15,55,1,-6,26,20,9,13,13,0,-6,11,9,16,71,50,-4,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134000_2..N01R::1404446400.0,21,-7,3,35,-2,16,5,4,10,42,5,-26,34,-19,-13,-21,18,58,2,9,9,19,-7,2,-8,-9,74,67,20,8,1,19,-31,-19,18,-14,26,-59,6,-37,-14,-13,12,-2,48,51,-2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131000_2..N01R::1404446400.0,6,5,12,42,-21,6,-5,21,15,-5,3,-7,25,,-1,-18,4,23,11,18,-28,12,,14,-15,143,56,48,28,-11,-8,58,-1,3,15,-2,37,-38,-5,16,8,11,17,-27,82,46,19,-1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135200_2..N01R::1404446400.0,,,,26,12,5,-2,14,35,45,12,9,29,-19,-2,-10,14,76,3,12,7,14,-12,,8,-4,40,,26,0,-6,156,-1,-3,11,,10,-25,1,3,1,11,-3,10,51,15,-18,-3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136400_2..N01R::1404446400.0,,,,17,6,14,-7,15,22,43,2,-1,9,-19,-2,9,5,33,-5,20,-38,14,-4,,-8,-9,35,,14,9,,13,5,10,15,,27,-11,-6,-7,,14,7,-2,51,42,,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137600_2..N01R::1404446400.0,,,,,,,18,31,44,46,29,-1,43,11,,-2,14,54,13,,,25,-14,,,0,45,,17,-3,,39,-16,,,,83,-1,25,15,,-1,,2,38,45,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138800_2..N01R::1404446400.0,,,,,,,,125,2,11,27,-3,27,11,,9,-105,8,-9,,,,7,,,17,28,,8,-11,,29,-3,,,,28,-54,,16,,14,,0,35,30,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140050_2..N01R::1404446400.0,,,,,,,,,-210,14,17,-4,31,-49,,-2,,32,40,,,,-12,,,157,31,,20,1,,,11,,,,17,8,,18,,-9,,-12,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141250_2..N01R::1404446400.0,,,,,,,,,,,29,8,21,-19,,5,,,9,,,,-11,,,0,-17,,,-2,,,17,,,,8,2,,21,,-1,,2,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142450_2..N01R::1404446400.0,,,,,,,,,,,,,13,-19,,2,,,,,,,10,,,25,,,,12,,,4,,,,,8,,,,-52,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143150_2..N08R::1404446400.0,,,,,,,,,,,,,,41,,6,,,,,,,2,,,,,,,-16,,,,,,,,-8,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145150_2..N08R::1404446400.0,,,,,,,,,,,,,,-709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147150_2..N08R::1404446400.0,,,,,,,,,,,,,,-1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145150_2..N08R::1404532800.0,6,7,18,25,-10,8,-6,58,4,22,-69,1,5,41,15,15,36,20,17,-6,-3,15,-2,1,7,-10,19,60,18,8,11,31,-3,-8,11,8,19,8,3,11,20,-1,10,11,47,1,-6,30,12,,,,,,,,,,,10,-2,2,1,8,10,16,-1,18,4,8,6,,,,,,,,,,
147150_2..N08R::1404532800.0,4,4,-8,20,5,-1,16,24,4,19,-110,-4,37,-19,-4,10,-4,21,0,13,-3,25,-1,-17,5,49,4,61,-3,12,-11,16,-5,-9,22,-4,13,-10,16,156,5,13,17,0,21,4,-14,30,17,,,,,,,,,,,-11,3,2,6,-8,26,8,-5,8,-3,1,119,,,,,,,,,,
135200_2..N01R::1404532800.0,8,15,11,,,,,,,,,,,,,,,,,,,,,-31,,,,40,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136400_2..N01R::1404532800.0,16,-33,-19,,,,,,,,,,,,,,,,,,,,,4,,,,46,,,-14,,,,,14,,,,,1,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137600_2..N01R::1404532800.0,16,-3,17,41,-11,6,,,,,,,,,-2,,,,,22,-15,,,-11,1,,,48,,,33,,,13,16,-2,,,,,24,,2,,,,-7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138800_2..N01R::1404532800.0,274,9,4,24,0,12,6,,,,,,,,17,,25,,,-2,1,-37,,2,-18,,,47,,,16,,,-8,26,10,,,7,,-3,,15,,,,4,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140050_2..N01R::1404532800.0,6,6,3,24,16,-2,0,14,9,,,,,,-7,,14,,,8,-10,26,,-45,3,,,17,,,10,-16,,21,25,-1,,,0,,-8,,4,,16,,3,-4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141250_2..N01R::1404532800.0,22,-31,-16,41,20,16,9,21,-5,7,,,,,0,,6,7,,16,0,17,,-33,9,,,36,-27,,10,20,,-8,29,0,,,16,,12,,12,,8,22,15,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142450_2..N01R::1404532800.0,42,5,32,164,-4,6,22,29,0,27,-12,7,,,-28,,23,40,20,16,5,6,,20,-26,,19,55,19,,30,47,,-11,31,37,14,,2,17,7,6,13,,44,24,25,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143150_2..N08R::1404532800.0,22,-2,14,89,5,15,3,29,13,-2,-91,4,20,,8,,31,24,20,10,-10,18,,14,6,219,23,65,-12,,6,4,17,-9,28,-7,17,,-20,-6,14,-27,16,,26,19,-10,35,6,,,,,,,,,,,3,13,18,22,-9,57,20,-1,16,10,-6,-6,,,,,,,,,,
149150_2..N08R::1404532800.0,29,5,-3,18,-6,-13,20,30,16,17,-71,314,19,-229,10,4,-24,21,0,25,14,7,-12,-13,-6,12,8,43,12,-2,2,20,-10,13,17,-1,17,6,-12,143,14,8,9,-3,70,1,-7,31,20,,,,,,,,,,,-5,-11,-3,7,-10,-1,1,14,12,19,9,3,,,,,,,,,,
151150_2..N08R::1404532800.0,0,2,4,35,15,18,17,4,20,3,260,0,32,-409,-1,-36,2,0,-2,9,4,1,19,-9,-8,3,27,46,2,-6,19,3,21,7,19,-26,19,-4,-10,18,-4,-2,-3,-2,19,14,2,32,6,,,,,,,,,,,11,-1,6,10,5,8,17,-16,0,4,-23,6,,,,,,,,,,
153150_2..N08R::1404532800.0,8,16,5,32,12,0,12,2,9,-34,-97,10,16,-19,-1,-16,22,41,12,12,-10,4,-4,-3,9,-6,-10,42,29,12,9,15,-11,-1,0,9,1,9,9,4,-7,-3,-5,13,33,74,3,5,29,,,,,,,,,,,5,2,12,-7,-4,7,-10,3,2,-18,16,-5,,,,,,,,,,
155150_2..N08R::1404532800.0,25,3,-2,31,0,14,-20,4,58,3,-78,-20,28,-19,-19,-12,26,18,7,-19,-19,-2,11,15,-9,0,-29,56,-8,-10,3,3,-35,7,18,-3,3,-5,10,5,13,1,0,8,34,6,-6,4,0,,,,,,,,,,,-8,-9,2,14,-5,-2,8,2,1,-8,8,1,,,,,,,,,,
013150_2..N08R::1404532800.0,16,-4,-4,42,-2,-11,-10,4,16,19,-69,-12,16,-49,12,2,24,25,12,19,-5,14,4,13,-5,-4,-7,52,-8,-15,10,4,13,10,-8,-8,20,-10,-1,7,-11,16,22,-5,25,-3,-2,12,9,,,,,,,,,,,-12,-25,-9,3,-8,1,14,10,-2,7,8,1010,,,,,,,,,,
015150_2..N08R::1404532800.0,42,1,-19,21,1,14,5,95,0,3,-70,-4,16,-19,7,-11,19,14,39,17,-55,19,16,-11,13,25,-37,47,5,4,5,-2,9,-2,3,-29,-2,9,6,12,13,1,9,14,27,10,-13,-7,10,,,,,,,,,,,6,28,28,-64,-12,-5,6,12,180,5,-8,3,,,,,,,,,,
017150_2..N08X016::1404532800.0,,,,,,,19,92,-4,4,-92,4,12,191,,-4,6,12,21,,,2,-35,,,33,11,,15,9,,21,11,,44,,7,14,-7,-11,,4,,-31,32,13,,,13,,,,,,,,,,,5,-9,6,13,13,-11,2,5,18,11,0,11,,,,,,,,,,
019150_2..N08X016::1404532800.0,,,,,,,0,18,13,4,-91,0,22,-19,,-22,13,12,6,,,16,-25,,,5,12,,10,-14,,-1,17,,121,,17,-8,-11,15,,-7,,0,16,18,,,-1,,,,,,,,,,,-1,-12,-5,5,-6,2,14,-32,-6,-36,3,13,,,,,,,,,,
021150_2..N08X016::1404532800.0,,,,,,,5,14,14,-21,-64,9,27,11,,-5,-2,-12,7,,,13,12,,,18,1,,15,17,,3,9,,29,,-8,17,14,26,,-7,,-9,31,16,,,12,,,,,,,,,,,1,-14,-38,-26,2,9,19,-16,4,12,10,11,,,,,,,,,,
023150_2..N08X016::1404532800.0,,,,,,,14,-9,1,8,412,11,20,-379,,0,-2,-31,-19,,,24,-4,,,12,-8,,3,4,,0,-10,,52,,0,12,13,5,,-2,,-9,6,15,,,-5,,,,,,,,,,,1,-13,5,-14,12,-8,-25,-6,-8,8,1,-17,,,,,,,,,,
025150_2..N08X016::1404532800.0,,,,,,,10,19,-8,18,332,-10,25,-349,,-21,0,-3,16,,,1,24,,,15,-59,,-2,-31,,-6,-10,,24,,4,-1,21,13,,3,,-36,19,-6,,,3,,,,,,,,,,,-5,-9,-2,7,10,-11,3,-5,18,-6,-2,-18,,,,,,,,,,
025250_2..N01X033::1404532800.0,25,-34,-12,-19,,,,,,,,,,,,,,,,,6,,,15,,,,40,,,-32,,,,,-3,,,,,6,,,,,,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027150_2..N08X016::1404532800.0,,,,,,,9,-10,5,3,-88,-8,19,-79,,10,-9,-11,-15,,,3,-12,,,-10,-4,,-6,-3,,-6,-14,,3,,2,5,11,-12,,-7,,6,3,71,,,23,,,,,,,,,,,10,2,13,-7,0,-17,0,-28,0,-19,3,-15,,,,,,,,,,
027250_2..N01X033::1404532800.0,20,-5,-8,11,,,,,,,,,,,,,,,,,-28,,,11,,,,62,,,-8,,,,,-9,,,,,6,,,,,,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029150_2..N08X016::1404532800.0,,,,,,,12,1,-61,12,379,-1,23,-469,,7,-1,19,13,,,20,-6,,,8,15,,-7,0,,7,12,,66,,55,-1,16,12,,18,,3,1,23,,,-6,,,,,,,,,,,-56,14,13,14,10,12,-8,2,24,-12,-8,-1,,,,,,,,,,
029250_2..N01X033::1404532800.0,3,11,14,41,,,,,,,,,,,,,,,,,6,,,4,,,,44,,,-5,,,,,14,,,,,8,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031150_2..N08X016::1404532800.0,,,,,,,12,119,183,13,48,9,3,-19,,12,16,0,-46,,,6,-1,,,-9,10,,9,13,,6,7,,92,,-11,-9,7,1,,-8,,1,5,15,,,16,,,,,,,,,,,-2,-12,4,-13,-12,-2,11,-2,3,-7,13,-5,,,,,,,,,,
031250_2..N01X033::1404532800.0,14,1,-5,11,,,,,,,,,,,,,,,,,18,,,-24,,,,48,,,-26,,,,,11,,,,,-5,,,,,,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033150_2..N08X016::1404532800.0,,,,,,,4,21,-11,10,-85,1,17,-19,,-5,15,17,15,,,20,-37,,,-19,24,,72,2,,6,13,,68,,3,9,1,20,,-6,,-14,30,22,,,14,,,,,,,,,,,-4,-10,-3,7,9,14,25,15,8,14,-20,-11,,,,,,,,,,
033250_2..N01X033::1404532800.0,10,12,0,-139,,,,,,,,,,,,,,,,,-16,,,-9,,,,54,,,4,,,,,4,,,,,-11,,,,,,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034700_2..N01X033::1404532800.0,18,-6,-10,-169,,,,,,,,,,,,,,,,,65,,,9,,,,54,,,,,,,,-9,,,,,5,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034750_2..N01X032::1404532800.0,,,,,,,23,13,-10,3,9,14,16,11,,12,8,8,17,,,33,16,,,10,16,,-1,15,,-6,7,,56,,21,16,-6,1,,8,,10,29,15,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035800_2..N01X033::1404532800.0,2,3,-4,-19,,,,,,,,,,,,,,,,,14,,,-13,,,,42,,,0,,,,,0,,,,,13,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036300_2..N01X032::1404532800.0,,,,,,,19,17,3,13,27,5,24,-19,,-4,14,-14,8,,,34,21,,,22,6,,45,-5,,24,14,,93,,7,-6,25,19,,-4,,-5,37,-2,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037000_2..N01X033::1404532800.0,19,-1,0,41,,,,,,,,,,,,,,,,,-9,,,19,,,,70,,,10,,,,,-4,,,,,-10,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037800_2..N01X032::1404532800.0,,,,,,,12,16,-7,-4,32,7,17,-19,,3,20,-4,-35,,,36,1,,,11,9,,-3,14,,-8,4,,39,,18,-13,28,-6,,7,,-6,16,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038000_2..N01X033::1404532800.0,25,2,11,11,,,,,,,,,,,,,,,,,6,,,-9,,,,59,,,18,,,,,-1,,,,,13,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039100_2..N01X032::1404532800.0,,,,,,,6,0,7,6,93,-11,24,11,,-4,-9,-4,-9,,,11,10,,,8,6,,5,-4,,15,-1,,44,,16,6,1,14,,11,,-14,-2,10,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039250_2..N01X033::1404532800.0,22,-4,12,161,,,,,,,,,,,,,,,,,17,,,6,,,,59,,,13,,,,,-9,,,,,-4,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040000_2..N01X033::1404532800.0,2,9,2,161,,,,,,,,,,,,,,,,,0,,,-10,,,,68,,,-17,,,,,3,,,,,-4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040300_2..N01X032::1404532800.0,,,,,,,-5,20,-35,14,30,5,20,-19,,4,19,1,17,,,12,-3,,,9,25,,4,-4,,-27,15,,96,,3,-2,4,20,,8,,1,-22,23,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041250_2..N01X033::1404532800.0,32,10,18,11,,,,,,,,,,,,,,,,,-7,,,4,,,,54,,,9,,,,,8,,,,,16,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041500_2..N01X032::1404532800.0,,,,,,,7,-3,12,-49,7,-2,14,-19,,-7,-9,13,-8,,,25,-10,,,0,-3,,22,-2,,11,5,,62,,-25,19,10,-11,,14,,-11,8,0,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042500_2..N01X033::1404532800.0,-4,-5,14,-49,,,,,,,,,,,,,,,,,-8,,,7,,,,50,,,13,,,,,-10,,,,,-2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042650_2..N01X032::1404532800.0,,,,,,,15,-1,-5,14,16,4,-4,41,,-6,-7,-2,9,,,29,5,,,28,18,,0,6,,19,0,,45,,-4,12,13,-2,,-13,,-15,35,-12,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043700_2..N01X033::1404532800.0,11,-14,6,-19,,,,,,,,,,,,,,,,,-7,,,-1,,,,50,,,8,,,,,10,,,,,-35,,,,,,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043800_2..N01X032::1404532800.0,,,,,,,7,-18,-4,12,19,13,17,11,,-62,23,-2,1,,,-5,-6,,,-1,9,,3,-1,,1,16,,32,,-6,-3,9,2,,0,,25,-5,20,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044900_2..N01X033::1404532800.0,9,-1,12,71,,,,,,,,,,,,,,,,,13,,,-7,,,,68,,,-8,,,,,1,,,,,13,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044950_2..N01X032::1404532800.0,,,,,,,10,16,-94,10,21,-10,15,-19,,-11,-1,13,6,,,25,8,,,21,11,,-15,14,,18,8,,57,,-6,16,15,7,,-2,,17,8,20,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046150_2..N01X032::1404532800.0,,,,,,,-3,12,16,15,28,-6,17,-19,,13,17,26,2,,,8,-13,,,19,7,,22,-3,,26,16,,47,,15,2,2,14,,23,,3,5,-5,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046300_2..N01X033::1404532800.0,3,2,17,-19,,,,,,,,,,,,,,,,,-3,,,12,,,,67,,,-10,,,,,-4,,,,,2,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047350_2..N01X032::1404532800.0,,,,,,,-2,29,8,30,-4,-7,14,-19,,-1,27,8,19,,,28,-4,,,7,9,,3,8,,6,8,,,,-17,13,6,13,,19,,-10,19,9,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047500_2..N01X033::1404532800.0,43,-35,9,-19,,,,,,,,,,,,,,,,,-10,,,-6,,,,16,,,11,,,,,7,,,,,-3,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048550_2..N01X032::1404532800.0,,,,,,,,18,66,-11,83,-15,29,-19,,-26,-185,5,7,,,,0,,,-18,19,,12,13,,1,-4,,,,-2,-11,,9,,5,,-5,26,-9,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048650_2..N01X033::1404532800.0,17,-9,-29,11,,,,,,,,,,,,,,,,,-1,,,10,,,,51,,,12,,,,,18,,,,,-35,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049750_2..N01X032::1404532800.0,,,,,,,,,-228,0,29,4,40,-19,,12,,17,12,,,,11,,,30,35,,3,17,,,3,,,,16,14,,19,,19,,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049850_2..N01X033::1404532800.0,22,-5,14,-49,,,,,,,,,,,,,,,,,5,,,8,,,,67,,,-8,,,,,-7,,,,,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050950_2..N01X033::1404532800.0,23,-1,6,-49,,,,,,,,,,,,,,,,,7,,,-9,,,,52,,,11,,,,,-1,,,,,-7,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050950_2..N01X032::1404532800.0,,,,,,,,,,,10,10,38,-19,,10,,,6,,,,12,,,12,16,,,19,,,0,,,,-9,14,,1,,22,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052150_2..N01X033::1404532800.0,,-36,25,-19,,,,,,,,,,,,,,,,,14,,,7,,,,,,,4,,,,,13,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052150_2..N01X032::1404532800.0,,,,,,,,,,,,,31,-19,,-1,,,,,,,-14,,,11,,,,2,,,-5,,,,,12,,,,-16,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053350_2..N01X033::1404532800.0,,,,-19,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053350_2..N01X032::1404532800.0,,,,,,,2,,,,,,,-19,,,10,,,,,10,15,,,,,,,-37,,,,,50,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054550_2..N01X033::1404532800.0,,,,-589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054550_2..N01X032::1404532800.0,,,,,,,23,24,,,,,,-589,,,20,,,,,5,,,,,,,,,,,,,40,,,,-6,,,,,,44,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055750_2..N01X033::1404532800.0,,,,-1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055750_2..N01X032::1404532800.0,,,,,,,14,25,10,1,,,,-1309,,,10,13,,,,28,,,,,,,21,,,32,,,47,,,,20,,,,,,18,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058150_2..N01X033::1404532800.0,13,-13,10,,,,,,,,,,,,,,,,,,,,,1,,,,71,,,,,,,,12,,,,,-3,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058150_2..N01X032::1404532800.0,,,,,,,-20,11,-20,13,19,-2,12,,,16,-28,15,2,,,15,,,,12,3,,9,,,21,8,,83,,9,,14,13,,21,,11,27,-5,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059350_2..N01X033::1404532800.0,28,-2,-2,-19,,,,,,,,,,,,,,,,,9,,,-2,,,,69,,,8,,,,,3,,,,,6,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059350_2..N01X032::1404532800.0,,,,,,,34,12,18,56,-28,9,22,281,,-6,-6,-19,8,,,32,29,,,-2,12,,5,-13,,14,11,,52,,-8,-13,12,-5,,14,,-8,25,4,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060550_2..N01X033::1404532800.0,12,-18,-4,-79,,,,,,,,,,,,,,,,,11,,,-9,,,,50,,,-19,,,,,6,,,,,-5,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060550_2..N01X032::1404532800.0,,,,,,,21,19,14,2,25,1,15,11,,7,10,5,0,,,2,-4,,,12,4,,-2,2,,9,-23,,44,,8,4,12,-11,,12,,4,8,11,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061750_2..N01X033::1404532800.0,18,-4,10,-79,,,,,,,,,,,,,,,,,-4,,,4,,,,28,,,-16,,,,,-11,,,,,-2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061750_2..N01X032::1404532800.0,,,,,,,17,9,0,10,4,-23,10,11,,-1,5,-1,-7,,,-67,19,,,2,4,,4,-36,,7,7,,87,,12,-3,19,-4,,9,,-5,3,12,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057850_2..N01X032::1404532800.0,,,,,,,-10,3,11,15,10,7,66,,,,10,10,-2,,,67,,,,73,0,,23,,,-51,22,,41,,5,,-2,-3,,1,,,54,0,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062950_2..N01X033::1404532800.0,25,-4,2,-19,,,,,,,,,,,,,,,,,-19,,,5,,,,44,,,3,,,,,-10,,,,,-12,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062950_2..N01X032::1404532800.0,,,,,,,-3,15,11,-12,13,1,32,11,,-8,5,27,9,,,18,9,,,3,-9,,17,-6,,23,-15,,46,,-2,1,-3,-7,,-3,,-19,53,-8,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064150_2..N01X033::1404532800.0,8,11,-4,41,,,,,,,,,,,,,,,,,17,,,-3,,,,57,,,1,,,,,8,,,,,12,,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
