,239S,234S,640S,501S,416S,217S,250S,502S,418S,218S,235S,621S,219S,503S,419S,220S,420S,626S,504S,221S,423S,505S,222S,213S,629S,631S,214S,635S,215S,216S,236S,237S,238S,241S,242S,243S,244S,245S,246S,247S,225S,226S,227S,120S,123S,127S,128S,132S,137S,228S,229S,230S,231S,232S,204S,205S,206S,207S,208S,209S,210S,211S,212S,233S
115250_5..S07R::1404360000.0,43,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116050_5..S07R::1404360000.0,65,36,,,,,8,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117050_5..S07R::1404360000.0,-4,23,28,,,,9,,21,,8,,,,16,,26,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118150_5..S07R::1404360000.0,,,,2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119200_5..S08R::1404360000.0,,,13,,19,,,,-24,,,64,,,18,,17,13,,,,,,,1,13,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120450_5..S07R::1404360000.0,21,22,23,,16,27,53,,-22,10,8,29,13,,20,4,28,6,,20,-1,,29,,-2,51,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122650_5..S08R::1404360000.0,,,22,-139,-45,6,,18,28,14,,27,20,7,5,11,7,18,20,16,,20,37,10,11,55,0,39,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123500_5..S08R::1404360000.0,,,-8,-49,5,-8,,12,6,16,,-37,-3,20,0,-11,5,14,8,-4,,24,44,8,12,0,14,12,-7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124800_5..S08R::1404360000.0,,,-3,-139,-8,18,,33,15,24,,13,-13,28,1,3,8,-2,35,6,,62,35,12,-1,20,28,30,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125900_5..S08R::1404360000.0,,,8,-19,-7,21,,-2,21,13,,16,-3,23,7,-6,15,2,26,5,,61,43,12,0,53,12,29,-1,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126600_5..S08R::1404360000.0,,,7,-49,10,19,,2,12,5,,31,20,22,-3,19,11,-1,21,0,,64,54,15,-4,9,11,44,-6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127600_5..S08R::1404360000.0,,,14,-19,24,36,,24,14,10,,5,-7,17,20,-5,15,35,18,16,,75,50,3,25,12,13,10,-7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128650_5..S08R::1404360000.0,,,-1,-19,25,15,,23,9,-1,,28,7,3,23,-3,-63,8,28,27,,30,48,19,2,5,6,17,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129750_5..S08R::1404360000.0,,,5,41,-17,-6,,-25,9,-8,,11,3,-7,-1,9,8,3,25,3,,0,36,3,16,8,-2,33,-15,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131050_5..S08R::1404360000.0,,,6,-169,9,3,,13,-26,17,,2,-2,26,16,22,18,6,20,1,,18,37,4,-7,8,18,15,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132200_5..S08R::1404360000.0,,,8,-49,26,21,,34,16,6,,1,15,10,1,3,6,-8,9,15,,10,45,18,16,28,4,24,10,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133300_5..S01R::1404360000.0,,,,-79,,,,30,,,,,,30,,,,,15,,,35,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134600_5..S01R::1404360000.0,,,,-49,,,,15,,,,,,31,,,,,24,,,19,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131850_5..S03R::1404360000.0,,-28,,,,,,,,,,,,,,,191,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131850_5..S::1404360000.0,52,41,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,-14,10,-22,0,6,10,-23,7,17,42,,,,,,,,,,,,,,,,,,,,,,,,
136600_5..S01R::1404360000.0,,,,41,,,,9,,,,,,3,,,,,31,,,0,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138200_5..S01R::1404360000.0,,,,-49,,,,20,,,,,,9,,,,,7,,,9,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140200_5..S01R::1404360000.0,,,,-49,,,,13,,,,,,-24,,,,,5,,,-21,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142200_5..S32R::1404360000.0,,,,161,,,,-8,,,,,,-5,,,,,34,,,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32R::1404360000.0,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136200_5..S01R::1404360000.0,,,,3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32R::1404360000.0,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32R::1404446400.0,,,,-139,,,,19,,,,,,5,,,,,28,,,22,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32R::1404446400.0,,,,-1339,,,,22,,,,,,22,,,,,19,,,-7,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004200_5..S32R::1404446400.0,,,,-1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005900_5..S32R::1404446400.0,,,,-889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003900_5..S32R::1404446400.0,,,,191,,,,22,,,,,,19,,,,,25,,,13,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012200_5..S32R::1404446400.0,,,,101,,,,9,,,,,,-22,,,,,15,,,18,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006200_5..S32R::1404446400.0,,,,41,,,,-6,,,,,,5,,,,,36,,,-8,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010200_5..S32R::1404446400.0,,,,71,,,,8,,,,,,10,,,,,14,,,12,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008200_5..S32R::1404446400.0,,,,-19,,,,18,,,,,,1,,,,,35,,,30,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014200_5..S32R::1404446400.0,,,,-49,,,,25,,,,,,20,,,,,23,,,19,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016200_5..S32R::1404446400.0,,,,71,,,,13,,,,,,-9,,,,,1,,,10,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018200_5..S32R::1404446400.0,,,,11,,,,17,,,,,,-29,,,,,23,,,14,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200_5..S32R::1404446400.0,,,,-19,,,,24,,,,,,19,,,,,22,,,22,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022200_5..S32R::1404446400.0,,,,71,,,,40,,,,,,2,,,,,37,,,30,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024200_5..S32R::1404446400.0,,,,101,,,,2,,,,,,9,,,,,20,,,-3,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026200_5..S32R::1404446400.0,,,,11,,,,18,,,,,,13,,,,,16,,,14,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028200_5..S32R::1404446400.0,,,,101,,,,9,,,,,,13,,,,,24,,,2,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030200_5..S32R::1404446400.0,,,,-19,,,,33,,,,,,2,,,,,40,,,4,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032200_5..S01R::1404446400.0,,,,101,,,,13,,,,,,-24,,,,,30,,,26,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033500_5..S01R::1404446400.0,,,,-49,,,,15,,,,,,10,,,,,8,,,11,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034250_5..S08R::1404446400.0,,,2,41,27,0,,3,30,-52,,-1,2,1,10,6,13,13,32,14,,2,21,25,5,25,20,15,2,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035450_5..S08R::1404446400.0,,,19,-19,3,-19,,27,-3,2,,0,-11,13,19,-54,,22,10,1,,-16,21,10,-11,14,4,10,-15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036650_5..S08R::1404446400.0,,,4,11,-1,0,,22,21,-13,,-95,2,15,9,-5,16,3,14,-4,,-23,39,17,-27,22,28,22,-25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037850_5..S08R::1404446400.0,,,2,-19,18,19,,32,1,8,,25,15,11,10,2,15,25,26,19,,18,46,6,16,47,-1,36,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039050_5..S08R::1404446400.0,,,0,-79,13,19,,0,11,6,,-89,-9,19,26,-8,-6,12,16,22,,12,28,20,14,3,-14,16,-3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042650_5..S08R::1404446400.0,,,-10,-79,-2,19,,5,15,-17,,10,1,1,4,0,17,13,29,0,,1,37,8,6,0,7,36,-11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040250_5..S08R::1404446400.0,,,4,-49,15,22,,-8,15,12,,42,0,-9,33,4,20,-7,-1,1,,-25,38,14,-10,13,5,15,-12,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041450_5..S08R::1404446400.0,,,10,-49,-4,6,,4,0,-2,,-75,12,0,-10,10,-6,17,26,0,,2,30,26,20,-22,12,29,-4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043850_5..S08R::1404446400.0,,,18,-49,7,21,,-6,23,-18,,-70,-6,19,10,-9,13,14,18,3,,18,24,-10,11,31,-9,15,-1,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045050_5..S08R::1404446400.0,,,5,-169,-16,8,,5,37,1,,10,-9,0,9,0,14,-12,4,5,,12,24,-4,-7,22,3,26,-9,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046250_5..S08R::1404446400.0,,,18,-49,11,-4,,2,6,18,,-12,-1,1,-12,-17,10,-9,2,0,,13,15,11,6,-21,-4,-3,-17,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047450_5..S08R::1404446400.0,,,12,-49,33,15,,6,15,2,,26,18,18,6,-24,8,-1,13,-10,,30,21,14,7,18,21,38,16,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048650_5..S08R::1404446400.0,,,2,161,-11,13,,22,13,8,,-79,53,19,5,0,18,3,20,22,,-3,32,32,5,25,-24,35,-12,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049850_5..S08R::1404446400.0,,,264,101,10,9,,1,201,-2,,21,11,-3,18,8,15,0,27,-2,,-4,16,15,6,7,20,272,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051050_5..S08R::1404446400.0,,,15,131,1,9,,25,14,1,,-72,16,11,4,-8,4,11,10,2,,18,44,28,-21,605,-6,431,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052250_5..S08R::1404446400.0,,,,-49,-62,9,,10,,0,,,12,28,,8,,,24,24,,21,218,14,,,13,,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053450_5..S08R::1404446400.0,,,,-79,,-26,,1,,-7,,,-23,-2,,10,,,1,22,,6,-74,0,,,-10,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054650_5..S08R::1404446400.0,,,,-19,,6,,1,,-6,,,3,-20,,0,,,27,15,,-12,-70,18,,,10,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055850_5..S08R::1404446400.0,,,15,11,230,0,,21,-3,-8,,-70,10,19,15,-12,8,-6,23,-5,,1,42,20,14,3,20,36,-2,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057050_5..S08R::1404446400.0,,,-2,311,-1,22,,11,6,-14,,9,-28,9,21,3,10,1,8,-4,,12,34,17,-8,10,20,33,3,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058250_5..S08R::1404446400.0,,,11,-49,8,7,,9,23,-4,,-83,7,2,6,0,-48,-10,2,12,,8,39,20,-3,21,19,9,-10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052250_5..S::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6,14,22,59,86,17,16,162,24,68,22,7,-18,,,,,,,,,,
053450_5..S::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,14,1,11,8,8,55,24,-38,,,,,,,,,,,,,,,,
059450_5..S08R::1404446400.0,,,124,-49,4,3,,4,14,-7,,-4,10,2,-1,9,8,-10,5,9,,12,16,13,-5,17,19,10,0,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054650_5..S::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,253,,,,,,,,,,,,,,,,,,-3,17,0,46,27,22,23,18,,,,,,,,,,,,,,,,
060650_5..S08R::1404446400.0,,,6,41,32,13,,3,30,4,,-86,-11,2,12,-8,17,-5,7,16,,9,19,8,10,49,4,46,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061850_5..S08R::1404446400.0,,,-1,-49,10,20,,2,8,-18,,27,-2,-1,21,-9,21,5,27,11,,-4,14,14,11,16,-5,8,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063050_5..S08R::1404446400.0,,,-6,71,17,15,,-1,-3,5,,-72,-11,17,-16,17,-39,-7,15,1,,16,38,16,21,54,-3,22,-3,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059000_5..S08R::1404446400.0,24,170,,,,,2,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064250_5..S08R::1404446400.0,,,,221,,,,3,,,,,,4,,,,,7,,,14,,-3,,,7,,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065450_5..S08R::1404446400.0,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066650_5..S08R::1404446400.0,,,-12,11,18,3,,20,17,-8,,11,-27,19,47,5,-7,19,22,1,,-5,31,31,16,32,11,41,14,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067850_5..S08R::1404446400.0,,,0,41,-6,18,,14,1,8,,-76,-6,16,13,-2,-5,-2,-19,0,,18,38,2,-7,91,3,41,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069050_5..S08R::1404446400.0,,,22,11,0,14,,0,11,3,,24,15,-1,-3,15,7,20,3,8,,4,45,10,-7,20,9,12,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064800_5..S08R::1404446400.0,,,18,,10,8,,,0,1,,7,-13,,9,-1,18,-2,,9,,,25,,37,24,,52,-7,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070250_5..S08R::1404446400.0,,,9,-49,-7,25,,22,14,6,,-87,-38,12,25,48,-37,23,13,24,,9,51,22,7,12,6,25,14,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071450_5..S08R::1404446400.0,,,24,-49,15,-37,,10,26,14,,8,0,2,-17,-4,18,-5,3,34,,9,40,17,-1,9,17,19,-1,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072650_5..S08R::1404446400.0,,,14,-49,23,1,,-4,29,17,,-71,-2,14,11,-8,15,27,11,2,,9,44,-2,11,19,4,34,9,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073850_5..S08R::1404446400.0,,,10,-49,-14,2,,15,-3,-9,,22,2,8,12,0,13,-38,6,15,,13,51,34,4,17,11,19,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075050_5..S08R::1404446400.0,,,-6,-79,-5,11,,-6,6,0,,-91,13,22,15,-13,9,9,23,11,,-1,27,-2,1,7,3,29,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076250_5..S08R::1404446400.0,,,52,-139,-6,1,,-6,19,-11,,-8,-4,21,3,-7,16,1,19,20,,-2,22,11,-8,168,-15,10,-5,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077450_5..S08R::1404446400.0,,,18,-19,12,3,,-13,12,-10,,-72,2,2,25,4,-3,56,25,0,,-11,43,32,6,34,19,2,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078650_5..S08R::1404446400.0,,,21,101,30,26,,23,23,12,,21,18,4,-4,20,-6,23,23,-18,,17,37,6,7,16,18,21,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079850_5..S08R::1404446400.0,,,10,11,24,7,,0,9,-7,,-66,9,22,-3,4,9,35,17,-18,,23,38,9,13,28,24,20,-3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081050_5..S08R::1404446400.0,,,2,41,14,-3,,21,21,12,,37,-6,16,32,11,11,6,22,23,,-4,32,40,6,24,4,-14,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082250_5..S08R::1404446400.0,,,20,-49,-7,14,,15,10,7,,-66,-12,6,-5,18,-7,2,2,8,,3,45,11,-10,2,14,19,-3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083450_5..S08R::1404446400.0,,,37,71,13,24,,10,12,2,,5,10,31,31,28,-3,12,22,-19,,21,35,18,9,32,18,37,-6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084650_5..S08R::1404446400.0,,,28,101,12,4,,19,31,-7,,3,-23,14,8,-4,-44,-1,13,0,,18,50,4,1,21,10,81,-35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085850_5..S08R::1404446400.0,,,-18,-49,-10,8,,19,28,20,,3,-5,-22,12,19,-38,4,3,22,,4,33,17,9,22,1,36,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087050_5..S08R::1404446400.0,,,10,-49,20,-1,,6,11,13,,-183,-3,-2,24,17,8,1,25,4,,24,36,22,8,78,11,35,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088250_5..S08R::1404446400.0,,,16,131,-20,4,,4,24,-8,,18,5,27,3,7,5,30,24,-5,,22,30,21,21,36,-15,118,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089450_5..S08R::1404446400.0,,,39,11,0,1,,-3,19,17,,-94,-2,16,5,-5,15,4,9,22,,-26,33,26,30,35,-3,68,9,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090650_5..S08R::1404446400.0,,,32,-19,19,7,,14,30,23,,8,-1,24,6,21,12,16,39,13,,31,35,8,1,37,25,40,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091850_5..S08R::1404446400.0,,,36,41,17,-4,,-3,6,14,,-90,-2,17,20,3,-2,-20,14,7,,22,17,22,3,84,20,51,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093050_5..S08R::1404446400.0,,,73,-49,25,12,,23,19,3,,12,10,15,25,-24,16,10,12,-1,,4,40,10,18,12,9,23,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094250_5..S08R::1404446400.0,,,54,-79,-7,-9,,12,27,14,,-90,-2,6,8,0,-36,15,5,-2,,12,38,-4,-8,130,5,35,-5,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095450_5..S08R::1404446400.0,,,-9,-139,-3,-6,,2,0,-13,,-7,2,-4,-83,7,4,12,24,9,,-3,43,20,14,9,21,57,3,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096650_5..S08R::1404446400.0,,,24,-469,17,4,,-79,30,-5,,-69,11,9,11,11,12,1,5,10,,7,41,16,30,120,11,52,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097850_5..S08R::1404446400.0,,,15,11,18,1,,3,1,-10,,15,6,21,20,7,-4,10,22,1,,-7,7,2,-3,21,1,46,-12,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099050_5..S08R::1404446400.0,,,39,-79,11,-34,,23,30,14,,-73,-6,17,13,22,15,15,18,17,,19,19,18,21,124,9,111,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100250_5..S08R::1404446400.0,,,64,-79,5,4,,23,-1,25,,22,-2,-24,12,22,18,10,-4,6,,22,12,15,-8,41,14,38,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102650_5..S08R::1404446400.0,,,49,-529,11,-22,,14,9,-1,,-6,11,7,15,9,6,10,3,4,,3,24,31,23,6,13,31,19,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103850_5..S08R::1404446400.0,,,16,-79,11,8,,8,-18,1,,-66,18,25,-3,-15,3,23,19,7,,-9,36,16,8,79,-8,18,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101450_5..S08R::1404446400.0,,,37,-79,19,-4,,14,9,16,,-93,-2,5,-7,-1,6,-6,4,-4,,3,28,0,-1,140,-4,22,7,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105050_5..S08R::1404446400.0,,,31,-79,15,4,,30,20,-7,,8,3,14,0,-1,6,43,36,22,,0,21,2,12,15,24,52,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108650_5..S08R::1404446400.0,,,9,-49,-4,8,,8,41,-10,,-65,6,9,3,-5,9,2,14,15,,-8,27,10,-21,116,6,19,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106250_5..S08R::1404446400.0,,,27,11,25,12,,28,26,-3,,-88,5,15,28,3,-36,27,9,25,,4,25,27,14,60,17,40,-5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107450_5..S08R::1404446400.0,,,40,41,8,-33,,16,0,-12,,-1,1,14,25,-4,-36,7,18,4,,21,45,13,19,55,-2,49,4,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109850_5..S08R::1404446400.0,,,41,-79,-7,21,,13,5,12,,20,-5,5,-7,1,-5,-28,5,6,,9,45,59,2,23,9,23,-5,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111150_5..S08R::1404446400.0,,,25,-109,-2,10,,14,39,-4,,13,10,6,23,12,-33,14,4,-2,,0,27,4,33,32,-26,25,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112450_5..S08R::1404446400.0,,,113,-79,9,16,,5,28,10,,91,-3,2,28,6,2,17,3,15,,8,23,20,17,32,-5,51,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113650_5..S08R::1404446400.0,,,39,-19,3,25,,-17,40,11,,17,-5,22,7,-4,15,12,12,16,,12,17,16,11,23,18,47,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114850_5..S08R::1404446400.0,,,4,-79,-3,20,,24,6,8,,-10,-4,20,13,-3,18,-4,19,-8,,21,28,25,1,83,-1,64,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116050_5..S08R::1404446400.0,,,54,-49,7,11,,2,25,4,,26,15,19,14,16,19,14,13,-17,,15,25,19,-2,47,18,33,-26,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117250_5..S08R::1404446400.0,,,53,-49,-7,20,,7,18,7,,9,18,-1,41,16,-32,20,25,20,,23,42,5,4,22,21,62,0,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118450_5..S08R::1404446400.0,,,78,-79,4,28,,22,14,12,,-15,-6,14,16,-4,15,51,12,28,,15,30,24,25,53,23,104,-1,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119650_5..S08R::1404446400.0,,,37,41,-5,19,,-4,40,10,,-7,-34,21,10,4,-40,44,23,13,,2,31,22,20,167,-7,49,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118150_5..S08R::1404446400.0,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120850_5..S08R::1404446400.0,,,87,-79,-8,20,,28,27,2,,-21,17,21,29,12,,-1,18,-2,,22,35,2,22,40,-32,79,-21,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122050_5..S08R::1404446400.0,,,31,-79,-7,39,,6,41,12,,-10,11,-3,34,-3,-37,14,26,4,,26,37,9,5,11,26,45,-8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123300_5..S08R::1404446400.0,,,29,41,19,-6,,10,25,14,,-22,23,28,5,15,12,24,22,10,,19,37,15,10,18,8,32,11,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124500_5..S08R::1404446400.0,,,19,-49,4,22,,-3,24,12,,-14,-2,22,11,-5,20,1,22,15,,-3,47,13,-2,16,11,13,9,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125700_5..S08R::1404446400.0,,,16,-19,5,26,,22,38,12,,-31,-6,16,-36,-3,10,6,17,31,,20,32,-3,14,36,16,61,-2,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126900_5..S08R::1404446400.0,,,19,11,16,2,,17,37,-13,,-19,1,8,0,2,-3,23,3,2,,3,31,3,-7,41,22,36,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128100_5..S08R::1404446400.0,,,25,-79,16,17,,3,17,6,,-19,-7,-1,6,-1,13,8,28,2,,0,39,1,12,29,-6,25,0,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129300_5..S08R::1404446400.0,,,-25,-19,22,-26,,11,22,-9,,11,-22,4,20,-18,9,-5,6,2,,10,43,6,1,20,3,31,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130500_5..S08R::1404446400.0,,,27,101,25,15,,22,64,-4,,8,7,-24,21,0,-38,2,1,20,,-6,49,2,2,-17,19,32,-3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
