,239S,234S,640S,501S,416S,217S,250S,502S,418S,218S,235S,621S,219S,503S,419S,220S,420S,626S,504S,221S,423S,505S,222S,213S,629S,631S,214S,635S,215S,216S,236S,237S,238S,241S,242S,243S,244S,245S,246S,247S,225S,226S,227S,120S,123S,127S,128S,132S,137S,228S,229S,230S,231S,232S,204S,205S,206S,207S,208S,209S,210S,211S,212S,233S
061700_5..S03R::1404705600.0,21,96,14,-79,3,13,,19,1,-1,5,-6,-16,15,9,17,43,-28,17,11,8,43,45,22,0,19,-5,9,13,10,,,,-1,11,10,-191,3,17,39,,,,,,,,,,,,,,,,,,,,,,,,
062500_5..S03R::1404705600.0,15,70,35,-49,-18,23,,11,25,4,13,29,7,0,22,2,22,4,24,15,17,40,8,27,4,63,12,28,19,2,,,,18,19,18,-204,49,86,24,,,,,,,,,,,,,,,,,,,,,,,,
063300_5..S03R::1404705600.0,5,8,2,-19,16,3,,0,45,11,3,3,18,26,5,-31,6,10,21,9,20,44,32,4,-2,17,3,10,15,-1,,,,5,14,1,-223,10,11,6,,,,,,,,,,,,,,,,,,,,,,,,
064100_5..S03R::1404705600.0,9,26,19,-19,-4,31,,16,21,12,27,44,13,2,18,10,21,19,29,29,7,26,52,22,42,52,14,28,-9,13,,,,23,-4,-7,-202,3,41,53,,,,,,,,,,,,,,,,,,,,,,,,
064900_5..S03R::1404705600.0,23,30,7,11,24,2,,-1,24,-1,16,27,-1,-10,4,-4,34,19,11,-1,14,50,41,12,21,16,-1,38,11,1,,,,5,92,0,-198,12,8,33,,,,,,,,,,,,,,,,,,,,,,,,
065700_5..S03R::1404705600.0,17,6,12,-19,14,19,,6,16,25,-1,141,-5,25,19,-4,4,23,72,-5,58,39,36,0,23,42,1,28,14,-2,,,,10,-13,-8,-191,11,38,36,,,,,,,,,,,,,,,,,,,,,,,,
066500_5..S03R::1404705600.0,10,28,15,-49,12,25,,-5,-14,10,12,49,20,22,19,-9,30,-1,42,31,3,41,28,17,10,24,19,52,1,-6,,,,27,-14,-7,-190,19,0,52,,,,,,,,,,,,,,,,,,,,,,,,
067300_5..S03R::1404705600.0,7,36,25,-49,-8,4,,2,22,-8,15,11,7,26,2,4,28,-7,26,7,24,35,22,17,8,3,14,14,-3,-11,,,,8,13,11,-187,16,47,58,,,,,,,,,,,,,,,,,,,,,,,,
068100_5..S03R::1404705600.0,-5,47,-1,-49,17,1,,-16,4,-5,0,6,12,41,19,15,23,11,20,2,0,30,26,8,19,10,14,10,4,13,,,,-32,4,2,79,163,2,54,,,,,,,,,,,,,,,,,,,,,,,,
068900_5..S03R::1404705600.0,16,43,8,-19,0,23,,1,22,11,26,10,-1,0,5,-3,12,4,29,20,21,57,46,25,21,24,22,18,3,12,,,,18,-4,4,-203,39,1,58,,,,,,,,,,,,,,,,,,,,,,,,
069700_5..S03R::1404705600.0,13,112,20,11,16,27,,7,6,6,-7,71,-8,3,19,1,107,9,24,0,5,46,35,12,18,38,22,21,2,-4,,,,51,-3,3,-213,-37,-20,59,,,,,,,,,,,,,,,,,,,,,,,,
