,255S,249S,239S,232S,229S,128S,123S,224S,301S,248S,256S,233S,250S,132S,127S,225S,257S,234S,230S,251S,226S,231S,137S,235S,227S,252S,120S,236S,237S,253S,302S,228S,254S,238S
041500_3..S01R::1404705600.0,,-2,53,3,18,-9,12,8,11,8,,15,254,-7,26,10,,-3,7,-80,9,-7,20,-4,6,,29,9,-6,,1,14,,43
042100_3..S01R::1404705600.0,-14,7,20,-12,8,-8,-9,-9,-49,4,127,117,213,1,4,-12,55,-12,-6,7,14,10,48,16,4,-8,93,-2,-4,2,25,2,525,-31
043000_3..S01R::1404705600.0,,,,,,,18,-6,-49,,,,,,6,-6,,,,,-22,,,,4,,11,,,,12,,,
043600_3..S01R::1404705600.0,13,0,37,15,8,5,0,8,-49,-3,1,-2,80,10,54,-27,66,50,26,7,7,12,54,8,1,-9,145,-7,-11,-2,-13,2,394,-14
044200_3..S01R::1404705600.0,0,3,45,-6,6,19,18,-12,131,16,45,15,176,6,26,8,67,-4,7,19,24,-34,34,-2,-1,18,33,9,-3,-7,14,43,-4,13
044800_3..S01R::1404705600.0,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,
045400_3..S01R::1404705600.0,0,-11,16,7,21,7,1,0,-109,17,231,9,30,12,58,-5,64,200,29,0,-7,0,8,16,8,8,23,2,0,-14,-9,-2,-5,-5
046000_3..S01R::1404705600.0,106,-3,-38,8,26,42,6,19,-199,1,306,12,10,32,21,8,39,26,30,10,-34,136,23,12,17,-11,34,-9,12,-3,-1,9,-1,8
046600_3..S01R::1404705600.0,-7,-4,1,-1,5,47,43,19,-139,-4,127,-23,291,207,52,-23,70,-2,45,1,-2,-1,43,24,-8,12,174,1,-7,-12,-27,20,17,-4
047400_3..S03R::1404705600.0,35,7,15,9,16,31,28,12,,16,231,14,56,20,40,-6,92,3,22,13,-1,-24,40,-3,-4,19,-9,-15,13,-7,-49,42,-33,12
047800_3..S01R::1404705600.0,-5,-7,-21,16,33,9,10,11,-169,-10,263,-7,430,4,75,3,43,22,52,-10,-5,148,44,20,11,3,27,4,-6,2,-11,21,19,-7
048300_3..S01R::1404705600.0,54,-5,1,-5,16,47,44,6,41,-3,378,8,133,20,26,-12,77,23,1,0,-13,-8,20,-5,9,-16,28,9,21,-2,-11,34,11,35
048750_3..S01R::1404705600.0,4,12,16,-6,12,36,20,-8,11,9,267,8,-113,22,45,8,74,18,30,-11,2,-14,44,8,-1,8,60,-8,7,10,-34,48,-8,10
049150_3..S01R::1404705600.0,394,17,18,18,26,37,62,8,-19,19,228,6,156,22,49,13,78,-12,32,-13,10,-13,49,-2,14,-12,35,11,10,-8,36,39,-4,15
049800_3..S03R::1404705600.0,333,-8,17,6,27,25,25,9,,-7,316,12,-35,25,35,-3,83,12,33,-13,-5,12,20,12,21,15,12,1,-2,13,71,12,459,9
049800_3..S01R::1404705600.0,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,
050550_3..S01R::1404705600.0,,-9,1,1,8,8,20,3,-79,-2,,17,189,-3,41,-8,,180,-1,-105,-12,-2,14,-2,-16,,20,12,7,,-8,4,,8
051150_3..S01R::1404705600.0,146,-3,-37,10,314,15,21,-25,-49,-1,204,15,348,12,20,5,77,35,-1,23,-1,9,41,-24,22,10,34,-9,11,-12,26,15,352,6
051750_3..S01R::1404705600.0,,10,4,5,33,16,5,14,-49,8,,28,117,8,12,-11,,37,9,-152,-9,8,30,1,13,,16,9,2,,57,257,,17
052350_3..S01R::1404705600.0,268,117,14,-25,16,8,12,14,71,9,298,-9,-64,93,49,21,40,37,45,-3,10,13,38,7,1,-6,22,10,24,96,45,22,427,2
052950_3..S01R::1404705600.0,1151,-1,135,7,21,18,17,-9,11,-35,-55,47,-185,10,54,11,,31,5,11,9,9,8,25,2,95,10,7,-4,467,7,-9,155,19
053850_3..S01R::1404705600.0,208,17,19,22,38,-11,27,-1,41,25,144,14,-98,5,0,15,74,23,32,2,7,0,190,25,49,822,36,18,-1,23,0,32,8,-12
054650_3..S01R::1404705600.0,,,,,,,,,-169,,,,,,,,,,,,,,,,,,,,,,,,,
055350_3..S01R::1404705600.0,36,7,1,-4,22,56,53,20,71,4,242,7,244,31,69,31,118,60,51,171,13,19,22,6,24,9,44,-12,13,358,-12,29,10,-13
055950_3..S01R::1404705600.0,83,5,20,-3,6,5,18,-7,11,11,286,1,14,5,54,7,64,40,17,17,6,-6,70,16,12,318,64,-10,10,5,2,2,257,9
056650_3..S01R::1404705600.0,,,,,,,36,2,-19,,,,,,51,22,,,,,2,,,,142,,34,,,,36,,,
057450_3..S01R::1404705600.0,351,11,33,10,31,6,18,13,11,17,292,-11,63,12,74,8,58,-19,36,10,8,12,28,22,27,2,10,-27,-10,192,16,27,46,-11
058250_3..S01R::1404705600.0,286,185,99,11,-1,8,-7,8,-49,2,252,8,-169,8,24,2,49,28,12,200,9,4,12,9,-25,-6,78,-5,21,336,10,-31,261,7
059050_3..S01R::1404705600.0,,,,,,,,,-529,,,,,,,,,,,,,,,,,,,,,,,,,
059950_3..S01R::1404705600.0,209,1,123,-6,43,28,-6,-8,11,2,223,20,-155,-23,2,2,107,28,6,16,6,2,50,12,13,11,11,12,-35,23,-5,40,-5,13
060500_3..S01R::1404705600.0,261,9,2,10,4,-7,3,21,131,7,391,-30,-178,10,19,-20,74,34,53,8,17,-2,45,-6,5,-16,-6,-15,14,-4,52,7,24,100
061300_3..S01R::1404705600.0,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,
062100_3..S01R::1404705600.0,323,-13,2,6,21,35,7,0,131,30,351,2,-77,-3,14,13,84,21,5,12,11,28,-18,-1,8,0,15,13,8,-11,15,2,22,2
062950_3..S01R::1404705600.0,,,,,,,18,2,11,,,,,,-77,9,,,,,3,,,,14,,10,,,,1,,,
063750_3..S01R::1404705600.0,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,
064550_3..S01R::1404705600.0,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,
065350_3..S01R::1404705600.0,5,-20,-22,-7,33,-11,-12,1,-199,2,491,-2,-105,6,194,4,65,58,12,1,-21,-16,215,0,-20,8,-6,-15,-14,17,4,3,-8,-9
066150_3..S01R::1404705600.0,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,
064350_3..S01R::1404705600.0,141,0,0,8,7,12,-1,-15,-49,11,190,-3,-68,12,7,12,88,10,16,8,6,11,26,22,0,14,23,1,-6,8,9,40,13,20
066950_3..S01R::1404705600.0,104,-19,-3,1,22,10,21,16,-109,11,285,3,-88,13,21,-2,73,28,2,15,-5,9,36,15,17,0,76,7,-4,3,15,23,122,16
067750_3..S01R::1404705600.0,108,-15,-10,10,12,18,-3,8,-19,9,204,13,-80,15,4,-20,93,96,-2,14,-13,9,7,-27,-51,-15,72,-10,-78,-4,2,5,308,-6
068550_3..S01R::1404705600.0,225,-2,-23,14,-4,19,6,-4,191,-2,299,-10,-92,25,28,18,76,48,13,12,-18,3,23,18,11,-10,25,0,-5,-6,-10,20,6,-8
065600_3..S01R::1404705600.0,111,-9,-3,8,-2,3,-10,13,11,19,347,-7,15,11,45,8,72,56,15,27,-17,12,6,24,11,34,9,1,-7,-9,-14,2,295,22
069350_3..S01R::1404705600.0,29,9,-26,-4,35,8,7,2,-19,15,194,-8,-123,14,86,-3,57,5,3,6,-4,1,22,15,-14,-10,63,-2,-11,-5,-16,15,-5,-10
070150_3..S01R::1404705600.0,11,-12,-16,11,25,17,8,21,11,22,356,-3,-80,5,35,4,57,39,26,-6,-5,-11,12,35,16,2,18,-34,12,7,-2,23,9,-30
070950_3..S01R::1404705600.0,-7,15,-11,25,24,17,38,23,41,22,170,-20,-89,21,35,9,69,24,21,27,6,-21,31,13,-8,19,-20,2,16,9,32,33,3,-4
